Date,Time of measurement,"Antenna ridge to 
transducer bottom (cm)","Antenna base to 
Transducer top distance (cm)",antenna ridge to antenna base (cm),"Transducer offset 
from bottom of sunder to WSE","Transducer offset from 
top of sunder to WSE",Bottom of pole to WSE,Antenna rim to WSE (DS on pole),Antenna rim to WSE (DS on boat),Antenna rim to WSE (no DS present),Above/below?,Note
3-Aug,17:13,,,,25,,,165.40,,,below,
3-Aug,19:36,,,,,,,,,,above,raised to full extent
4-Aug,16:23,,,,22.5,,,167.90,,,below,
4-Aug,20:15,,,,,,,,,,above,raised to full extent
5-Aug,8:15,,,,,,,,,,,
6-Aug,8:39,,,,5.5,,,195.90,,,above,
7-Aug,8:08,,,,8.9,,,199.30,,,above,
7-Aug,15:22,,,,,,,,,,n/a,gps stop logging
8-Aug,8:07,,,,4.2,,,194.60,,,above,
8-Aug,13:38,,,,24.4,,,166.00,,,below,
8-Aug,16:55,,,,10.8,,,201.20,,,above,raised to full extent
9-Aug,8:01,190.40,,4.80,4.6,,,195,,,above,
9-Aug,9:29,190.40,,4.80,25.5,,,164.9,,,below,put into h20
9-Aug,9:40,190.40,,4.80,n/a,,,,,,,start logging
9-Aug,17:59,190.40,,4.80,n/a,,,,,,,stop logging
9-Aug,18:06,190.40,,4.80,4.5,,,194.9,,,above,out of h20
10-Aug,8:05,190.40,,4.80,n/a,,,,,,n/a,logging gps
10-Aug,9:03,190.40,,4.80,4.5,,,194.9,,,above,
10-Aug,9:05,190.40,,4.80,27.4,,,163,,,below,in h20
10-Aug,9:09,190.40,,4.80,n/a,,,,,,n/a,start logging sounder
10-Aug,9:14,190.40,,4.80,27.2,,,163.2,,,below,
10-Aug,17:35,190.40,,4.80,24.5,,,165.9,,,below,stop logging sounder
10-Aug,17:38,190.40,,4.80,4.7,,,195.1,,,above,
10-Aug,19:45,190.40,,4.80,n/a,,,,,,n/a,stop logging gps
11-Aug,7:57,190.40,,4.80,7,,,197.4,,,above,"start logging gps, sounder out of h20"
11-Aug,9:09,190.40,,4.80,23.4,,,167,,,below,depth sounder in h20
11-Aug,9:12,190.40,,4.80,n/a,,,,,,n/a,depth sounder logging
11-Aug,17:48,190.40,,4.80,n/a,,,,,,n/a,depth sound stop logging
11-Aug,17:57,190.40,,4.80,3.9,,,194.3,,,above,depth sounder out
11-Aug,19:42,190.40,,4.80,n/a,,,,,,n/a,gps stop logging
12-Aug,7:49,190.40,,4.80,4.3,,,194.7,,,above,GPS start logging
12-Aug,10:06,190.40,,4.80,22,,,168.4,,,below,depth sounder in h20 and start logging
12-Aug,17:47,190.40,,4.80,22,,,168.4,,,below,depth sounder stop logging
12-Aug,17:51,190.40,,4.80,1.8,,,192.2,,,above,depth sounder out of h2o
12-Aug,19:52,190.40,,4.80,4.1,,,194.5,,,above,gps stop logging
13-Aug,7:54,190.40,,4.80,0.5,,,190.9,,,above,gps on
