"","new_time","2084764","2024030","2084756","2043113","2075530"
"1",2018-08-07 13:00:00,11.474,10.875,11.34,11.888,11.235
"2",2018-08-07 13:05:00,11.472,10.875,11.342,11.888,11.232
"3",2018-08-07 13:10:00,11.472,10.875,11.34,11.889,11.235
"4",2018-08-07 13:15:00,11.474,10.872,11.34,11.886,11.235
"5",2018-08-07 13:20:00,11.472,10.872,11.343,11.888,11.235
"6",2018-08-07 13:25:00,11.474,10.875,11.342,11.885,11.235
"7",2018-08-07 13:30:00,11.471,10.872,11.339,11.885,11.232
"8",2018-08-07 13:35:00,11.472,10.875,11.339,11.886,11.235
"9",2018-08-07 13:40:00,11.471,10.872,11.337,11.888,11.235
"10",2018-08-07 13:45:00,11.474,10.875,11.339,11.888,11.235
"11",2018-08-07 13:50:00,11.472,10.875,11.339,11.886,11.235
"12",2018-08-07 13:55:00,11.474,10.875,11.34,11.889,11.238
"13",2018-08-07 14:00:00,11.472,10.875,11.34,11.886,11.238
"14",2018-08-07 14:05:00,11.472,10.875,11.339,11.888,11.235
"15",2018-08-07 14:10:00,11.471,10.875,11.34,11.888,11.238
"16",2018-08-07 14:15:00,11.471,10.875,11.343,11.888,11.238
"17",2018-08-07 14:20:00,11.471,10.875,11.342,11.889,11.238
"18",2018-08-07 14:25:00,11.474,10.878,11.342,11.888,11.238
"19",2018-08-07 14:30:00,11.475,10.875,11.345,11.889,11.241
"20",2018-08-07 14:35:00,11.474,10.875,11.342,11.889,11.241
"21",2018-08-07 14:40:00,11.474,10.875,11.345,11.889,11.238
"22",2018-08-07 14:45:00,11.475,10.875,11.342,11.888,11.241
"23",2018-08-07 14:50:00,11.474,10.875,11.34,11.888,11.238
"24",2018-08-07 14:55:00,11.474,10.875,11.339,11.888,11.238
"25",2018-08-07 15:00:00,11.474,10.875,11.342,11.889,11.241
"26",2018-08-07 15:05:00,11.474,10.875,11.343,11.889,11.241
"27",2018-08-07 15:10:00,11.477,10.875,11.342,11.892,11.241
"28",2018-08-07 15:15:00,11.475,10.875,11.342,11.894,11.241
"29",2018-08-07 15:20:00,11.475,10.875,11.345,11.891,11.244
"30",2018-08-07 15:25:00,11.472,10.878,11.345,11.891,11.244
"31",2018-08-07 15:30:00,11.472,10.878,11.346,11.892,11.244
"32",2018-08-07 15:35:00,11.474,10.878,11.346,11.895,11.247
"33",2018-08-07 15:40:00,11.471,10.881,11.348,11.898,11.247
"34",2018-08-07 15:45:00,11.474,10.881,11.349,11.9,11.244
"35",2018-08-07 15:50:00,11.477,10.881,11.349,11.895,11.244
"36",2018-08-07 15:55:00,11.475,10.881,11.348,11.894,11.244
"37",2018-08-07 16:00:00,11.477,10.881,11.349,11.895,11.244
"38",2018-08-07 16:05:00,11.475,10.881,11.345,11.894,11.244
"39",2018-08-07 16:10:00,11.478,10.881,11.346,11.894,11.244
"40",2018-08-07 16:15:00,11.478,10.881,11.346,11.892,11.244
"41",2018-08-07 16:20:00,11.477,10.878,11.345,11.894,11.247
"42",2018-08-07 16:25:00,11.477,10.878,11.345,11.895,11.247
"43",2018-08-07 16:30:00,11.475,10.878,11.345,11.895,11.25
"44",2018-08-07 16:35:00,11.475,10.881,11.348,11.897,11.247
"45",2018-08-07 16:40:00,11.474,10.881,11.346,11.898,11.25
"46",2018-08-07 16:45:00,11.475,10.878,11.346,11.895,11.247
"47",2018-08-07 16:50:00,11.477,10.875,11.346,11.897,11.247
"48",2018-08-07 16:55:00,11.474,10.875,11.345,11.897,11.247
"49",2018-08-07 17:00:00,11.472,10.878,11.343,11.895,11.244
"50",2018-08-07 17:05:00,11.472,10.875,11.345,11.894,11.244
"51",2018-08-07 17:10:00,11.472,10.875,11.345,11.892,11.247
"52",2018-08-07 17:15:00,11.471,10.875,11.345,11.894,11.244
"53",2018-08-07 17:20:00,11.472,10.875,11.345,11.894,11.247
"54",2018-08-07 17:25:00,11.472,10.875,11.345,11.894,11.247
"55",2018-08-07 17:30:00,11.474,10.875,11.346,11.895,11.25
"56",2018-08-07 17:35:00,11.474,10.878,11.346,11.897,11.247
"57",2018-08-07 17:40:00,11.471,10.878,11.345,11.897,11.247
"58",2018-08-07 17:45:00,11.471,10.875,11.346,11.898,11.247
"59",2018-08-07 17:50:00,11.471,10.878,11.346,11.897,11.25
"60",2018-08-07 17:55:00,11.472,10.878,11.345,11.897,11.25
"61",2018-08-07 18:00:00,11.472,10.878,11.348,11.898,11.25
"62",2018-08-07 18:05:00,11.475,10.878,11.349,11.901,11.25
"63",2018-08-07 18:10:00,11.475,10.881,11.348,11.898,11.253
"64",2018-08-07 18:15:00,11.475,10.881,11.351,11.903,11.253
"65",2018-08-07 18:20:00,11.477,10.881,11.348,11.9,11.253
"66",2018-08-07 18:25:00,11.475,10.881,11.349,11.898,11.253
"67",2018-08-07 18:30:00,11.475,10.881,11.348,11.903,11.253
"68",2018-08-07 18:35:00,11.48,10.884,11.349,11.903,11.256
"69",2018-08-07 18:40:00,11.48,10.884,11.351,11.906,11.256
"70",2018-08-07 18:45:00,11.48,10.881,11.349,11.901,11.256
"71",2018-08-07 18:50:00,11.478,10.884,11.349,11.903,11.253
"72",2018-08-07 18:55:00,11.477,10.881,11.348,11.9,11.253
"73",2018-08-07 19:00:00,11.477,10.884,11.349,11.901,11.253
"74",2018-08-07 19:05:00,11.477,10.881,11.351,11.901,11.256
"75",2018-08-07 19:10:00,11.477,10.881,11.351,11.903,11.256
"76",2018-08-07 19:15:00,11.48,10.881,11.351,11.906,11.259
"77",2018-08-07 19:20:00,11.48,10.881,11.354,11.907,11.259
"78",2018-08-07 19:25:00,11.481,10.884,11.355,11.907,11.259
"79",2018-08-07 19:30:00,11.483,10.884,11.352,11.904,11.259
"80",2018-08-07 19:35:00,11.483,10.887,11.355,11.903,11.256
"81",2018-08-07 19:40:00,11.481,10.884,11.351,11.903,11.256
"82",2018-08-07 19:45:00,11.481,10.884,11.351,11.9,11.256
"83",2018-08-07 19:50:00,11.48,10.884,11.349,11.901,11.253
"84",2018-08-07 19:55:00,11.478,10.884,11.348,11.904,11.253
"85",2018-08-07 20:00:00,11.481,10.884,11.348,11.903,11.253
"86",2018-08-07 20:05:00,11.481,10.881,11.349,11.903,11.256
"87",2018-08-07 20:10:00,11.478,10.881,11.349,11.903,11.256
"88",2018-08-07 20:15:00,11.48,10.881,11.348,11.903,11.256
"89",2018-08-07 20:20:00,11.481,10.884,11.351,11.903,11.256
"90",2018-08-07 20:25:00,11.483,10.884,11.352,11.903,11.256
"91",2018-08-07 20:30:00,11.48,10.881,11.351,11.903,11.256
"92",2018-08-07 20:35:00,11.483,10.884,11.351,11.904,11.256
"93",2018-08-07 20:40:00,11.481,10.884,11.354,11.904,11.259
"94",2018-08-07 20:45:00,11.481,10.887,11.354,11.907,11.256
"95",2018-08-07 20:50:00,11.483,10.884,11.354,11.904,11.259
"96",2018-08-07 20:55:00,11.483,10.887,11.355,11.904,11.259
"97",2018-08-07 21:00:00,11.486,10.887,11.352,11.904,11.259
"98",2018-08-07 21:05:00,11.484,10.887,11.352,11.904,11.259
"99",2018-08-07 21:10:00,11.486,10.887,11.351,11.903,11.256
"100",2018-08-07 21:15:00,11.486,10.887,11.352,11.903,11.259
"101",2018-08-07 21:20:00,11.486,10.887,11.352,11.903,11.259
"102",2018-08-07 21:25:00,11.484,10.887,11.354,11.906,11.259
"103",2018-08-07 21:30:00,11.484,10.887,11.352,11.904,11.259
"104",2018-08-07 21:35:00,11.486,10.887,11.354,11.906,11.259
"105",2018-08-07 21:40:00,11.484,10.887,11.354,11.904,11.259
"106",2018-08-07 21:45:00,11.487,10.887,11.354,11.906,11.259
