"","new_time","2084764","2024030","2084756","2043113","2075530"
"1",2018-08-07 13:00:00,211.1741944494,211.3791064244,211.9247118214,212.384048991,212.723731476
"2",2018-08-07 13:05:00,211.171919125,211.3784334092,211.927762133,212.384915753,212.7207212788
"3",2018-08-07 13:10:00,211.1712461098,211.3794837208,211.926628895,212.3859055558,212.7234357572
"4",2018-08-07 13:15:00,211.1742964214,211.3773504828,211.9266186978,212.3826200342,212.7239660116
"5",2018-08-07 13:20:00,211.1731631834,211.3773402856,211.9293331762,212.3851502886,212.7243127164
"6",2018-08-07 13:25:00,211.1751529862,211.380054764,211.9288634306,212.3824969934,212.7244248856
"7",2018-08-07 13:30:00,211.1718674646,211.3775850184,211.9262101354,212.3826091626,212.7218123792
"8",2018-08-07 13:35:00,211.173397719,211.3809317232,211.9263223046,212.3839966562,212.7247919848
"9",2018-08-07 13:40:00,211.1727444238,211.3780438924,211.9247097982,212.3859762618,212.7238130536
"10",2018-08-07 13:45:00,211.175856593,211.381431386,211.9266894038,212.3849973306,212.7221611072
"11",2018-08-07 13:50:00,211.1742440866,211.3814109916,211.9257104726,212.3813453842,212.7218653884
"12",2018-08-07 13:55:00,211.1762236922,211.3804320604,211.9250585262,212.3840496654,212.725201896
"13",2018-08-07 14:00:00,211.173244761,211.378780114,211.9247628074,212.381386173,212.7262114188
"14",2018-08-07 14:05:00,211.1715928146,211.3784843952,211.924099315,212.3843956958,212.7229564888
"15",2018-08-07 14:10:00,211.1702970958,211.3788209028,211.9261088378,212.3841407658,212.7272005472
"16",2018-08-07 14:15:00,211.1706336034,211.3798304256,211.9288539078,212.3853848242,212.7272311388
"17",2018-08-07 14:20:00,211.1716431262,211.3795754956,211.9290979662,212.3864154158,212.727496266
"18",2018-08-07 14:25:00,211.1743881962,211.383819554,211.9291285578,212.385680543,212.7261910244
"19",2018-08-07 14:30:00,211.1766322546,211.3808501456,211.932393685,212.3853753014,212.727946966
"20",2018-08-07 14:35:00,211.1756628462,211.3811152728,211.9280884434,212.384131243,212.7270394152
"21",2018-08-07 14:40:00,211.1759279734,211.3798100312,211.929844385,212.3832236922,212.7232542308
"22",2018-08-07 14:45:00,211.1756227318,211.3785659728,211.9259368342,212.3814385078,212.7266927104
"23",2018-08-07 14:50:00,211.1733786734,211.377658422,211.9231516498,212.3818769874,212.7233052168
