Serial_number:
2024022
Project ID:

Location:
PAD2019
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/11/2019,12:00:00 pm,0,10.977,17.60
7/11/2019,12:15:00 pm,0,10.977,17.60
7/11/2019,12:30:00 pm,0,10.983,17.70
7/11/2019,12:45:00 pm,0,10.983,17.70
7/11/2019,01:00:00 pm,0,10.986,17.70
7/11/2019,01:15:00 pm,0,10.983,17.70
7/11/2019,01:30:00 pm,0,10.983,17.70
7/11/2019,01:45:00 pm,0,10.983,17.80
7/11/2019,02:00:00 pm,0,10.980,17.80
7/11/2019,02:15:00 pm,0,10.980,17.90
7/11/2019,02:30:00 pm,0,10.974,17.90
7/11/2019,02:45:00 pm,0,10.974,18.00
7/11/2019,03:00:00 pm,0,10.968,18.00
7/11/2019,03:15:00 pm,0,10.965,18.00
7/11/2019,03:30:00 pm,0,10.959,18.00
7/11/2019,03:45:00 pm,0,10.953,18.10
7/11/2019,04:00:00 pm,0,10.953,18.10
7/11/2019,04:15:00 pm,0,10.950,18.20
7/11/2019,04:30:00 pm,0,10.950,18.30
7/11/2019,04:45:00 pm,0,10.947,18.30
7/11/2019,05:00:00 pm,0,10.941,18.30
7/11/2019,05:15:00 pm,0,10.938,18.30
7/11/2019,05:30:00 pm,0,10.935,18.30
7/11/2019,05:45:00 pm,0,10.929,18.40
7/11/2019,06:00:00 pm,0,10.926,18.40
7/11/2019,06:15:00 pm,0,10.923,18.50
7/11/2019,06:30:00 pm,0,10.923,18.50
7/11/2019,06:45:00 pm,0,10.923,18.50
7/11/2019,07:00:00 pm,0,10.923,18.50
7/11/2019,07:15:00 pm,0,10.929,18.50
7/11/2019,07:30:00 pm,0,10.929,18.60
7/11/2019,07:45:00 pm,0,10.929,18.60
7/11/2019,08:00:00 pm,0,10.932,18.70
7/11/2019,08:15:00 pm,0,10.929,18.70
7/11/2019,08:30:00 pm,0,10.929,18.80
7/11/2019,08:45:00 pm,0,10.926,18.90
7/11/2019,09:00:00 pm,0,10.923,18.80
7/11/2019,09:15:00 pm,0,10.920,18.80
7/11/2019,09:30:00 pm,0,10.917,18.90
7/11/2019,09:45:00 pm,0,10.917,19.00
7/11/2019,10:00:00 pm,0,10.914,18.90
7/11/2019,10:15:00 pm,0,10.911,18.90
7/11/2019,10:30:00 pm,0,10.911,18.90
7/11/2019,10:45:00 pm,0,10.911,18.90
7/11/2019,11:00:00 pm,0,10.911,18.90
7/11/2019,11:15:00 pm,0,10.914,18.90
7/11/2019,11:30:00 pm,0,10.917,18.90
7/11/2019,11:45:00 pm,0,10.920,18.90
7/12/2019,12:00:00 am,0,10.926,18.90
7/12/2019,12:15:00 am,0,10.929,19.00
7/12/2019,12:30:00 am,0,10.935,18.90
7/12/2019,12:45:00 am,0,10.938,18.90
7/12/2019,01:00:00 am,0,10.935,18.80
7/12/2019,01:15:00 am,0,10.932,18.80
7/12/2019,01:30:00 am,0,10.929,18.80
7/12/2019,01:45:00 am,0,10.926,18.80
7/12/2019,02:00:00 am,0,10.926,18.90
7/12/2019,02:15:00 am,0,10.923,19.00
7/12/2019,02:30:00 am,0,10.920,19.00
7/12/2019,02:45:00 am,0,10.920,19.00
7/12/2019,03:00:00 am,0,10.917,18.90
7/12/2019,03:15:00 am,0,10.917,18.80
7/12/2019,03:30:00 am,0,10.908,18.80
7/12/2019,03:45:00 am,0,10.902,18.80
7/12/2019,04:00:00 am,0,10.896,18.80
7/12/2019,04:15:00 am,0,10.887,18.70
7/12/2019,04:30:00 am,0,10.881,18.70
7/12/2019,04:45:00 am,0,10.875,18.70
7/12/2019,05:00:00 am,0,10.872,18.60
