"","new_time","2024039","2024022","2012697","2084778"
"1",2019-07-11 11:00:00,NA,10.98,10.632,NA
"2",2019-07-11 11:15:00,NA,10.98,10.629,NA
"3",2019-07-11 11:30:00,NA,10.974,10.629,NA
"4",2019-07-11 11:45:00,NA,10.974,10.623,NA
"5",2019-07-11 12:00:00,10.554,10.968,10.62,10.844
"6",2019-07-11 12:15:00,10.551,10.965,10.611,10.85
"7",2019-07-11 12:30:00,10.548,10.959,10.614,10.853
"8",2019-07-11 12:45:00,10.542,10.953,10.608,10.85
"9",2019-07-11 13:00:00,10.539,10.953,10.605,10.854
"10",2019-07-11 13:15:00,10.536,10.95,10.602,10.853
"11",2019-07-11 13:30:00,10.533,10.95,10.599,10.851
"12",2019-07-11 13:45:00,10.533,10.947,10.596,10.85
"13",2019-07-11 14:00:00,10.53,10.941,10.593,10.85
"14",2019-07-11 14:15:00,10.524,10.938,10.59,10.847
"15",2019-07-11 14:30:00,10.521,10.935,10.587,10.845
"16",2019-07-11 14:45:00,10.518,10.929,10.581,10.841
"17",2019-07-11 15:00:00,10.512,10.926,10.578,10.835
"18",2019-07-11 15:15:00,10.509,10.923,10.578,10.833
"19",2019-07-11 15:30:00,10.509,10.923,10.578,10.83
"20",2019-07-11 15:45:00,10.509,10.923,10.578,10.829
"21",2019-07-11 16:00:00,10.512,10.923,10.578,10.826
"22",2019-07-11 16:15:00,10.512,10.929,10.578,10.823
"23",2019-07-11 16:30:00,10.515,10.929,10.578,10.82
"24",2019-07-11 16:45:00,10.518,10.929,10.578,10.814
"25",2019-07-11 17:00:00,10.518,10.932,10.578,10.814
"26",2019-07-11 17:15:00,10.518,10.929,10.578,10.805
"27",2019-07-11 17:30:00,10.518,10.929,10.575,10.799
"28",2019-07-11 17:45:00,10.515,10.926,10.572,10.802
"29",2019-07-11 18:00:00,10.512,10.923,10.569,10.797
"30",2019-07-11 18:15:00,10.506,10.92,10.566,10.799
"31",2019-07-11 18:30:00,10.503,10.917,10.566,10.797
"32",2019-07-11 18:45:00,10.503,10.917,10.563,10.794
"33",2019-07-11 19:00:00,10.5,10.914,10.56,10.796
"34",2019-07-11 19:15:00,10.5,10.911,10.563,10.797
"35",2019-07-11 19:30:00,10.5,10.911,10.563,10.797
"36",2019-07-11 19:45:00,10.5,10.911,10.563,10.796
"37",2019-07-11 20:00:00,10.5,10.911,10.563,10.793
"38",2019-07-11 20:15:00,10.5,10.914,10.563,10.794
"39",2019-07-11 20:30:00,10.503,10.917,10.569,10.794
"40",2019-07-11 20:45:00,10.509,10.92,10.575,10.788
"41",2019-07-11 21:00:00,10.512,10.926,10.575,10.787
"42",2019-07-11 21:15:00,10.518,10.929,10.581,10.784
"43",2019-07-11 21:30:00,10.521,10.935,10.581,10.784
