"","new_time","2024039","2024022","2012697","2084778"
"93",2019-07-12 10:00:00,NA,208.7363264728,208.7223264728,208.6133264728
"94",2019-07-12 10:15:00,NA,208.7467255124,208.7297255124,208.6127255124
"95",2019-07-12 10:30:00,NA,208.7508308564,208.7368308564,208.6248308564
"96",2019-07-12 10:45:00,NA,208.7706725032,208.7566725032,208.6416725032
"97",2019-07-12 11:00:00,NA,208.7858050668,208.7718050668,208.6548050668
"98",2019-07-12 11:15:00,NA,208.7912074784,208.7742074784,208.6662074784
"99",2019-07-12 11:30:00,NA,208.803594972,208.786594972,208.680594972
"100",2019-07-12 11:45:00,NA,208.804700316,208.787700316,208.685700316
"101",2019-07-12 12:00:00,NA,208.8114753032,208.7914753032,208.7014753032
"102",2019-07-12 12:15:00,NA,208.8088240312,208.7858240312,208.7108240312
"103",2019-07-12 12:30:00,NA,208.8067539996,208.7807539996,208.7207539996
"104",2019-07-12 12:45:00,NA,208.8032747312,208.7802747312,208.7342747312
"105",2019-07-12 13:00:00,NA,208.794052416,208.771052416,208.743052416
"106",2019-07-12 13:15:00,NA,208.7874813728,208.7644813728,208.7544813728
"107",2019-07-12 13:30:00,NA,208.7791849796,208.7531849796,208.7701849796
"108",2019-07-12 13:45:00,NA,208.7650027788,208.7450027788,208.7780027788
"109",2019-07-12 14:00:00,NA,208.7577485232,208.7317485232,208.7877485232
"110",2019-07-12 14:15:00,NA,208.745993256,208.719993256,208.800993256
"111",2019-07-12 14:30:00,NA,208.7339646876,208.7109646876,208.8089646876
"112",2019-07-12 14:45:00,NA,208.7256193316,208.7056193316,208.8106193316
"113",2019-07-12 15:00:00,NA,208.718365076,208.698365076,208.808365076
"114",2019-07-12 15:15:00,NA,208.715,208.695,208.806
"115",2019-07-12 15:30:00,NA,208.710003372,208.696003372,208.797003372
"116",2019-07-12 15:45:00,NA,208.7074948608,208.6934948608,208.7924948608
"117",2019-07-12 16:00:00,NA,208.7072011652,208.6872011652,208.7832011652
"118",2019-07-12 16:15:00,NA,208.7092426284,208.6802426284,208.7752426284
"119",2019-07-12 16:30:00,NA,208.7056307964,208.6766307964,208.7666307964
"120",2019-07-12 16:45:00,NA,208.6986192504,208.6666192504,208.7566192504
"121",2019-07-12 17:00:00,NA,208.6852120368,208.6532120368,208.7462120368
"122",2019-07-12 17:15:00,NA,208.6739258408,208.6449258408,208.7379258408
"123",2019-07-12 17:30:00,NA,208.66203801,208.62703801,208.73403801
"124",2019-07-12 17:45:00,NA,208.64729294,208.61529294,208.72629294
"125",2019-07-12 18:00:00,NA,208.6361800964,208.6071800964,208.7261800964
"126",2019-07-12 18:15:00,NA,208.623182794,208.594182794,208.722182794
"127",2019-07-12 18:30:00,NA,208.6142358032,208.5882358032,208.7252358032
"128",2019-07-12 18:45:00,NA,208.6207477676,208.6007477676,208.7357477676
"129",2019-07-12 19:00:00,NA,208.62092112,208.60692112,208.72992112
"130",2019-07-12 19:15:00,NA,208.6277776848,208.6167776848,208.7247776848
"131",2019-07-12 19:30:00,NA,208.6372569532,208.6292569532,208.7192569532
"132",2019-07-12 19:45:00,NA,208.6484126088,208.6374126088,208.7064126088
"133",2019-07-12 20:00:00,NA,208.6592909168,208.6482909168,208.6932909168
"134",2019-07-12 20:15:00,NA,208.670128436,208.656128436,208.680128436
"135",2019-07-12 20:30:00,NA,208.6825669156,208.6625669156,208.6655669156
"136",2019-07-12 20:45:00,NA,208.6868639832,208.6698639832,208.6538639832
"137",2019-07-12 21:00:00,NA,208.691426178,208.674426178,208.643426178
