Serial_number:
2025655
Project ID:
ABoVE_2017
Location:
Yukon_Flats_03
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
03/08/2018,12:00:00 pm,0,9.921,24.00
03/08/2018,12:15:00 pm,0,9.922,24.80
03/08/2018,12:30:00 pm,0,9.922,25.60
03/08/2018,12:45:00 pm,0,9.922,26.50
03/08/2018,01:00:00 pm,0,9.922,27.30
03/08/2018,01:15:00 pm,0,9.922,28.10
03/08/2018,01:30:00 pm,0,9.922,28.80
03/08/2018,01:45:00 pm,0,9.924,29.90
03/08/2018,02:00:00 pm,0,9.924,31.00
03/08/2018,02:15:00 pm,0,9.935,32.10
03/08/2018,02:30:00 pm,0,9.933,32.30
03/08/2018,02:45:00 pm,0,9.932,32.10
03/08/2018,03:00:00 pm,0,9.930,31.70
03/08/2018,03:15:00 pm,0,9.932,31.20
03/08/2018,03:30:00 pm,0,9.932,30.80
03/08/2018,03:45:00 pm,0,9.930,30.50
03/08/2018,04:00:00 pm,0,9.930,30.20
03/08/2018,04:15:00 pm,0,9.930,30.00
03/08/2018,04:30:00 pm,0,9.932,29.70
03/08/2018,04:45:00 pm,0,9.938,29.40
03/08/2018,05:00:00 pm,0,9.938,28.80
03/08/2018,05:15:00 pm,0,9.938,28.20
03/08/2018,05:30:00 pm,0,9.942,27.60
03/08/2018,05:45:00 pm,0,9.942,27.00
03/08/2018,06:00:00 pm,0,9.941,26.50
03/08/2018,06:15:00 pm,0,9.939,26.00
03/08/2018,06:30:00 pm,0,9.942,25.60
03/08/2018,06:45:00 pm,0,9.945,25.20
03/08/2018,07:00:00 pm,0,9.945,24.80
03/08/2018,07:15:00 pm,0,9.947,24.50
03/08/2018,07:30:00 pm,0,9.948,24.20
03/08/2018,07:45:00 pm,0,9.947,24.10
03/08/2018,08:00:00 pm,0,9.953,23.90
03/08/2018,08:15:00 pm,0,9.941,23.60
03/08/2018,08:30:00 pm,0,9.942,23.40
03/08/2018,08:45:00 pm,0,9.944,23.30
03/08/2018,09:00:00 pm,0,9.945,23.30
03/08/2018,09:15:00 pm,0,9.947,23.20
03/08/2018,09:30:00 pm,0,9.950,23.20
03/08/2018,09:45:00 pm,0,9.951,23.10
03/08/2018,10:00:00 pm,0,9.954,23.10
03/08/2018,10:15:00 pm,0,9.959,23.10
03/08/2018,10:30:00 pm,0,9.960,23.10
03/08/2018,10:45:00 pm,0,9.960,23.00
03/08/2018,11:00:00 pm,0,9.965,23.00
03/08/2018,11:15:00 pm,0,9.966,23.00
03/08/2018,11:30:00 pm,0,9.968,22.90
03/08/2018,11:45:00 pm,0,9.969,22.90
04/08/2018,12:00:00 am,0,9.971,22.80
04/08/2018,12:15:00 am,0,9.972,22.80
04/08/2018,12:30:00 am,0,9.972,22.70
04/08/2018,12:45:00 am,0,9.975,22.70
04/08/2018,01:00:00 am,0,9.977,22.60
04/08/2018,01:15:00 am,0,9.980,22.60
04/08/2018,01:30:00 am,0,9.981,22.60
04/08/2018,01:45:00 am,0,9.981,22.50
04/08/2018,02:00:00 am,0,9.983,22.50
04/08/2018,02:15:00 am,0,9.984,22.40
04/08/2018,02:30:00 am,0,9.984,22.30
04/08/2018,02:45:00 am,0,9.986,22.30
04/08/2018,03:00:00 am,0,9.987,22.20
04/08/2018,03:15:00 am,0,9.990,22.20
04/08/2018,03:30:00 am,0,9.990,22.10
04/08/2018,03:45:00 am,0,9.993,22.00
04/08/2018,04:00:00 am,0,9.995,22.00
04/08/2018,04:15:00 am,0,9.995,21.90
04/08/2018,04:30:00 am,0,9.998,21.80
04/08/2018,04:45:00 am,0,10.001,21.80
04/08/2018,05:00:00 am,0,10.002,21.70
04/08/2018,05:15:00 am,0,10.004,21.60
04/08/2018,05:30:00 am,0,10.007,21.60
04/08/2018,05:45:00 am,0,10.005,21.50
04/08/2018,06:00:00 am,0,10.008,21.40
04/08/2018,06:15:00 am,0,10.010,21.40
04/08/2018,06:30:00 am,0,10.011,21.30
04/08/2018,06:45:00 am,0,10.011,21.20
04/08/2018,07:00:00 am,0,10.014,21.10
04/08/2018,07:15:00 am,0,10.016,21.10
04/08/2018,07:30:00 am,0,10.019,21.00
04/08/2018,07:45:00 am,0,10.020,20.90
04/08/2018,08:00:00 am,0,10.022,20.80
04/08/2018,08:15:00 am,0,10.022,20.70
04/08/2018,08:30:00 am,0,10.025,20.70
04/08/2018,08:45:00 am,0,10.025,20.60
04/08/2018,09:00:00 am,0,10.028,20.60
04/08/2018,09:15:00 am,0,10.026,20.40
04/08/2018,09:30:00 am,0,10.028,20.40
04/08/2018,09:45:00 am,0,10.029,20.50
04/08/2018,10:00:00 am,0,10.031,20.70
04/08/2018,10:15:00 am,0,10.032,21.00
04/08/2018,10:30:00 am,0,10.031,21.20
04/08/2018,10:45:00 am,0,10.034,21.50
04/08/2018,11:00:00 am,0,10.034,21.60
04/08/2018,11:15:00 am,0,10.035,21.80
04/08/2018,11:30:00 am,0,10.041,22.40
04/08/2018,11:45:00 am,0,10.037,22.60
04/08/2018,12:00:00 pm,0,10.040,22.80
04/08/2018,12:15:00 pm,0,10.043,22.90
04/08/2018,12:30:00 pm,0,10.043,23.00
04/08/2018,12:45:00 pm,0,10.043,23.00
04/08/2018,01:00:00 pm,0,10.043,23.10
04/08/2018,01:15:00 pm,0,10.046,23.80
04/08/2018,01:30:00 pm,0,10.058,23.70
04/08/2018,01:45:00 pm,0,10.061,23.70
04/08/2018,02:00:00 pm,0,10.062,23.60
04/08/2018,02:15:00 pm,0,10.062,23.40
04/08/2018,02:30:00 pm,0,10.068,22.80
04/08/2018,02:45:00 pm,0,10.068,22.70
04/08/2018,03:00:00 pm,0,10.067,23.00
04/08/2018,03:15:00 pm,0,10.067,23.20
04/08/2018,03:30:00 pm,0,10.068,23.20
04/08/2018,03:45:00 pm,0,10.071,23.30
04/08/2018,04:00:00 pm,0,10.071,23.30
04/08/2018,04:15:00 pm,0,10.070,23.30
04/08/2018,04:30:00 pm,0,10.068,23.80
04/08/2018,04:45:00 pm,0,10.068,24.30
04/08/2018,05:00:00 pm,0,10.068,24.70
04/08/2018,05:15:00 pm,0,10.070,25.00
04/08/2018,05:30:00 pm,0,10.071,25.20
04/08/2018,05:45:00 pm,0,10.071,25.30
04/08/2018,06:00:00 pm,0,10.074,25.30
04/08/2018,06:15:00 pm,0,10.074,24.80
04/08/2018,06:30:00 pm,0,10.061,24.40
04/08/2018,06:45:00 pm,0,10.058,24.70
04/08/2018,07:00:00 pm,0,10.059,24.60
04/08/2018,07:15:00 pm,0,10.059,24.50
04/08/2018,07:30:00 pm,0,10.058,24.40
04/08/2018,07:45:00 pm,0,10.059,24.40
04/08/2018,08:00:00 pm,0,10.059,24.30
04/08/2018,08:15:00 pm,0,10.059,24.20
04/08/2018,08:30:00 pm,0,10.059,24.10
04/08/2018,08:45:00 pm,0,10.062,24.10
04/08/2018,09:00:00 pm,0,10.061,24.00
04/08/2018,09:15:00 pm,0,10.062,23.90
04/08/2018,09:30:00 pm,0,10.062,23.90
04/08/2018,09:45:00 pm,0,10.064,23.80
04/08/2018,10:00:00 pm,0,10.067,23.80
04/08/2018,10:15:00 pm,0,10.067,23.70
04/08/2018,10:30:00 pm,0,10.067,23.70
04/08/2018,10:45:00 pm,0,10.065,23.70
04/08/2018,11:00:00 pm,0,10.068,24.70
04/08/2018,11:15:00 pm,0,10.070,24.60
04/08/2018,11:30:00 pm,0,10.071,24.50
04/08/2018,11:45:00 pm,0,10.071,24.40
05/08/2018,12:00:00 am,0,10.071,24.30
05/08/2018,12:15:00 am,0,10.071,24.20
05/08/2018,12:30:00 am,0,10.071,24.10
05/08/2018,12:45:00 am,0,10.073,24.00
05/08/2018,01:00:00 am,0,10.073,24.00
05/08/2018,01:15:00 am,0,10.073,23.90
05/08/2018,01:30:00 am,0,10.073,23.80
05/08/2018,01:45:00 am,0,10.074,23.80
05/08/2018,02:00:00 am,0,10.074,23.70
05/08/2018,02:15:00 am,0,10.076,23.70
05/08/2018,02:30:00 am,0,10.074,23.60
05/08/2018,02:45:00 am,0,10.074,23.50
05/08/2018,03:00:00 am,0,10.074,23.50
05/08/2018,03:15:00 am,0,10.074,23.40
05/08/2018,03:30:00 am,0,10.074,23.40
05/08/2018,03:45:00 am,0,10.073,23.30
05/08/2018,04:00:00 am,0,10.073,23.30
05/08/2018,04:15:00 am,0,10.073,23.20
05/08/2018,04:30:00 am,0,10.073,23.20
05/08/2018,04:45:00 am,0,10.071,23.10
05/08/2018,05:00:00 am,0,10.071,23.00
05/08/2018,05:15:00 am,0,10.071,23.00
05/08/2018,05:30:00 am,0,10.071,22.90
05/08/2018,05:45:00 am,0,10.071,22.90
05/08/2018,06:00:00 am,0,10.070,22.80
05/08/2018,06:15:00 am,0,10.070,22.70
05/08/2018,06:30:00 am,0,10.070,22.70
05/08/2018,06:45:00 am,0,10.068,22.60
05/08/2018,07:00:00 am,0,10.070,22.60
05/08/2018,07:15:00 am,0,10.068,22.50
05/08/2018,07:30:00 am,0,10.068,22.50
05/08/2018,07:45:00 am,0,10.068,22.50
05/08/2018,08:00:00 am,0,10.079,22.40
05/08/2018,08:15:00 am,0,10.082,22.30
05/08/2018,08:30:00 am,0,10.079,22.20
05/08/2018,08:45:00 am,0,10.076,22.10
05/08/2018,09:00:00 am,0,10.076,22.10
05/08/2018,09:15:00 am,0,10.076,22.00
05/08/2018,09:30:00 am,0,10.077,21.90
05/08/2018,09:45:00 am,0,10.074,21.70
05/08/2018,10:00:00 am,0,10.074,24.30
05/08/2018,10:15:00 am,0,10.070,24.30
05/08/2018,10:30:00 am,0,10.071,24.10
05/08/2018,10:45:00 am,0,10.067,23.70
05/08/2018,11:00:00 am,0,10.067,23.40
05/08/2018,11:15:00 am,0,10.065,23.20
05/08/2018,11:30:00 am,0,10.064,23.10
05/08/2018,11:45:00 am,0,10.064,22.90
05/08/2018,12:00:00 pm,0,10.062,23.00
05/08/2018,12:15:00 pm,0,10.062,23.10
05/08/2018,12:30:00 pm,0,10.059,23.10
05/08/2018,12:45:00 pm,0,10.056,23.10
05/08/2018,01:00:00 pm,0,10.055,23.40
05/08/2018,01:15:00 pm,0,10.053,23.50
05/08/2018,01:30:00 pm,0,10.052,23.50
05/08/2018,01:45:00 pm,0,10.049,23.40
05/08/2018,02:00:00 pm,0,10.046,23.40
05/08/2018,02:15:00 pm,0,10.046,23.50
05/08/2018,02:30:00 pm,0,10.046,28.20
05/08/2018,02:45:00 pm,0,10.044,28.20
05/08/2018,03:00:00 pm,0,10.040,27.80
05/08/2018,03:15:00 pm,0,10.038,27.20
