"","new_time","2024031","2042570","2012683","2075553","2091437","2025655"
"1",2018-08-06 16:00:00,NA,NA,10.29,10.833,9.951,9.955
"2",2018-08-06 16:05:00,NA,NA,10.287,10.839,9.951,NA
"3",2018-08-06 16:10:00,NA,NA,10.287,10.836,9.948,NA
"4",2018-08-06 16:15:00,NA,NA,10.287,10.83,9.948,9.957
"5",2018-08-06 16:20:00,NA,NA,10.284,10.836,9.951,NA
"6",2018-08-06 16:25:00,NA,NA,10.284,10.83,9.951,NA
"7",2018-08-06 16:30:00,NA,NA,10.284,10.824,9.948,9.954
"8",2018-08-06 16:35:00,NA,NA,10.281,10.833,9.945,NA
"9",2018-08-06 16:40:00,NA,NA,10.281,10.827,9.945,NA
"10",2018-08-06 16:45:00,NA,NA,10.281,10.83,9.948,9.954
"11",2018-08-06 16:50:00,NA,NA,10.281,10.83,9.948,NA
"12",2018-08-06 16:55:00,NA,NA,10.278,10.833,9.945,NA
"13",2018-08-06 17:00:00,NA,NA,10.281,10.827,9.945,9.951
"14",2018-08-06 17:05:00,NA,NA,10.278,10.824,9.945,NA
"15",2018-08-06 17:10:00,NA,NA,10.278,10.827,9.945,NA
"16",2018-08-06 17:15:00,NA,NA,10.278,10.827,9.936,9.942
"17",2018-08-06 17:20:00,NA,NA,10.278,10.821,9.93,NA
"18",2018-08-06 17:25:00,NA,NA,10.275,10.821,9.93,NA
"19",2018-08-06 17:30:00,NA,NA,10.278,10.815,9.93,9.939
"20",2018-08-06 17:35:00,NA,NA,10.275,10.827,9.93,NA
"21",2018-08-06 17:40:00,NA,NA,10.275,10.824,9.93,NA
"22",2018-08-06 17:45:00,NA,NA,10.275,10.824,9.93,9.938
"23",2018-08-06 17:50:00,NA,NA,10.275,10.824,9.93,NA
"24",2018-08-06 17:55:00,NA,NA,10.272,10.821,9.93,NA
"25",2018-08-06 18:00:00,NA,NA,10.272,10.815,9.93,9.938
"26",2018-08-06 18:05:00,NA,NA,10.269,10.815,9.93,NA
"27",2018-08-06 18:10:00,NA,NA,10.272,10.812,9.93,NA
"28",2018-08-06 18:15:00,NA,NA,10.269,10.812,9.93,9.939
"29",2018-08-06 18:20:00,NA,NA,10.269,10.818,9.93,NA
"30",2018-08-06 18:25:00,NA,NA,10.269,10.812,9.93,NA
"31",2018-08-06 18:30:00,NA,NA,10.266,10.812,9.93,9.938
"32",2018-08-06 18:35:00,NA,NA,10.263,10.812,9.93,NA
"33",2018-08-06 18:40:00,NA,NA,10.263,10.815,9.93,NA
"34",2018-08-06 18:45:00,NA,NA,10.266,10.803,9.927,9.936
"35",2018-08-06 18:50:00,NA,NA,10.263,10.806,9.93,NA
"36",2018-08-06 18:55:00,NA,NA,10.26,10.809,9.93,NA
"37",2018-08-06 19:00:00,NA,NA,10.26,10.809,9.927,9.936
"38",2018-08-06 19:05:00,NA,NA,10.257,10.803,9.93,NA
"39",2018-08-06 19:10:00,NA,NA,10.26,10.803,9.93,NA
"40",2018-08-06 19:15:00,NA,NA,10.257,10.806,9.93,9.939
"41",2018-08-06 19:20:00,NA,NA,10.257,10.809,9.93,NA
"42",2018-08-06 19:25:00,NA,NA,10.26,10.806,9.93,NA
"43",2018-08-06 19:30:00,NA,NA,10.254,10.797,9.93,9.938
"44",2018-08-06 19:35:00,NA,NA,10.254,10.8,9.927,NA
"45",2018-08-06 19:40:00,NA,NA,10.254,10.797,9.927,NA
"46",2018-08-06 19:45:00,NA,NA,10.254,10.803,9.93,9.938
"47",2018-08-06 19:50:00,NA,NA,10.251,10.8,9.927,NA
"48",2018-08-06 19:55:00,NA,NA,10.251,10.794,9.927,NA
"49",2018-08-06 20:00:00,NA,NA,10.248,10.788,9.927,9.935
"50",2018-08-06 20:05:00,NA,NA,10.248,10.788,9.927,NA
"51",2018-08-06 20:10:00,NA,NA,10.245,10.791,9.927,NA
"52",2018-08-06 20:15:00,NA,NA,10.245,10.788,9.924,9.935
"53",2018-08-06 20:20:00,NA,NA,10.242,10.791,9.927,NA
"54",2018-08-06 20:25:00,NA,NA,10.242,10.788,9.924,NA
"55",2018-08-06 20:30:00,NA,NA,10.239,10.782,9.924,9.932
"56",2018-08-06 20:35:00,NA,NA,10.239,10.779,9.924,NA
"57",2018-08-06 20:40:00,NA,NA,10.233,10.779,9.924,NA
"58",2018-08-06 20:45:00,NA,NA,10.233,10.779,9.924,9.932
"59",2018-08-06 20:50:00,NA,NA,10.236,10.776,9.924,NA
"60",2018-08-06 20:55:00,NA,NA,10.233,10.779,9.924,NA
"61",2018-08-06 21:00:00,NA,NA,10.233,10.767,9.924,9.932
"62",2018-08-06 21:05:00,NA,NA,10.233,10.77,9.924,NA
"63",2018-08-06 21:10:00,NA,NA,10.23,10.764,9.924,NA
"64",2018-08-06 21:15:00,NA,NA,10.227,10.77,9.927,9.933
"65",2018-08-06 21:20:00,NA,NA,10.227,10.767,9.924,NA
"66",2018-08-06 21:25:00,NA,NA,10.227,10.761,9.927,NA
"67",2018-08-06 21:30:00,NA,NA,10.227,10.764,9.927,9.935
"68",2018-08-06 21:35:00,NA,NA,10.224,10.764,9.927,NA
"69",2018-08-06 21:40:00,NA,NA,10.224,10.761,9.927,NA
"70",2018-08-06 21:45:00,NA,NA,10.221,10.758,9.927,9.935
"71",2018-08-06 21:50:00,NA,NA,10.221,10.761,9.927,NA
"72",2018-08-06 21:55:00,NA,NA,10.221,10.758,9.927,NA
"73",2018-08-06 22:00:00,NA,NA,10.221,10.764,9.927,9.936
"74",2018-08-06 22:05:00,NA,NA,10.221,10.752,9.927,NA
"75",2018-08-06 22:10:00,NA,NA,10.218,10.764,9.927,NA
"76",2018-08-06 22:15:00,NA,NA,10.215,10.752,9.927,9.938
"77",2018-08-06 22:20:00,NA,NA,10.215,10.749,9.927,NA
"78",2018-08-06 22:25:00,NA,NA,10.218,10.764,9.927,NA
"79",2018-08-06 22:30:00,NA,NA,10.215,10.752,9.927,9.936
"80",2018-08-06 22:35:00,NA,NA,10.212,10.755,9.927,NA
"81",2018-08-06 22:40:00,NA,NA,10.215,10.755,9.927,NA
"82",2018-08-06 22:45:00,NA,NA,10.215,10.752,9.927,9.935
"83",2018-08-06 22:50:00,NA,NA,10.215,10.749,9.927,NA
"84",2018-08-06 22:55:00,NA,NA,10.212,10.752,9.927,NA
"85",2018-08-06 23:00:00,NA,NA,10.212,10.755,9.927,9.935
"86",2018-08-06 23:05:00,NA,NA,10.212,10.752,9.927,NA
"87",2018-08-06 23:10:00,NA,NA,10.212,10.752,9.927,NA
"88",2018-08-06 23:15:00,NA,NA,10.212,10.755,9.927,9.935
"89",2018-08-06 23:20:00,NA,NA,10.215,10.746,9.927,NA
"90",2018-08-06 23:25:00,NA,NA,10.212,10.752,9.927,NA
"91",2018-08-06 23:30:00,NA,NA,10.215,10.749,9.927,9.935
"92",2018-08-06 23:35:00,NA,NA,10.215,10.755,9.927,NA
"93",2018-08-06 23:40:00,NA,NA,10.212,10.755,9.927,NA
"94",2018-08-06 23:45:00,NA,NA,10.215,10.758,9.924,9.933
"95",2018-08-06 23:50:00,NA,NA,10.212,10.761,9.927,NA
"96",2018-08-06 23:55:00,NA,NA,10.215,10.758,9.927,NA
"97",2018-08-07 00:00:00,NA,NA,10.215,10.749,9.927,9.935
"98",2018-08-07 00:05:00,NA,NA,10.215,10.752,9.927,NA
"99",2018-08-07 00:10:00,NA,NA,10.215,10.752,9.927,NA
"100",2018-08-07 00:15:00,NA,NA,10.212,10.752,9.93,9.938
"101",2018-08-07 00:20:00,NA,NA,10.215,10.755,9.927,NA
"102",2018-08-07 00:25:00,NA,NA,10.212,10.752,9.927,NA
"103",2018-08-07 00:30:00,NA,NA,10.209,10.749,9.927,9.936
"104",2018-08-07 00:35:00,NA,NA,10.212,10.752,9.927,NA
"105",2018-08-07 00:40:00,NA,NA,10.209,10.761,9.927,NA
"106",2018-08-07 00:45:00,NA,NA,10.209,10.752,9.93,9.938
"107",2018-08-07 00:50:00,NA,NA,10.212,10.749,9.93,NA
"108",2018-08-07 00:55:00,NA,NA,10.209,10.749,9.93,NA
"109",2018-08-07 01:00:00,NA,NA,10.209,10.746,9.93,9.938
"110",2018-08-07 01:05:00,NA,NA,10.209,10.752,9.93,NA
"111",2018-08-07 01:10:00,NA,NA,10.209,10.746,9.927,NA
"112",2018-08-07 01:15:00,NA,NA,10.209,10.743,9.93,9.938
"113",2018-08-07 01:20:00,NA,NA,10.209,10.746,9.93,NA
"114",2018-08-07 01:25:00,NA,NA,10.206,10.743,9.93,NA
"115",2018-08-07 01:30:00,NA,NA,10.209,10.749,9.93,9.938
"116",2018-08-07 01:35:00,NA,NA,10.212,10.749,9.93,NA
"117",2018-08-07 01:40:00,NA,NA,10.209,10.749,9.93,NA
"118",2018-08-07 01:45:00,NA,NA,10.209,10.755,9.93,9.939
"119",2018-08-07 01:50:00,NA,NA,10.209,10.752,9.93,NA
"120",2018-08-07 01:55:00,NA,NA,10.209,10.743,9.933,NA
"121",2018-08-07 02:00:00,NA,NA,10.209,10.755,9.933,9.941
"122",2018-08-07 02:05:00,NA,NA,10.212,10.755,9.93,NA
"123",2018-08-07 02:10:00,NA,NA,10.212,10.758,9.933,NA
"124",2018-08-07 02:15:00,NA,NA,10.212,10.752,9.933,9.941
"125",2018-08-07 02:20:00,NA,NA,10.212,10.752,9.93,NA
"126",2018-08-07 02:25:00,NA,NA,10.212,10.758,9.933,NA
"127",2018-08-07 02:30:00,NA,NA,10.212,10.758,9.933,9.941
"128",2018-08-07 02:35:00,NA,NA,10.215,10.755,9.933,NA
"129",2018-08-07 02:40:00,NA,NA,10.218,10.752,9.933,NA
"130",2018-08-07 02:45:00,NA,NA,10.218,10.755,9.933,9.942
"131",2018-08-07 02:50:00,NA,NA,10.215,10.758,9.933,NA
"132",2018-08-07 02:55:00,NA,NA,10.218,10.761,9.933,NA
"133",2018-08-07 03:00:00,NA,NA,10.221,10.755,9.933,9.942
"134",2018-08-07 03:05:00,NA,NA,10.218,10.761,9.936,NA
"135",2018-08-07 03:10:00,NA,NA,10.218,10.761,9.936,NA
"136",2018-08-07 03:15:00,NA,NA,10.218,10.755,9.936,9.942
"137",2018-08-07 03:20:00,NA,NA,10.218,10.767,9.936,NA
"138",2018-08-07 03:25:00,NA,NA,10.224,10.758,9.933,NA
"139",2018-08-07 03:30:00,NA,NA,10.221,10.764,9.936,9.944
"140",2018-08-07 03:35:00,NA,NA,10.218,10.755,9.936,NA
"141",2018-08-07 03:40:00,NA,NA,10.221,10.764,9.936,NA
"142",2018-08-07 03:45:00,NA,NA,10.221,10.764,9.936,9.944
"143",2018-08-07 03:50:00,NA,NA,10.221,10.767,9.936,NA
"144",2018-08-07 03:55:00,NA,NA,10.224,10.77,9.936,NA
"145",2018-08-07 04:00:00,NA,NA,10.221,10.77,9.936,9.945
"146",2018-08-07 04:05:00,NA,NA,10.224,10.773,9.936,NA
"147",2018-08-07 04:10:00,NA,NA,10.224,10.767,9.936,NA
"148",2018-08-07 04:15:00,NA,NA,10.224,10.77,9.939,9.945
"149",2018-08-07 04:20:00,NA,NA,10.227,10.773,9.939,NA
