"","new_time","2024031","2042570","2012683","2075553","2091437","2025655"
"1",2018-08-06 16:00:00,NA,NA,208.3818414844,208.4017809508,NA,208.0645936232
"2",2018-08-06 16:05:00,NA,NA,208.3787089208,208.4076483872,NA,NA
"3",2018-08-06 16:10:00,NA,NA,208.3785865544,208.4045260208,NA,NA
"4",2018-08-06 16:15:00,NA,NA,208.3782398496,208.398179316,NA,208.0659919884
"5",2018-08-06 16:20:00,NA,NA,208.3768815988,208.4058210652,NA,NA
"6",2018-08-06 16:25:00,NA,NA,208.3785335452,208.4014730116,NA,NA
"7",2018-08-06 16:30:00,NA,NA,208.3798897728,208.3968292392,NA,208.0676419116
"8",2018-08-06 16:35:00,NA,NA,208.3786538884,208.4075933548,NA,NA
"9",2018-08-06 16:40:00,NA,NA,208.37919434,208.4021338064,NA,NA
"10",2018-08-06 16:45:00,NA,NA,208.3798367636,208.40577623,NA,208.0705889024
"11",2018-08-06 16:50:00,NA,NA,208.3799183412,208.4058578076,NA,NA
"12",2018-08-06 16:55:00,NA,NA,208.3759801988,208.4079196652,NA,NA
"13",2018-08-06 17:00:00,NA,NA,208.3802344544,208.4031739208,NA,208.0679865932
"14",2018-08-06 17:05:00,NA,NA,208.3776627368,208.4006022032,NA,NA
"15",2018-08-06 17:10:00,NA,NA,208.3781623996,208.404101866,NA,NA
"16",2018-08-06 17:15:00,NA,NA,208.3782949632,208.4042344296,NA,208.060047102
"17",2018-08-06 17:20:00,NA,NA,208.3774995816,208.397439048,NA,NA
"18",2018-08-06 17:25:00,NA,NA,208.3738367636,208.39677623,NA,NA
"19",2018-08-06 17:30:00,NA,NA,208.3760515792,208.3899910456,NA,208.054803718
"20",2018-08-06 17:35:00,NA,NA,208.3736124252,208.4025518916,NA,NA
"21",2018-08-06 17:40:00,NA,NA,208.3743772152,208.4003166816,NA,NA
"22",2018-08-06 17:45:00,NA,NA,208.3754479212,208.4013873876,NA,208.05620006
"23",2018-08-06 17:50:00,NA,NA,208.3758762036,208.40181567,NA,NA
"24",2018-08-06 17:55:00,NA,NA,208.3732535,208.3991929664,NA,NA
"25",2018-08-06 18:00:00,NA,NA,208.3738755292,208.3938149956,NA,208.057627668
"26",2018-08-06 18:05:00,NA,NA,208.3712120368,208.3941515032,NA,NA
"27",2018-08-06 18:10:00,NA,NA,208.3737735572,208.3907130236,NA,NA
"28",2018-08-06 18:15:00,NA,NA,208.3702840916,208.390223558,NA,208.0580362304
"29",2018-08-06 18:20:00,NA,NA,208.3696110764,208.3955505428,NA,NA
"30",2018-08-06 18:25:00,NA,NA,208.370100542,208.3900400084,NA,NA
"31",2018-08-06 18:30:00,NA,NA,208.3665193016,208.389458768,NA,208.0562714404
"32",2018-08-06 18:35:00,NA,NA,208.3635294988,208.3894689652,NA,NA
"33",2018-08-06 18:40:00,NA,NA,208.3653547976,208.394294264,NA,NA
"34",2018-08-06 18:45:00,NA,NA,208.3701698992,208.3841093656,NA,208.057922038
"35",2018-08-06 18:50:00,NA,NA,208.3677613368,208.3877008032,NA,NA
"36",2018-08-06 18:55:00,NA,NA,208.3639251664,208.3898646328,NA,NA
"37",2018-08-06 19:00:00,NA,NA,208.3638945748,208.3898340412,NA,208.0576467136
"38",2018-08-06 19:05:00,NA,NA,208.3614248292,208.3843642956,NA,NA
"39",2018-08-06 19:10:00,NA,NA,208.3642412796,208.384180746,NA,NA
"40",2018-08-06 19:15:00,NA,NA,208.3619856752,208.3879251416,NA,208.061737814
"41",2018-08-06 19:20:00,NA,NA,208.3617817312,208.3907211976,NA,NA
"42",2018-08-06 19:25:00,NA,NA,208.3652711968,208.3882106632,NA,NA
"43",2018-08-06 19:30:00,NA,NA,208.3598320428,208.3797715092,NA,208.0615841816
"44",2018-08-06 19:35:00,NA,NA,208.3602093392,208.3831488056,NA,NA
"45",2018-08-06 19:40:00,NA,NA,208.3608415656,208.380781032,NA,NA
"46",2018-08-06 19:45:00,NA,NA,208.360046184,208.3859856504,NA,208.0617983228
"47",2018-08-06 19:50:00,NA,NA,208.3583514256,208.384290892,NA,NA
