Serial_number:
2075568
Project ID:

Location:
PAD2019
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/11/2019,12:00:00 pm,0,10.032,22.90
7/11/2019,12:15:00 pm,0,10.032,22.90
7/11/2019,12:30:00 pm,0,10.029,23.00
7/11/2019,12:45:00 pm,0,10.026,23.30
7/11/2019,01:00:00 pm,0,10.026,24.00
7/11/2019,01:15:00 pm,0,10.026,24.30
7/11/2019,01:30:00 pm,0,10.023,25.40
7/11/2019,01:45:00 pm,0,10.023,26.30
7/11/2019,02:00:00 pm,0,10.020,27.20
7/11/2019,02:15:00 pm,0,10.020,27.70
7/11/2019,02:30:00 pm,0,10.020,28.00
7/11/2019,02:45:00 pm,0,10.017,28.10
7/11/2019,03:00:00 pm,0,10.017,28.10
7/11/2019,03:15:00 pm,0,10.017,27.90
7/11/2019,03:30:00 pm,0,10.017,27.70
7/11/2019,03:45:00 pm,0,10.014,27.50
7/11/2019,04:00:00 pm,0,10.017,27.40
7/11/2019,04:15:00 pm,0,10.014,27.60
7/11/2019,04:30:00 pm,0,10.011,27.80
7/11/2019,04:45:00 pm,0,10.011,27.80
7/11/2019,05:00:00 pm,0,10.008,27.70
7/11/2019,05:15:00 pm,0,10.011,27.80
7/11/2019,05:30:00 pm,0,10.005,28.10
7/11/2019,05:45:00 pm,0,10.008,27.80
7/11/2019,06:00:00 pm,0,10.008,27.50
7/11/2019,06:15:00 pm,0,10.008,27.30
7/11/2019,06:30:00 pm,0,10.002,26.90
7/11/2019,06:45:00 pm,0,10.005,26.40
7/11/2019,07:00:00 pm,0,10.005,26.20
7/11/2019,07:15:00 pm,0,10.002,25.90
7/11/2019,07:30:00 pm,0,10.005,25.40
7/11/2019,07:45:00 pm,0,9.993,25.10
7/11/2019,08:00:00 pm,0,9.990,24.80
7/11/2019,08:15:00 pm,0,9.990,24.50
7/11/2019,08:30:00 pm,0,9.987,24.30
7/11/2019,08:45:00 pm,0,9.987,24.20
7/11/2019,09:00:00 pm,0,9.987,24.10
7/11/2019,09:15:00 pm,0,9.987,24.00
7/11/2019,09:30:00 pm,0,9.987,23.90
7/11/2019,09:45:00 pm,0,9.984,23.80
7/11/2019,10:00:00 pm,0,9.984,23.70
