"","new_time","2043737","2043851","2012689","2093011","2075568"
"1",2019-07-12 10:00:00,11.153,NA,NA,NA,NA
"2",2019-07-12 10:15:00,11.156,NA,NA,NA,NA
"3",2019-07-12 10:30:00,11.156,NA,NA,NA,NA
"4",2019-07-12 10:45:00,11.151,NA,NA,NA,NA
"5",2019-07-12 11:00:00,11.16,11.04,10.788,11.382,11.265
"6",2019-07-12 11:15:00,11.169,11.043,10.788,11.385,11.268
"7",2019-07-12 11:30:00,11.171,11.048,10.788,11.388,11.274
"8",2019-07-12 11:45:00,11.178,11.054,10.794,11.394,11.277
"9",2019-07-12 12:00:00,11.184,11.055,10.785,11.4,11.283
"10",2019-07-12 12:15:00,11.19,11.06,10.788,11.403,11.286
"11",2019-07-12 12:30:00,11.193,11.066,10.785,11.406,11.292
"12",2019-07-12 12:45:00,11.196,11.067,10.776,11.412,11.295
"13",2019-07-12 13:00:00,11.201,11.069,10.785,11.418,11.298
"14",2019-07-12 13:15:00,11.201,11.069,10.776,11.415,11.298
"15",2019-07-12 13:30:00,11.21,11.069,10.785,11.415,11.301
"16",2019-07-12 13:45:00,11.216,11.066,10.779,11.412,11.301
"17",2019-07-12 14:00:00,11.216,11.064,10.776,11.412,11.301
"18",2019-07-12 14:15:00,11.222,11.063,10.773,11.412,11.298
"19",2019-07-12 14:30:00,11.228,11.063,10.77,11.409,11.295
"20",2019-07-12 14:45:00,11.229,11.06,10.764,11.409,11.298
"21",2019-07-12 15:00:00,11.232,11.06,10.77,11.409,11.295
"22",2019-07-12 15:15:00,11.237,11.06,10.752,11.409,11.298
"23",2019-07-12 15:30:00,11.237,11.058,10.746,11.409,11.295
"24",2019-07-12 15:45:00,11.244,11.057,10.779,11.406,11.295
"25",2019-07-12 16:00:00,11.246,11.058,10.779,11.406,11.295
"26",2019-07-12 16:15:00,11.244,11.057,10.767,11.409,11.295
"27",2019-07-12 16:30:00,11.244,11.054,10.803,11.406,11.292
"28",2019-07-12 16:45:00,11.24,11.052,10.767,11.403,11.295
"29",2019-07-12 17:00:00,11.238,11.054,10.761,11.406,11.295
"30",2019-07-12 17:15:00,11.237,11.048,10.734,11.403,11.292
"31",2019-07-12 17:30:00,11.234,11.045,10.764,11.4,11.289
"32",2019-07-12 17:45:00,11.234,11.042,10.746,11.394,11.286
"33",2019-07-12 18:00:00,11.231,11.039,10.785,11.391,11.286
"34",2019-07-12 18:15:00,11.232,11.037,10.785,11.391,11.28
"35",2019-07-12 18:30:00,11.234,11.037,10.761,11.391,11.28
"36",2019-07-12 18:45:00,11.232,11.039,10.776,11.394,11.283
"37",2019-07-12 19:00:00,11.232,11.039,10.755,11.388,11.28
"38",2019-07-12 19:15:00,11.229,11.042,10.749,11.391,11.283
"39",2019-07-12 19:30:00,11.226,11.043,10.761,11.391,11.28
"40",2019-07-12 19:45:00,11.226,11.046,10.734,11.394,11.283
"41",2019-07-12 20:00:00,11.228,11.051,10.755,11.397,11.289
"42",2019-07-12 20:15:00,11.22,11.052,10.767,11.4,11.289
"43",2019-07-12 20:30:00,11.217,11.054,10.773,11.403,11.289
"44",2019-07-12 20:45:00,11.214,11.054,10.743,11.406,11.292
"45",2019-07-12 21:00:00,11.213,11.058,10.761,11.409,11.295
"46",2019-07-12 21:15:00,11.208,11.061,10.767,11.412,11.298
"47",2019-07-12 21:30:00,11.21,11.066,10.764,11.412,11.304
"48",2019-07-12 21:45:00,11.211,11.066,10.761,11.415,11.304
"49",2019-07-12 22:00:00,11.213,11.069,10.779,11.415,11.304
"50",2019-07-12 22:15:00,11.214,11.069,10.764,11.418,11.304
"51",2019-07-12 22:30:00,11.216,11.073,10.749,11.418,11.307
"52",2019-07-12 22:45:00,11.223,11.076,10.743,11.424,11.313
"53",2019-07-12 23:00:00,11.225,11.078,10.737,11.427,11.316
"54",2019-07-12 23:15:00,11.228,11.081,10.746,11.427,11.319
"55",2019-07-12 23:30:00,11.231,11.085,10.734,11.433,11.322
"56",2019-07-12 23:45:00,11.231,11.088,10.737,11.433,11.325
"57",2019-07-13 00:00:00,11.234,11.09,10.758,11.436,11.325
"58",2019-07-13 00:15:00,11.237,11.091,10.752,11.439,11.328
"59",2019-07-13 00:30:00,11.241,11.091,10.752,11.442,11.331
"60",2019-07-13 00:45:00,11.243,11.094,10.737,11.442,11.331
"61",2019-07-13 01:00:00,11.244,11.097,10.755,11.448,11.337
"62",2019-07-13 01:15:00,11.247,11.102,10.725,11.448,11.34
"63",2019-07-13 01:30:00,11.252,11.102,10.737,11.451,11.343
"64",2019-07-13 01:45:00,11.253,11.105,10.725,11.454,11.343
"65",2019-07-13 02:00:00,11.255,11.108,10.716,11.457,11.346
"66",2019-07-13 02:15:00,11.261,11.109,10.722,11.457,11.349
"67",2019-07-13 02:30:00,11.262,11.111,10.719,11.457,11.352
"68",2019-07-13 02:45:00,11.265,11.112,10.719,11.46,11.352
