"","new_time","2043737","2043851","2093011","2075568"
"1",2019-07-12 10:00:00,210.7667968928,NA,NA,NA
"2",2019-07-12 10:15:00,210.7681959324,NA,NA,NA
"3",2019-07-12 10:30:00,210.7633012764,NA,NA,NA
"4",2019-07-12 10:45:00,210.7661429232,NA,NA,NA
"5",2019-07-12 11:00:00,210.7752754868,210.7919224688,210.8045128948,210.8324547464
"6",2019-07-12 11:15:00,210.7776778984,210.7953099624,210.8026182388,210.8362297336
"7",2019-07-12 11:30:00,210.780065392,210.7954153064,210.806393226,210.8395784616
"8",2019-07-12 11:45:00,210.782170736,210.8021902936,210.809741954,210.84050843
"9",2019-07-12 12:00:00,210.7889457232,210.8005390216,210.8136719224,210.8460291616
"10",2019-07-12 12:15:00,210.7922944512,210.80346899,210.816192654,210.8458068464
"11",2019-07-12 12:30:00,210.7932244196,210.8089897216,210.8159703388,210.8512358032
"12",2019-07-12 12:45:00,210.7957451512,210.8067674064,210.8213992956,210.85493941
"13",2019-07-12 13:00:00,210.797522836,210.8081963632,210.8281029024,210.8557572092
"14",2019-07-12 13:15:00,210.7969517928,210.80889997,210.8229207016,210.8545029536
"15",2019-07-12 13:30:00,210.8066553996,210.8067177692,210.821666446,210.8577476864
"16",2019-07-12 13:45:00,210.8104731988,210.8024635136,210.8189111788,210.854719118
"17",2019-07-12 14:00:00,210.8092189432,210.8007082464,210.8158826104,210.852373762
"18",2019-07-12 14:15:00,210.815463676,210.796679678,210.8135372544,210.8481195064
"19",2019-07-12 14:30:00,210.8184351076,210.794334322,210.8092829988,210.8417544304
"20",2019-07-12 14:45:00,210.8170897516,210.7900800664,210.8059179228,210.8397578024
"21",2019-07-12 15:00:00,210.818835496,210.7867149904,210.8009212948,210.8342492912
"22",2019-07-12 15:15:00,210.82047042,210.7817183624,210.7984127836,210.8339555956
"23",2019-07-12 15:30:00,210.815473792,210.7772098512,210.795119088,210.8299970588
"24",2019-07-12 15:45:00,210.8199652808,210.7729161556,210.7911605512,210.8293852268
"25",2019-07-12 16:00:00,210.8186715852,210.7729576188,210.7905487192,210.8313736808
