Serial_number:
2043861
Project ID:
NC Lakes
Location:
Catfish Lake
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/6/2018,08:00:00 am,0,9.988,23.40
8/6/2018,08:05:00 am,0,9.999,23.30
8/6/2018,08:10:00 am,0,10.001,23.10
8/6/2018,08:15:00 am,0,10.004,23.00
8/6/2018,08:20:00 am,0,10.002,22.80
8/6/2018,08:25:00 am,0,10.002,22.70
8/6/2018,08:30:00 am,0,10.002,22.60
8/6/2018,08:35:00 am,0,10.002,22.50
8/6/2018,08:40:00 am,0,10.001,22.40
8/6/2018,08:45:00 am,0,10.001,22.40
8/6/2018,08:50:00 am,0,9.999,22.30
8/6/2018,08:55:00 am,0,9.998,22.20
8/6/2018,09:00:00 am,0,9.998,22.20
8/6/2018,09:05:00 am,0,9.996,22.10
8/6/2018,09:10:00 am,0,9.995,22.00
8/6/2018,09:15:00 am,0,9.993,21.90
8/6/2018,09:20:00 am,0,9.996,21.90
8/6/2018,09:25:00 am,0,9.995,21.80
8/6/2018,09:30:00 am,0,9.995,21.70
8/6/2018,09:35:00 am,0,9.995,21.70
8/6/2018,09:40:00 am,0,9.993,21.60
8/6/2018,09:45:00 am,0,9.993,21.60
8/6/2018,09:50:00 am,0,9.993,21.50
8/6/2018,09:55:00 am,0,9.992,21.50
8/6/2018,10:00:00 am,0,9.992,21.40
8/6/2018,10:05:00 am,0,9.993,21.40
8/6/2018,10:10:00 am,0,9.995,21.30
8/6/2018,10:15:00 am,0,9.995,21.30
8/6/2018,10:20:00 am,0,9.996,21.30
8/6/2018,10:25:00 am,0,9.996,21.30
8/6/2018,10:30:00 am,0,9.993,21.20
8/6/2018,10:35:00 am,0,9.995,21.20
8/6/2018,10:40:00 am,0,9.993,21.20
8/6/2018,10:45:00 am,0,9.995,21.20
8/6/2018,10:50:00 am,0,9.995,21.20
8/6/2018,10:55:00 am,0,9.993,21.10
8/6/2018,11:00:00 am,0,9.993,21.10
8/6/2018,11:05:00 am,0,9.993,21.10
8/6/2018,11:10:00 am,0,9.992,21.10
8/6/2018,11:15:00 am,0,9.990,21.10
8/6/2018,11:20:00 am,0,9.988,21.10
8/6/2018,11:25:00 am,0,9.988,21.10
8/6/2018,11:30:00 am,0,9.987,21.10
8/6/2018,11:35:00 am,0,9.987,21.10
8/6/2018,11:40:00 am,0,9.986,21.10
8/6/2018,11:45:00 am,0,9.984,21.10
8/6/2018,11:50:00 am,0,9.981,21.10
8/6/2018,11:55:00 am,0,9.983,21.10
8/6/2018,12:00:00 pm,0,9.984,21.20
8/6/2018,12:05:00 pm,0,9.983,21.10
8/6/2018,12:10:00 pm,0,9.983,21.10
8/6/2018,12:15:00 pm,0,9.983,21.10
8/6/2018,12:20:00 pm,0,9.983,21.10
8/6/2018,12:25:00 pm,0,9.981,21.10
8/6/2018,12:30:00 pm,0,9.983,21.20
8/6/2018,12:35:00 pm,0,9.981,21.20
8/6/2018,12:40:00 pm,0,9.981,21.20
8/6/2018,12:45:00 pm,0,9.981,21.20
8/6/2018,12:50:00 pm,0,9.981,21.20
8/6/2018,12:55:00 pm,0,9.978,21.20
8/6/2018,01:00:00 pm,0,9.978,21.20
8/6/2018,01:05:00 pm,0,9.980,21.20
8/6/2018,01:10:00 pm,0,9.978,21.10
8/6/2018,01:15:00 pm,0,9.977,21.10
