"","new_time","2024041","2024039","2024043","2012992","2043851"
"1",2018-08-07 11:00:00,10.635,10.584,NA,11.325,11.06
"2",2018-08-07 11:05:00,10.638,10.587,NA,11.325,11.058
"3",2018-08-07 11:10:00,10.638,10.587,NA,11.325,11.061
"4",2018-08-07 11:15:00,10.638,10.59,NA,11.325,11.058
"5",2018-08-07 11:20:00,10.638,10.587,NA,11.328,11.058
"6",2018-08-07 11:25:00,10.638,10.59,NA,11.325,11.06
"7",2018-08-07 11:30:00,10.638,10.587,NA,11.325,11.061
"8",2018-08-07 11:35:00,10.638,10.59,NA,11.328,11.06
"9",2018-08-07 11:40:00,10.638,10.587,NA,11.328,11.061
"10",2018-08-07 11:45:00,10.638,10.59,NA,11.328,11.063
"11",2018-08-07 11:50:00,10.638,10.59,NA,11.331,11.064
"12",2018-08-07 11:55:00,10.641,10.59,NA,11.328,11.063
"13",2018-08-07 12:00:00,10.638,10.593,NA,11.331,11.063
"14",2018-08-07 12:05:00,10.638,10.59,NA,11.331,11.064
"15",2018-08-07 12:10:00,10.638,10.593,NA,11.331,11.064
"16",2018-08-07 12:15:00,10.638,10.593,NA,11.331,11.063
"17",2018-08-07 12:20:00,10.638,10.593,NA,11.331,11.064
"18",2018-08-07 12:25:00,10.638,10.593,NA,11.331,11.067
"19",2018-08-07 12:30:00,10.638,10.596,NA,11.331,11.066
"20",2018-08-07 12:35:00,10.641,10.593,NA,11.334,11.067
"21",2018-08-07 12:40:00,10.638,10.593,NA,11.334,11.066
"22",2018-08-07 12:45:00,10.638,10.593,NA,11.337,11.066
"23",2018-08-07 12:50:00,10.638,10.593,NA,11.334,11.066
"24",2018-08-07 12:55:00,10.635,10.596,NA,11.334,11.064
"25",2018-08-07 13:00:00,10.638,10.593,NA,11.334,11.064
"26",2018-08-07 13:05:00,10.641,10.593,NA,11.334,11.069
"27",2018-08-07 13:10:00,10.638,10.605,NA,11.331,11.067
"28",2018-08-07 13:15:00,10.638,10.593,NA,11.331,11.067
"29",2018-08-07 13:20:00,10.617,10.59,NA,11.331,11.067
"30",2018-08-07 13:25:00,10.638,10.59,NA,11.331,11.067
"31",2018-08-07 13:30:00,10.635,10.59,NA,11.334,11.066
"32",2018-08-07 13:35:00,10.632,10.59,NA,11.331,11.069
"33",2018-08-07 13:40:00,10.635,10.59,NA,11.331,11.066
"34",2018-08-07 13:45:00,10.635,10.59,NA,11.331,11.064
"35",2018-08-07 13:50:00,10.635,10.59,NA,11.331,11.064
"36",2018-08-07 13:55:00,10.635,10.59,NA,11.331,11.066
"37",2018-08-07 14:00:00,10.635,10.59,NA,11.331,11.064
"38",2018-08-07 14:05:00,10.635,10.59,NA,11.331,11.066
"39",2018-08-07 14:10:00,10.635,10.59,NA,11.331,11.066
"40",2018-08-07 14:15:00,10.638,10.59,NA,11.331,11.066
"41",2018-08-07 14:20:00,10.638,10.59,NA,11.331,11.067
"42",2018-08-07 14:25:00,10.635,10.59,NA,11.331,11.066
"43",2018-08-07 14:30:00,10.635,10.59,NA,11.331,11.066
"44",2018-08-07 14:35:00,10.635,10.59,NA,11.331,11.066
"45",2018-08-07 14:40:00,10.635,10.59,NA,11.331,11.064
"46",2018-08-07 14:45:00,10.635,10.59,NA,11.331,11.064
"47",2018-08-07 14:50:00,10.635,10.59,NA,11.331,11.064
"48",2018-08-07 14:55:00,10.635,10.587,NA,11.331,11.064
"49",2018-08-07 15:00:00,10.638,10.587,NA,11.328,11.064
"50",2018-08-07 15:05:00,10.641,10.59,NA,11.331,11.066
"51",2018-08-07 15:10:00,10.638,10.59,NA,11.331,11.066
"52",2018-08-07 15:15:00,10.638,10.59,NA,11.331,11.067
"53",2018-08-07 15:20:00,10.638,10.59,NA,11.331,11.067
"54",2018-08-07 15:25:00,10.638,10.59,NA,11.331,11.066
"55",2018-08-07 15:30:00,10.638,10.59,NA,11.331,11.066
"56",2018-08-07 15:35:00,10.638,10.59,NA,11.331,11.066
"57",2018-08-07 15:40:00,10.638,10.59,NA,11.331,11.067
"58",2018-08-07 15:45:00,10.641,10.59,NA,11.331,11.067
"59",2018-08-07 15:50:00,10.638,10.59,NA,11.331,11.067
"60",2018-08-07 15:55:00,10.641,10.593,NA,11.334,11.069
"61",2018-08-07 16:00:00,10.641,10.593,NA,11.337,11.072
"62",2018-08-07 16:05:00,10.644,10.593,NA,11.334,11.072
"63",2018-08-07 16:10:00,10.641,10.593,NA,11.334,11.072
"64",2018-08-07 16:15:00,10.641,10.596,NA,11.334,11.072
"65",2018-08-07 16:20:00,10.641,10.596,NA,11.337,11.072
"66",2018-08-07 16:25:00,10.641,10.593,NA,11.334,11.07
"67",2018-08-07 16:30:00,10.638,10.596,NA,11.334,11.07
"68",2018-08-07 16:35:00,10.638,10.596,NA,11.334,11.07
"69",2018-08-07 16:40:00,10.638,10.593,NA,11.331,11.067
"70",2018-08-07 16:45:00,10.638,10.59,NA,11.331,11.067
"71",2018-08-07 16:50:00,10.635,10.59,NA,11.331,11.066
"72",2018-08-07 16:55:00,10.635,10.59,NA,11.331,11.067
"73",2018-08-07 17:00:00,10.638,10.59,NA,11.331,11.069
"74",2018-08-07 17:05:00,10.638,10.59,NA,11.331,11.067
"75",2018-08-07 17:10:00,10.635,10.59,NA,11.331,11.067
"76",2018-08-07 17:15:00,10.638,10.59,NA,11.331,11.067
"77",2018-08-07 17:20:00,10.641,10.59,NA,11.331,11.067
