"","new_time","2024041","2024039","2024043","2012992","2043851","2043861"
"1",2018-08-07 11:00:00,10.635,10.584,11.292,11.325,11.06,NA
"2",2018-08-07 11:05:00,10.638,10.587,11.295,11.325,11.058,NA
"3",2018-08-07 11:10:00,10.638,10.587,11.292,11.325,11.061,NA
"4",2018-08-07 11:15:00,10.638,10.59,11.295,11.325,11.058,NA
"5",2018-08-07 11:20:00,10.638,10.587,11.313,11.328,11.058,NA
"6",2018-08-07 11:25:00,10.638,10.59,11.313,11.325,11.06,NA
"7",2018-08-07 11:30:00,10.638,10.587,11.313,11.325,11.061,NA
"8",2018-08-07 11:35:00,10.638,10.59,11.316,11.328,11.06,NA
"9",2018-08-07 11:40:00,10.638,10.587,11.316,11.328,11.061,NA
"10",2018-08-07 11:45:00,10.638,10.59,11.316,11.328,11.063,NA
"11",2018-08-07 11:50:00,10.638,10.59,11.319,11.331,11.064,NA
"12",2018-08-07 11:55:00,10.641,10.59,11.319,11.328,11.063,NA
"13",2018-08-07 12:00:00,10.638,10.593,11.316,11.331,11.063,NA
"14",2018-08-07 12:05:00,10.638,10.59,11.316,11.331,11.064,NA
"15",2018-08-07 12:10:00,10.638,10.593,11.319,11.331,11.064,NA
"16",2018-08-07 12:15:00,10.638,10.593,11.319,11.331,11.063,NA
"17",2018-08-07 12:20:00,10.638,10.593,11.319,11.331,11.064,NA
"18",2018-08-07 12:25:00,10.638,10.593,11.319,11.331,11.067,NA
"19",2018-08-07 12:30:00,10.638,10.596,11.322,11.331,11.066,NA
"20",2018-08-07 12:35:00,10.641,10.593,11.319,11.334,11.067,NA
"21",2018-08-07 12:40:00,10.638,10.593,11.322,11.334,11.066,NA
"22",2018-08-07 12:45:00,10.638,10.593,11.322,11.337,11.066,NA
"23",2018-08-07 12:50:00,10.638,10.593,11.319,11.334,11.066,NA
"24",2018-08-07 12:55:00,10.635,10.596,11.322,11.334,11.064,NA
"25",2018-08-07 13:00:00,10.638,10.593,11.322,11.334,11.064,NA
"26",2018-08-07 13:05:00,10.641,10.593,11.442,11.334,11.069,NA
"27",2018-08-07 13:10:00,10.638,10.605,11.451,11.331,11.067,NA
"28",2018-08-07 13:15:00,10.638,10.593,11.451,11.331,11.067,NA
"29",2018-08-07 13:20:00,10.617,10.59,11.451,11.331,11.067,NA
"30",2018-08-07 13:25:00,10.638,10.59,11.451,11.331,11.067,NA
"31",2018-08-07 13:30:00,10.635,10.59,11.451,11.334,11.066,NA
"32",2018-08-07 13:35:00,10.632,10.59,11.451,11.331,11.069,NA
"33",2018-08-07 13:40:00,10.635,10.59,11.451,11.331,11.066,NA
"34",2018-08-07 13:45:00,10.635,10.59,11.451,11.331,11.064,NA
"35",2018-08-07 13:50:00,10.635,10.59,11.451,11.331,11.064,NA
"36",2018-08-07 13:55:00,10.635,10.59,11.451,11.331,11.066,NA
"37",2018-08-07 14:00:00,10.635,10.59,11.448,11.331,11.064,NA
"38",2018-08-07 14:05:00,10.635,10.59,11.448,11.331,11.066,NA
"39",2018-08-07 14:10:00,10.635,10.59,11.451,11.331,11.066,NA
"40",2018-08-07 14:15:00,10.638,10.59,11.451,11.331,11.066,NA
"41",2018-08-07 14:20:00,10.638,10.59,11.451,11.331,11.067,NA
"42",2018-08-07 14:25:00,10.635,10.59,11.451,11.331,11.066,NA
"43",2018-08-07 14:30:00,10.635,10.59,11.451,11.331,11.066,NA
"44",2018-08-07 14:35:00,10.635,10.59,11.451,11.331,11.066,NA
"45",2018-08-07 14:40:00,10.635,10.59,11.451,11.331,11.064,NA
"46",2018-08-07 14:45:00,10.635,10.59,11.448,11.331,11.064,NA
"47",2018-08-07 14:50:00,10.635,10.59,11.448,11.331,11.064,NA
"48",2018-08-07 14:55:00,10.635,10.587,11.448,11.331,11.064,NA
"49",2018-08-07 15:00:00,10.638,10.587,11.451,11.328,11.064,NA
"50",2018-08-07 15:05:00,10.641,10.59,11.451,11.331,11.066,NA
"51",2018-08-07 15:10:00,10.638,10.59,11.451,11.331,11.066,NA
"52",2018-08-07 15:15:00,10.638,10.59,11.451,11.331,11.067,NA
"53",2018-08-07 15:20:00,10.638,10.59,11.451,11.331,11.067,NA
"54",2018-08-07 15:25:00,10.638,10.59,11.451,11.331,11.066,NA
"55",2018-08-07 15:30:00,10.638,10.59,11.451,11.331,11.066,NA
"56",2018-08-07 15:35:00,10.638,10.59,11.451,11.331,11.066,NA
"57",2018-08-07 15:40:00,10.638,10.59,11.454,11.331,11.067,NA
"58",2018-08-07 15:45:00,10.641,10.59,11.451,11.331,11.067,NA
"59",2018-08-07 15:50:00,10.638,10.59,11.451,11.331,11.067,NA
"60",2018-08-07 15:55:00,10.641,10.593,11.451,11.334,11.069,NA
"61",2018-08-07 16:00:00,10.641,10.593,11.454,11.337,11.072,NA
"62",2018-08-07 16:05:00,10.644,10.593,11.454,11.334,11.072,NA
"63",2018-08-07 16:10:00,10.641,10.593,11.454,11.334,11.072,NA
"64",2018-08-07 16:15:00,10.641,10.596,11.454,11.334,11.072,NA
"65",2018-08-07 16:20:00,10.641,10.596,11.454,11.337,11.072,NA
"66",2018-08-07 16:25:00,10.641,10.593,11.457,11.334,11.07,NA
"67",2018-08-07 16:30:00,10.638,10.596,11.457,11.334,11.07,NA
"68",2018-08-07 16:35:00,10.638,10.596,11.457,11.334,11.07,NA
"69",2018-08-07 16:40:00,10.638,10.593,11.454,11.331,11.067,NA
"70",2018-08-07 16:45:00,10.638,10.59,11.451,11.331,11.067,NA
"71",2018-08-07 16:50:00,10.635,10.59,11.451,11.331,11.066,NA
"72",2018-08-07 16:55:00,10.635,10.59,11.451,11.331,11.067,NA
"73",2018-08-07 17:00:00,10.638,10.59,11.451,11.331,11.069,NA
"74",2018-08-07 17:05:00,10.638,10.59,11.451,11.331,11.067,NA
"75",2018-08-07 17:10:00,10.635,10.59,11.451,11.331,11.067,NA
"76",2018-08-07 17:15:00,10.638,10.59,11.451,11.331,11.067,NA
"77",2018-08-07 17:20:00,10.641,10.59,11.451,11.331,11.067,NA
"78",2018-08-07 17:25:00,10.638,10.59,11.451,11.331,11.069,NA
"79",2018-08-07 17:30:00,10.641,10.59,11.451,11.331,11.067,NA
"80",2018-08-07 17:35:00,10.638,10.59,11.451,11.331,11.067,NA
"81",2018-08-07 17:40:00,10.638,10.59,11.451,11.331,11.066,NA
"82",2018-08-07 17:45:00,10.638,10.59,11.451,11.331,11.067,NA
"83",2018-08-07 17:50:00,10.641,10.59,11.451,11.331,11.067,NA
"84",2018-08-07 17:55:00,10.641,10.59,11.448,11.331,11.067,NA
"85",2018-08-07 18:00:00,10.641,10.59,11.454,11.331,11.069,NA
"86",2018-08-07 18:05:00,10.641,10.593,11.451,11.331,11.069,NA
"87",2018-08-07 18:10:00,10.644,10.593,11.451,11.334,11.07,NA
"88",2018-08-07 18:15:00,10.644,10.593,11.454,11.334,11.07,NA
"89",2018-08-07 18:20:00,10.647,10.596,11.454,11.334,11.072,NA
"90",2018-08-07 18:25:00,10.647,10.593,11.454,11.334,11.07,NA
"91",2018-08-07 18:30:00,10.647,10.596,11.454,11.337,11.072,NA
"92",2018-08-07 18:35:00,10.647,10.596,11.457,11.337,11.073,NA
"93",2018-08-07 18:40:00,10.65,10.596,11.457,11.337,11.073,NA
"94",2018-08-07 18:45:00,10.65,10.596,11.457,11.34,11.075,NA
"95",2018-08-07 18:50:00,10.647,10.599,11.46,11.34,11.075,NA
"96",2018-08-07 18:55:00,10.65,10.599,11.457,11.34,11.075,NA
"97",2018-08-07 19:00:00,10.65,10.596,11.457,11.337,11.073,NA
"98",2018-08-07 19:05:00,10.647,10.599,11.457,11.337,11.072,NA
"99",2018-08-07 19:10:00,10.647,10.596,11.457,11.337,11.072,NA
"100",2018-08-07 19:15:00,10.65,10.596,11.457,11.337,11.07,NA
