"","new_time","2024041","2024039","2024043","2012992","2043851"
"1",2018-08-07 11:00:00,209.5504474374,210.0759242236,NA,210.3422525572,210.6360830076
"2",2018-08-07 11:05:00,209.555058595,210.0776597708,NA,210.3441594336,210.6328389492
"3",2018-08-07 11:10:00,209.5537941422,210.0765380788,NA,210.3429153752,210.634605088
"4",2018-08-07 11:15:00,209.5526724502,210.0814449552,NA,210.341681514,210.6320843564
"5",2018-08-07 11:20:00,209.5545793266,210.0772008968,NA,210.3451607824,210.6310136504
"6",2018-08-07 11:25:00,209.5533352682,210.0789670356,NA,210.3410900764,210.6321978744
"7",2018-08-07 11:30:00,209.552101407,210.076446304,NA,210.3402743004,210.6323005208
"8",2018-08-07 11:35:00,209.5525806754,210.078375598,NA,210.3423769468,210.631208746
"9",2018-08-07 11:40:00,209.5515099694,210.074559822,NA,210.342285172,210.631800858
"10",2018-08-07 11:45:00,209.5506941934,210.0766624684,NA,210.341877284,210.6342699292
"11",2018-08-07 11:50:00,209.5497968398,210.0765706936,NA,210.3453463552,210.6346377028
"12",2018-08-07 11:55:00,209.552705065,210.0761628056,NA,210.3417141288,210.6339130272
"13",2018-08-07 12:00:00,209.549297177,210.0796318768,NA,210.3449894532,210.6340965768
"14",2018-08-07 12:05:00,209.5497662482,210.0759996504,NA,210.3451730028,210.634596914
"15",2018-08-07 12:10:00,209.5491340218,210.0792749748,NA,210.34467334,210.6338933072
"16",2018-08-07 12:15:00,209.5494093462,210.0794585244,NA,210.3439697332,210.6310578112
"17",2018-08-07 12:20:00,209.5495928958,210.0789588616,NA,210.3421342372,210.6318538672
"18",2018-08-07 12:25:00,209.549093233,210.0782552548,NA,210.3419302932,210.6359449676
"19",2018-08-07 12:30:00,209.5483896262,210.0794197588,NA,210.3430213936,210.6347308264
"20",2018-08-07 12:35:00,209.5495541302,210.0762158148,NA,210.3458072524,210.6357206292
"21",2018-08-07 12:40:00,209.5463501862,210.0773069152,NA,210.3457970552,210.6345982628
"22",2018-08-07 12:45:00,209.5474412866,210.077092774,NA,210.3486746888,210.6343229384
"23",2018-08-07 12:50:00,209.5472271454,210.0770825768,NA,210.3453993644,210.6336499232
"24",2018-08-07 12:55:00,209.5442169482,210.0799602104,NA,210.3447263492,210.6327002348
"25",2018-08-07 13:00:00,209.5470945818,210.076684886,NA,210.3457766608,210.6335669968
"26",2018-08-07 13:05:00,209.5498192574,210.0760118708,NA,210.3466434228,210.6385567996
"27",2018-08-07 13:10:00,209.5461462422,210.0890621824,NA,210.3436332256,210.636271278
"28",2018-08-07 13:15:00,209.5471965538,210.0779289444,NA,210.343347704,210.6368015324
"29",2018-08-07 13:20:00,209.5270633158,210.0749187472,NA,210.3438779584,210.6371482372
"30",2018-08-07 13:25:00,209.5480531186,210.0746332256,NA,210.3442246632,210.6372604064
"31",2018-08-07 13:30:00,209.544767597,210.07516348,NA,210.3473368324,210.6366479
"32",2018-08-07 13:35:00,209.5422978514,210.0755101848,NA,210.344724326,210.6396275056
"33",2018-08-07 13:40:00,209.5456445562,210.075622354,NA,210.3447039316,210.6356485744
"34",2018-08-07 13:45:00,209.5457567254,210.0760098476,NA,210.3437250004,210.631996628
"35",2018-08-07 13:50:00,209.546144219,210.0759894532,NA,210.342073054,210.6317009092
"36",2018-08-07 13:55:00,209.5461238246,210.075010522,NA,210.3417773352,210.6340374168
"37",2018-08-07 14:00:00,209.5451448934,210.0733585756,NA,210.3421138428,210.6330469396
"38",2018-08-07 14:05:00,209.543492947,210.0730628568,NA,210.3431233656,210.6347920096
"39",2018-08-07 14:10:00,209.5431972282,210.0733993644,NA,210.3428684356,210.636036068
"40",2018-08-07 14:15:00,209.5465337358,210.0744088872,NA,210.344112494,210.6360666596
"41",2018-08-07 14:20:00,209.5475432586,210.0741539572,NA,210.3441430856,210.6373317868
"42",2018-08-07 14:25:00,209.5442883286,210.0753980156,NA,210.3444082128,210.6350265452
"43",2018-08-07 14:30:00,209.545532387,210.0754286072,NA,210.3431029712,210.6337824868
"44",2018-08-07 14:35:00,209.5455629786,210.0756937344,NA,210.3418589128,210.632874936
"45",2018-08-07 14:40:00,209.5458281058,210.0743884928,NA,210.340951362,210.6300897516
"46",2018-08-07 14:45:00,209.5445228642,210.0731444344,NA,210.3401661776,210.6305282312
"47",2018-08-07 14:50:00,209.5432788058,210.0722368836,NA,210.3406046572,210.6301407376
"48",2018-08-07 14:55:00,209.542371255,210.0684516992,NA,210.3402171636,210.6290292428
"49",2018-08-07 15:00:00,209.5445860706,210.0688901788,NA,210.3361056688,210.6291516092
"50",2018-08-07 15:05:00,209.5480245502,210.0715026852,NA,210.3392280352,210.6310190456
"51",2018-08-07 15:10:00,209.5446370566,210.0703911904,NA,210.3390954716,210.6300299172
"52",2018-08-07 15:15:00,209.5435255618,210.0705135568,NA,210.3381063432,210.6316621436
"53",2018-08-07 15:20:00,209.5436479282,210.0703809932,NA,210.3387385696,210.6323147644
"54",2018-08-07 15:25:00,209.5435153646,210.0693918648,NA,210.3393911904,210.63103944
"55",2018-08-07 15:30:00,209.5425262362,210.0700240912,NA,210.339115866,210.6314779196
"56",2018-08-07 15:35:00,209.5431584626,210.070676712,NA,210.3395543456,210.6316920608
"57",2018-08-07 15:40:00,209.5438110834,210.0704013876,NA,210.3397684868,210.6314378052
"58",2018-08-07 15:45:00,209.546535759,210.0708398672,NA,210.3385142312,210.6315703688
"59",2018-08-07 15:50:00,209.5439742386,210.0710540084,NA,210.3386467948,210.6321720036
"60",2018-08-07 15:55:00,209.5471883798,210.0727997528,NA,210.3422484296,210.6336621436
"61",2018-08-07 16:00:00,209.5459341242,210.0729323164,NA,210.3447385696,210.6360911004
"62",2018-08-07 16:05:00,209.5490666878,210.0735339512,NA,210.3411675264,210.6360911004
"63",2018-08-07 16:10:00,209.5466683226,210.0730240912,NA,210.3411675264,210.6350407888
"64",2018-08-07 16:15:00,209.5461584626,210.075453048,NA,210.3401172148,210.6352957188
"65",2018-08-07 16:20:00,209.5455874194,210.075453048,NA,210.3433721448,210.634694084
"66",2018-08-07 16:25:00,209.5455874194,210.0714027364,NA,210.33977051,210.633
"67",2018-08-07 16:30:00,209.5415371078,210.0746576664,NA,210.340076426,210.6335812404
"68",2018-08-07 16:35:00,209.5417920378,210.0740560316,NA,210.3406576664,210.633968734
"69",2018-08-07 16:40:00,209.541190403,210.0713619476,NA,210.33804516,210.6315601716
"70",2018-08-07 16:45:00,209.541496319,210.068943188,NA,210.3386365976,210.6310605088
"71",2018-08-07 16:50:00,209.5390775594,210.0693306816,NA,210.3381369348,210.629917748
"72",2018-08-07 16:55:00,209.539465053,210.0699221192,NA,210.337994174,210.6304690712
"73",2018-08-07 17:00:00,209.5430564906,210.0694224564,NA,210.3375454972,210.6317144784
"74",2018-08-07 17:05:00,209.5425568278,210.0692796956,NA,210.3367909044,210.6300305916
"75",2018-08-07 17:10:00,209.539414067,210.0688310188,NA,210.3371070176,210.6289904772
"76",2018-08-07 17:15:00,209.5419653902,210.068076426,NA,210.3360669032,210.6278381936
"77",2018-08-07 17:20:00,209.5442107974,210.0683925392,NA,210.3349146196,210.6269102484
"78",2018-08-07 17:25:00,209.5415269106,210.0673524248,NA,210.3339866744,210.6274724432
"79",2018-08-07 17:30:00,209.5434867962,210.0662001412,NA,210.3325488692,210.6239938492
"80",2018-08-07 17:35:00,209.5393345126,210.065272196,NA,210.3310702752,210.6236675388
"81",2018-08-07 17:40:00,209.5384065674,210.0638343908,NA,210.3307439648,210.622728722
"82",2018-08-07 17:45:00,209.5369687622,210.0623557968,NA,210.330805148,210.6232086648
"83",2018-08-07 17:50:00,209.5384901682,210.0620294864,NA,210.3302850908,210.6232800452
"84",2018-08-07 17:55:00,209.5381638578,210.0620906696,NA,210.3303564712,210.6228415656
"85",2018-08-07 18:00:00,209.538225041,210.0615706124,NA,210.3299179916,210.6250251152
"86",2018-08-07 18:05:00,209.5377049838,210.0646419928,NA,210.3301015412,210.6248211712
"87",2018-08-07 18:10:00,209.5407763642,210.0642035132,NA,210.3328975972,210.6267185248
"88",2018-08-07 18:15:00,209.5403378846,210.0643870628,NA,210.3337949508,210.6285744152
"89",2018-08-07 18:20:00,209.5435214342,210.0671831188,NA,210.3356508412,210.6309823032
"90",2018-08-07 18:25:00,209.5433174902,210.0650804724,NA,210.3360587292,210.6278708084
"91",2018-08-07 18:30:00,209.5442148438,210.0699363628,NA,210.3379472344,210.6302990908
"92",2018-08-07 18:35:00,209.5460707342,210.0703442508,NA,210.3383755168,210.630493512
"93",2018-08-07 18:40:00,209.5494786222,210.069232756,NA,210.337569938,210.6305343008
"94",2018-08-07 18:45:00,209.5483671274,210.0696610384,NA,210.3406107268,210.6317899052
"95",2018-08-07 18:50:00,209.5457954098,210.0718554596,NA,210.3398663312,210.6300257896
"96",2018-08-07 18:55:00,209.547989831,210.0718962484,NA,210.3381022156,210.6309741292
"97",2018-08-07 19:00:00,209.5480306198,210.0681518528,NA,210.3360505552,210.6300652296
"98",2018-08-07 19:05:00,209.5442862242,210.0693877372,NA,210.3371416556,210.628932666
"99",2018-08-07 19:10:00,209.5425221086,210.0673360768,NA,210.337009092,210.6297382448
"100",2018-08-07 19:15:00,209.5464704482,210.0684271772,NA,210.3378146708,210.6268510884
"101",2018-08-07 19:20:00,209.5445615486,210.0682946136,NA,210.3369275144,210.6277178504
"102",2018-08-07 19:25:00,209.544428985,210.0691001924,NA,210.3377942764,210.6275852868
"103",2018-08-07 19:30:00,209.5452345638,210.071213036,NA,210.3376617128,210.6290040464
"104",2018-08-07 19:35:00,209.5473474074,210.072079798,NA,210.3400804724,210.6327382448
"105",2018-08-07 19:40:00,209.5482141694,210.0719472344,NA,210.3378146708,210.629524778
"106",2018-08-07 19:45:00,209.5510816058,210.071365994,NA,210.336601204,210.6300257896
"107",2018-08-07 19:50:00,209.5475003654,210.0751001924,NA,210.3381022156,210.6292609996
"108",2018-08-07 19:55:00,209.5482345638,210.0708867256,NA,210.3343374256,210.6282195364
"109",2018-08-07 20:00:00,209.547021097,210.0693877372,NA,210.3352959624,210.6304948608
"110",2018-08-07 20:05:00,209.5455221086,210.0686229472,NA,210.3385712868,210.6281685504
"111",2018-08-07 20:10:00,209.5477573186,210.069581484,NA,210.3382449764,210.6259652808
"112",2018-08-07 20:15:00,209.5457158554,210.0698568084,NA,210.3370417068,210.626873506
"113",2018-08-07 20:20:00,209.5459911798,210.069530498,NA,210.336949932,210.629108716
"114",2018-08-07 20:25:00,209.5486648694,210.0683272284,NA,210.339185142,210.628955758
"115",2018-08-07 20:30:00,209.5444615998,210.0712354536,NA,210.336032184,210.6296899564
