Serial_number:
2024014
Project ID:

Location:
PAd2019
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/11/2019,12:00:00 pm,0,10.008,21.60
7/11/2019,12:15:00 pm,0,10.008,21.80
7/11/2019,12:30:00 pm,0,10.005,21.90
7/11/2019,12:45:00 pm,0,10.002,22.10
7/11/2019,01:00:00 pm,0,10.002,22.60
7/11/2019,01:15:00 pm,0,10.002,22.90
7/11/2019,01:30:00 pm,0,9.999,23.40
7/11/2019,01:45:00 pm,0,9.999,24.10
7/11/2019,02:00:00 pm,0,9.999,24.80
7/11/2019,02:15:00 pm,0,9.999,25.50
7/11/2019,02:30:00 pm,0,9.996,26.00
7/11/2019,02:45:00 pm,0,9.996,26.50
7/11/2019,03:00:00 pm,0,9.996,26.90
7/11/2019,03:15:00 pm,0,9.993,27.10
7/11/2019,03:30:00 pm,0,9.996,27.20
7/11/2019,03:45:00 pm,0,9.996,27.30
7/11/2019,04:00:00 pm,0,9.996,27.20
7/11/2019,04:15:00 pm,0,9.993,27.40
7/11/2019,04:30:00 pm,0,9.993,27.70
7/11/2019,04:45:00 pm,0,9.990,27.90
7/11/2019,05:00:00 pm,0,9.990,28.00
7/11/2019,05:15:00 pm,0,9.987,27.90
7/11/2019,05:30:00 pm,0,9.984,27.90
7/11/2019,05:45:00 pm,0,9.987,27.70
7/11/2019,06:00:00 pm,0,9.987,27.60
7/11/2019,06:15:00 pm,0,9.984,27.50
7/11/2019,06:30:00 pm,0,9.978,27.30
7/11/2019,06:45:00 pm,0,9.981,27.10
7/11/2019,07:00:00 pm,0,9.981,26.90
7/11/2019,07:15:00 pm,0,9.978,26.70
7/11/2019,07:30:00 pm,0,9.981,26.50
7/11/2019,07:45:00 pm,0,9.969,26.20
7/11/2019,08:00:00 pm,0,9.966,25.90
7/11/2019,08:15:00 pm,0,9.963,25.60
7/11/2019,08:30:00 pm,0,9.963,25.40
7/11/2019,08:45:00 pm,0,9.963,25.20
7/11/2019,09:00:00 pm,0,9.960,24.90
7/11/2019,09:15:00 pm,0,9.960,24.70
7/11/2019,09:30:00 pm,0,9.960,24.60
7/11/2019,09:45:00 pm,0,9.960,24.40
7/11/2019,10:00:00 pm,0,9.957,24.20
7/11/2019,10:15:00 pm,0,9.957,24.00
7/11/2019,10:30:00 pm,0,9.957,23.90
7/11/2019,10:45:00 pm,0,9.954,23.70
7/11/2019,11:00:00 pm,0,9.954,23.60
7/11/2019,11:15:00 pm,0,9.954,23.50
