Serial_number:
2093007
Project ID:

Location:
PAD2019
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/11/2019,12:00:00 pm,0,10.017,21.50
7/11/2019,12:15:00 pm,0,10.014,21.70
7/11/2019,12:30:00 pm,0,10.014,21.80
7/11/2019,12:45:00 pm,0,10.011,22.10
7/11/2019,01:00:00 pm,0,10.011,22.60
7/11/2019,01:15:00 pm,0,10.008,22.90
7/11/2019,01:30:00 pm,0,10.008,23.50
7/11/2019,01:45:00 pm,0,10.008,24.20
7/11/2019,02:00:00 pm,0,10.005,24.90
7/11/2019,02:15:00 pm,0,10.008,25.70
7/11/2019,02:30:00 pm,0,10.005,26.30
7/11/2019,02:45:00 pm,0,10.002,26.80
7/11/2019,03:00:00 pm,0,10.002,27.30
7/11/2019,03:15:00 pm,0,9.999,27.50
7/11/2019,03:30:00 pm,0,9.999,27.70
7/11/2019,03:45:00 pm,0,9.999,27.70
7/11/2019,04:00:00 pm,0,9.999,27.70
7/11/2019,04:15:00 pm,0,9.996,27.90
7/11/2019,04:30:00 pm,0,9.996,28.10
7/11/2019,04:45:00 pm,0,9.993,28.20
7/11/2019,05:00:00 pm,0,9.990,28.30
7/11/2019,05:15:00 pm,0,9.990,28.30
7/11/2019,05:30:00 pm,0,9.984,28.20
7/11/2019,05:45:00 pm,0,9.993,28.10
7/11/2019,06:00:00 pm,0,9.990,27.90
7/11/2019,06:15:00 pm,0,9.984,27.80
7/11/2019,06:30:00 pm,0,9.981,27.70
7/11/2019,06:45:00 pm,0,9.987,27.50
7/11/2019,07:00:00 pm,0,9.984,27.20
7/11/2019,07:15:00 pm,0,9.981,27.10
7/11/2019,07:30:00 pm,0,9.984,26.80
7/11/2019,07:45:00 pm,0,9.972,26.50
7/11/2019,08:00:00 pm,0,9.966,26.20
7/11/2019,08:15:00 pm,0,9.966,25.90
7/11/2019,08:30:00 pm,0,9.963,25.60
7/11/2019,08:45:00 pm,0,9.963,25.30
7/11/2019,09:00:00 pm,0,9.963,25.10
7/11/2019,09:15:00 pm,0,9.960,24.90
7/11/2019,09:30:00 pm,0,9.960,24.60
7/11/2019,09:45:00 pm,0,9.957,24.40
7/11/2019,10:00:00 pm,0,9.957,24.30
7/11/2019,10:15:00 pm,0,9.957,24.10
7/11/2019,10:30:00 pm,0,9.957,23.90
7/11/2019,10:45:00 pm,0,9.957,23.70
7/11/2019,11:00:00 pm,0,9.957,23.60
7/11/2019,11:15:00 pm,0,9.954,23.40
7/11/2019,11:30:00 pm,0,9.954,23.30
7/11/2019,11:45:00 pm,0,9.951,23.20
7/12/2019,12:00:00 am,0,9.951,23.10
7/12/2019,12:15:00 am,0,9.951,22.90
7/12/2019,12:30:00 am,0,9.951,22.80
7/12/2019,12:45:00 am,0,9.948,22.70
7/12/2019,01:00:00 am,0,9.948,22.60
7/12/2019,01:15:00 am,0,9.945,22.50
7/12/2019,01:30:00 am,0,9.945,22.40
7/12/2019,01:45:00 am,0,9.945,22.30
7/12/2019,02:00:00 am,0,9.945,22.20
7/12/2019,02:15:00 am,0,9.945,22.10
7/12/2019,02:30:00 am,0,9.942,22.00
7/12/2019,02:45:00 am,0,9.939,21.90
7/12/2019,03:00:00 am,0,9.939,21.80
7/12/2019,03:15:00 am,0,9.936,21.60
7/12/2019,03:30:00 am,0,9.948,21.50
7/12/2019,03:45:00 am,0,9.945,21.40
7/12/2019,04:00:00 am,0,9.945,21.30
7/12/2019,04:15:00 am,0,9.945,21.10
7/12/2019,04:30:00 am,0,9.942,21.00
7/12/2019,04:45:00 am,0,9.942,20.90
7/12/2019,05:00:00 am,0,9.942,20.80
7/12/2019,05:15:00 am,0,9.942,20.70
