"","new_time","2091437","2093013","2024014","2093007","2075529"
"1",2019-07-13 11:00:00,12.465,13.029,12.972,12.96,NA
"2",2019-07-13 11:15:00,12.462,13.026,12.969,12.96,NA
"3",2019-07-13 11:30:00,12.465,13.029,12.972,12.963,NA
"4",2019-07-13 11:45:00,12.468,13.032,12.969,12.963,NA
"5",2019-07-13 12:00:00,12.471,13.029,12.972,12.963,13.026
"6",2019-07-13 12:15:00,12.474,13.035,12.975,12.966,13.026
"7",2019-07-13 12:30:00,12.48,13.035,12.975,12.966,13.026
"8",2019-07-13 12:45:00,12.477,13.038,12.978,12.966,13.026
"9",2019-07-13 13:00:00,12.483,13.041,12.981,12.972,13.029
"10",2019-07-13 13:15:00,12.486,13.041,12.981,12.972,13.029
"11",2019-07-13 13:30:00,12.483,13.044,12.984,12.969,13.026
"12",2019-07-13 13:45:00,12.489,13.047,12.984,12.969,13.029
"13",2019-07-13 14:00:00,12.492,13.05,12.987,12.975,13.032
"14",2019-07-13 14:15:00,12.489,13.047,12.987,12.972,13.029
"15",2019-07-13 14:30:00,12.492,13.056,12.99,12.978,13.032
"16",2019-07-13 14:45:00,12.495,13.056,12.993,12.978,13.032
"17",2019-07-13 15:00:00,12.501,13.056,12.993,12.978,13.032
"18",2019-07-13 15:15:00,12.501,13.059,12.999,12.981,13.032
"19",2019-07-13 15:30:00,12.501,13.062,12.996,12.984,13.035
"20",2019-07-13 15:45:00,12.507,13.062,12.999,12.981,13.035
"21",2019-07-13 16:00:00,12.507,13.065,13.002,12.984,13.035
"22",2019-07-13 16:15:00,12.51,13.068,13.002,12.984,13.038
"23",2019-07-13 16:30:00,12.513,13.071,13.005,12.987,13.038
"24",2019-07-13 16:45:00,12.513,13.074,13.008,12.993,13.041
"25",2019-07-13 17:00:00,12.519,13.074,13.011,12.993,13.044
"26",2019-07-13 17:15:00,12.519,13.077,13.011,12.99,13.044
"27",2019-07-13 17:30:00,12.522,13.08,13.014,12.993,13.047
"28",2019-07-13 17:45:00,12.522,13.08,13.017,12.996,13.044
"29",2019-07-13 18:00:00,12.528,13.083,13.02,12.999,13.047
"30",2019-07-13 18:15:00,12.528,13.086,13.02,12.999,13.05
"31",2019-07-13 18:30:00,12.531,13.086,13.023,12.999,13.05
"32",2019-07-13 18:45:00,12.534,13.089,13.026,13.002,13.053
"33",2019-07-13 19:00:00,12.537,13.092,13.026,13.005,13.056
"34",2019-07-13 19:15:00,12.537,13.098,13.029,13.008,13.059
"35",2019-07-13 19:30:00,12.54,13.098,13.032,13.011,13.062
"36",2019-07-13 19:45:00,12.54,13.098,13.035,13.014,13.059
"37",2019-07-13 20:00:00,12.546,13.104,13.038,13.011,13.062
"38",2019-07-13 20:15:00,12.549,13.104,13.038,13.017,13.065
"39",2019-07-13 20:30:00,12.552,13.107,13.038,13.017,13.065
"40",2019-07-13 20:45:00,12.549,13.113,13.041,13.02,13.068
"41",2019-07-13 21:00:00,12.555,13.11,13.044,13.023,13.068
"42",2019-07-13 21:15:00,12.558,13.113,13.044,13.023,13.068
"43",2019-07-13 21:30:00,12.561,13.119,13.047,13.026,13.071
"44",2019-07-13 21:45:00,12.564,13.116,13.05,13.023,13.071
"45",2019-07-13 22:00:00,12.564,13.119,13.05,13.026,13.074
"46",2019-07-13 22:15:00,12.567,13.122,13.053,13.026,13.074
"47",2019-07-13 22:30:00,12.573,13.125,13.056,13.029,13.074
"48",2019-07-13 22:45:00,12.576,13.128,13.056,13.032,13.077
"49",2019-07-13 23:00:00,12.576,13.131,13.056,13.029,13.074
"50",2019-07-13 23:15:00,12.579,13.128,13.059,13.032,13.077
"51",2019-07-13 23:30:00,12.582,13.137,13.065,13.035,13.08
"52",2019-07-13 23:45:00,12.585,13.134,13.062,13.038,13.083
"53",2019-07-14 00:00:00,12.588,13.137,13.065,13.041,13.083
"54",2019-07-14 00:15:00,12.588,13.14,13.065,13.038,13.083
"55",2019-07-14 00:30:00,12.591,13.143,13.068,13.041,13.086
"56",2019-07-14 00:45:00,12.591,13.146,13.071,13.041,13.086
"57",2019-07-14 01:00:00,12.594,13.146,13.071,13.041,13.086
"58",2019-07-14 01:15:00,12.597,13.146,13.074,13.044,13.083
"59",2019-07-14 01:30:00,12.6,13.146,13.074,13.041,13.086
"60",2019-07-14 01:45:00,12.603,13.149,13.071,13.041,13.083
"61",2019-07-14 02:00:00,12.603,13.149,13.071,13.044,13.086
"62",2019-07-14 02:15:00,12.603,13.149,13.077,13.044,13.086
"63",2019-07-14 02:30:00,12.606,13.152,13.074,13.044,13.086
"64",2019-07-14 02:45:00,12.609,13.152,13.077,13.044,13.089
"65",2019-07-14 03:00:00,12.612,13.155,13.08,13.05,13.089
"66",2019-07-14 03:15:00,12.615,13.158,13.08,13.047,13.089
"67",2019-07-14 03:30:00,12.621,13.161,13.083,13.053,13.095
"68",2019-07-14 03:45:00,12.618,13.158,13.08,13.053,13.092
"69",2019-07-14 04:00:00,12.621,13.161,13.083,13.053,13.089
"70",2019-07-14 04:15:00,12.621,13.161,13.083,13.053,13.092
"71",2019-07-14 04:30:00,12.624,13.161,13.083,13.05,13.092
"72",2019-07-14 04:45:00,12.621,13.164,13.086,13.053,13.092
"73",2019-07-14 05:00:00,12.621,13.167,13.086,13.05,13.092
"74",2019-07-14 05:15:00,12.621,13.164,13.08,13.047,13.089
"75",2019-07-14 05:30:00,12.627,13.167,13.083,13.053,13.092
"76",2019-07-14 05:45:00,12.624,13.167,13.083,13.047,13.089
"77",2019-07-14 06:00:00,12.63,13.167,13.083,13.053,13.092
"78",2019-07-14 06:15:00,12.63,13.164,13.08,13.05,13.089
"79",2019-07-14 06:30:00,12.633,13.173,13.086,13.05,13.095
"80",2019-07-14 06:45:00,12.636,13.173,13.089,13.056,13.092
"81",2019-07-14 07:00:00,12.636,13.17,13.086,13.053,13.092
"82",2019-07-14 07:15:00,12.636,13.173,13.086,13.056,13.092
"83",2019-07-14 07:30:00,12.633,13.173,13.089,13.053,13.095
"84",2019-07-14 07:45:00,12.636,13.176,13.089,13.053,13.095
"85",2019-07-14 08:00:00,12.636,13.179,13.092,13.062,13.098
"86",2019-07-14 08:15:00,12.633,13.185,13.092,13.062,13.098
"87",2019-07-14 08:30:00,12.639,13.182,13.098,13.059,13.098
"88",2019-07-14 08:45:00,12.636,13.188,13.098,13.065,13.104
"89",2019-07-14 09:00:00,12.633,13.191,13.104,13.068,13.104
