"","new_time","mon_PT_","2091437","2093013","2024014","2093007"
"1",2019-07-13 11:00:00,NA,12.465,13.029,12.972,12.96
"2",2019-07-13 11:15:00,NA,12.462,13.026,12.969,12.96
"3",2019-07-13 11:30:00,NA,12.465,13.029,12.972,12.963
"4",2019-07-13 11:45:00,NA,12.468,13.032,12.969,12.963
"5",2019-07-13 12:00:00,NA,12.471,13.029,12.972,12.963
"6",2019-07-13 12:15:00,NA,12.474,13.035,12.975,12.966
"7",2019-07-13 12:30:00,NA,12.48,13.035,12.975,12.966
"8",2019-07-13 12:45:00,NA,12.477,13.038,12.978,12.966
"9",2019-07-13 13:00:00,NA,12.483,13.041,12.981,12.972
"10",2019-07-13 13:15:00,NA,12.486,13.041,12.981,12.972
"11",2019-07-13 13:30:00,NA,12.483,13.044,12.984,12.969
"12",2019-07-13 13:45:00,NA,12.489,13.047,12.984,12.969
"13",2019-07-13 14:00:00,NA,12.492,13.05,12.987,12.975
"14",2019-07-13 14:15:00,NA,12.489,13.047,12.987,12.972
"15",2019-07-13 14:30:00,NA,12.492,13.056,12.99,12.978
"16",2019-07-13 14:45:00,NA,12.495,13.056,12.993,12.978
"17",2019-07-13 15:00:00,NA,12.501,13.056,12.993,12.978
"18",2019-07-13 15:15:00,NA,12.501,13.059,12.999,12.981
"19",2019-07-13 15:30:00,NA,12.501,13.062,12.996,12.984
"20",2019-07-13 15:45:00,NA,12.507,13.062,12.999,12.981
"21",2019-07-13 16:00:00,NA,12.507,13.065,13.002,12.984
"22",2019-07-13 16:15:00,NA,12.51,13.068,13.002,12.984
"23",2019-07-13 16:30:00,NA,12.513,13.071,13.005,12.987
"24",2019-07-13 16:45:00,NA,12.513,13.074,13.008,12.993
"25",2019-07-13 17:00:00,NA,12.519,13.074,13.011,12.993
"26",2019-07-13 17:15:00,NA,12.519,13.077,13.011,12.99
"27",2019-07-13 17:30:00,NA,12.522,13.08,13.014,12.993
"28",2019-07-13 17:45:00,NA,12.522,13.08,13.017,12.996
"29",2019-07-13 18:00:00,NA,12.528,13.083,13.02,12.999
"30",2019-07-13 18:15:00,NA,12.528,13.086,13.02,12.999
"31",2019-07-13 18:30:00,NA,12.531,13.086,13.023,12.999
"32",2019-07-13 18:45:00,NA,12.534,13.089,13.026,13.002
"33",2019-07-13 19:00:00,NA,12.537,13.092,13.026,13.005
"34",2019-07-13 19:15:00,NA,12.537,13.098,13.029,13.008
"35",2019-07-13 19:30:00,NA,12.54,13.098,13.032,13.011
"36",2019-07-13 19:45:00,NA,12.54,13.098,13.035,13.014
"37",2019-07-13 20:00:00,NA,12.546,13.104,13.038,13.011
"38",2019-07-13 20:15:00,NA,12.549,13.104,13.038,13.017
"39",2019-07-13 20:30:00,NA,12.552,13.107,13.038,13.017
"40",2019-07-13 20:45:00,NA,12.549,13.113,13.041,13.02
"41",2019-07-13 21:00:00,NA,12.555,13.11,13.044,13.023
"42",2019-07-13 21:15:00,NA,12.558,13.113,13.044,13.023
"43",2019-07-13 21:30:00,NA,12.561,13.119,13.047,13.026
"44",2019-07-13 21:45:00,NA,12.564,13.116,13.05,13.023
"45",2019-07-13 22:00:00,NA,12.564,13.119,13.05,13.026
"46",2019-07-13 22:15:00,NA,12.567,13.122,13.053,13.026
"47",2019-07-13 22:30:00,NA,12.573,13.125,13.056,13.029
"48",2019-07-13 22:45:00,NA,12.576,13.128,13.056,13.032
"49",2019-07-13 23:00:00,NA,12.576,13.131,13.056,13.029
"50",2019-07-13 23:15:00,NA,12.579,13.128,13.059,13.032
"51",2019-07-13 23:30:00,NA,12.582,13.137,13.065,13.035
"52",2019-07-13 23:45:00,NA,12.585,13.134,13.062,13.038
"53",2019-07-14 00:00:00,NA,12.588,13.137,13.065,13.041
"54",2019-07-14 00:15:00,NA,12.588,13.14,13.065,13.038
"55",2019-07-14 00:30:00,NA,12.591,13.143,13.068,13.041
"56",2019-07-14 00:45:00,NA,12.591,13.146,13.071,13.041
"57",2019-07-14 01:00:00,NA,12.594,13.146,13.071,13.041
"58",2019-07-14 01:15:00,NA,12.597,13.146,13.074,13.044
"59",2019-07-14 01:30:00,NA,12.6,13.146,13.074,13.041
"60",2019-07-14 01:45:00,NA,12.603,13.149,13.071,13.041
