"","new_time","2091437","2093013","2024014","2093007"
"1",2019-07-13 11:00:00,213.3712911852,213.3372055612,213.3904907456,213.3378724256
"2",2019-07-13 11:15:00,213.3741545752,213.3346134492,213.3819434688,213.3470397084
"3",2019-07-13 11:30:00,213.3775624632,213.3320661724,213.3941107516,213.346858182
"4",2019-07-13 11:45:00,213.3750151864,213.3442334552,213.3879292252,213.3475515916
"5",2019-07-13 12:00:00,213.3871824692,213.3380519288,213.3916226348,213.3531702488
"6",2019-07-13 12:15:00,213.3870009428,213.3447453384,213.400241292,213.349960154
"7",2019-07-13 12:30:00,213.3936943524,213.3503639956,213.3940311972,213.3497256184
"8",2019-07-13 12:45:00,213.3963130096,213.3471539008,213.3967966616,213.3529479336
"9",2019-07-13 13:00:00,213.3961029148,213.3499193652,213.4030189768,213.3600798228
"10",2019-07-13 13:15:00,213.3988683792,213.3531416804,213.404150866,213.3611301344
"11",2019-07-13 13:30:00,213.3990906944,213.3572735696,213.4082011776,213.3511552496
"12",2019-07-13 13:45:00,213.4062225836,213.3613238812,213.4012262928,213.3620050704
"13",2019-07-13 14:00:00,213.4102728952,213.3573489964,213.4150761136,213.3711662024
"14",2019-07-13 14:15:00,213.4002980104,213.3651988172,213.4182372456,213.3661675512
"15",2019-07-13 14:30:00,213.4141478312,213.3773599492,213.4192385944,213.3728405664
"16",2019-07-13 14:45:00,213.4203089632,213.375361298,213.4229116096,213.368792278
"17",2019-07-13 15:00:00,213.424310312,213.3760343132,213.4188633212,213.3733504264
"18",2019-07-13 15:15:00,213.4249833272,213.3749860248,213.4294214696,213.3774109352
"19",2019-07-13 15:30:00,213.4209350388,213.3825441732,213.4274819784,213.3850608584
"20",2019-07-13 15:45:00,213.4314931872,213.383604682,213.4351319016,213.38132666
"21",2019-07-13 16:00:00,213.432553696,213.3912546052,213.4373977032,213.38279708
"22",2019-07-13 16:15:00,213.4402036192,213.3935204068,213.4358681232,213.3827868828
"23",2019-07-13 16:30:00,213.4424694208,213.3949908268,213.438857926,213.3839717812
"24",2019-07-13 16:45:00,213.4409398408,213.3979806296,213.4400428244,213.3905326272
"25",2019-07-13 17:00:00,213.4469296436,213.396165528,213.4436036704,213.3919398408
"26",2019-07-13 17:15:00,213.445114542,213.399726374,213.445010884,213.3906223788
"27",2019-07-13 17:30:00,213.448675388,213.4041335876,213.449693422,213.3947848596
"28",2019-07-13 17:45:00,213.4500826016,213.4058161256,213.4538559028,213.3974789436
"29",2019-07-13 18:00:00,213.4577651396,213.4099786064,213.4565499868,213.39983652
"30",2019-07-13 18:15:00,213.4589276204,213.4126726904,213.4559075632,213.4011927476
"31",2019-07-13 18:30:00,213.4616217044,213.4120302668,213.4602637908,213.4010805784
"32",2019-07-13 18:45:00,213.4639792808,213.4163864944,213.4631516216,213.4043966916
"33",2019-07-13 19:00:00,213.4683355084,213.4192743252,213.4634677348,213.4069888036
"34",2019-07-13 19:15:00,213.4682233392,213.4255904384,213.4660598468,213.4101927476
"35",2019-07-13 19:30:00,213.4715394524,213.4251825504,213.4692637908,213.4138045796
"36",2019-07-13 19:45:00,213.4711315644,213.4253864944,213.4728756228,213.4165904384
"37",2019-07-13 20:00:00,213.4773355084,213.4319983264,213.4756614816,213.4133253112
"38",2019-07-13 20:15:00,213.4809473404,213.4317841852,213.4753963544,213.420436806
"39",2019-07-13 20:30:00,213.4837331992,213.434519058,213.4765078492,213.4211710044
