"","Location","Latitude","Longitude","Q","Quality","Width","Area","new_date"
"5","ATH_39",58.351353,-111.5397997,984.7803474,2,"468.893",1250.994385,2018-08-13 10:47:51
"6","ATH_39",58.35138008,-111.5398557,1001.72727,2,"471.399",1289.317993,2018-08-13 10:55:31
"7","ATH_40",58.35955687,-111.5493525,381.5768589,2,"100.865",279.6478271,2018-08-13 11:16:30
"8","ATH_40",58.35967524,-111.5494792,428.7601703,3,"115.738",336.4491577,2018-08-13 11:19:46
"9","ATH_41",58.37287413,-111.5479148,587.2186413,3,"175.883",673.2396851,2018-08-13 11:29:18
"10","ATH_41",58.37295865,-111.5479819,567.9544563,3,"178.555",652.5518799,2018-08-13 11:33:15
"11","ATH_42",58.37916267,-111.544726,589.2544738,2.5,"176.766",681.4954834,2018-08-13 11:40:32
"12","ATH_42",58.37930947,-111.5445751,593.2744835,2.5,"171.679",678.4502563,2018-08-13 11:44:47
"13","EM_28",58.3882834,-111.5380557,181.4265303,3,"122.911",236.0382233,2018-08-13 11:54:52
"14","EM_28",58.38842386,-111.5381198,171.1089316,3,"116.892",235.4052124,2018-08-13 11:58:24
"16","EM_29",58.39140771,-111.5409782,194.314977,3,"123.924",251.4696655,2018-08-13 12:06:16
"18","EM_30",58.39606852,-111.5487393,167.4226946,2,"95.428",240.3698273,2018-08-13 12:16:06
"19","EM_30",58.39613193,-111.5488723,175.6597987,2,"91.747",238.0713348,2018-08-13 12:18:09
"21","EM_31",58.40190189,-111.5519048,188.3739333,2,"110.923",242.9776154,2018-08-13 12:23:29
"22","EM_31",58.40179747,-111.5519246,187.6586138,3,"109.024",245.6408234,2018-08-13 12:27:14
"23","EM_32",58.40693463,-111.5593393,184.7775934,2,"115.058",355.8874207,2018-08-13 12:33:05
"24","EM_32",58.40693538,-111.5593365,182.4419407,2,"110.017",351.9159546,2018-08-13 12:35:53
"25","EM_33",58.41119311,-111.5588151,193.0541822,2,"107.215",338.1567078,2018-08-13 12:42:54
"26","EM_33",58.4112231,-111.5588672,187.6337168,2,"117.861",362.6570435,2018-08-13 12:46:01
"27","EM_34",58.41436335,-111.5631136,186.8973317,2,"94.69",280.0630493,2018-08-13 12:51:07
"28","EM_34",58.41421635,-111.5629402,187.4070069,2,"100.079",283.7424316,2018-08-13 12:53:27
"29","EM_35",58.42030505,-111.562378,201.3419457,2,"111.897",297.7268066,2018-08-13 13:01:30
"30","EM_35",58.42043724,-111.5621235,201.0653221,2,"112.933",294.1713257,2018-08-13 13:03:50
"31","EM_36",58.42966189,-111.545484,187.0437404,2,"121.986",277.1583252,2018-08-13 14:07:28
"32","EM_36",58.4295732,-111.5455792,188.1780654,2,"122.339",274.4428101,2018-08-13 14:10:20
"34","EM_37",58.42416009,-111.5531014,181.1946413,2,"90.056",253.7766724,2018-08-13 14:17:10
"35","EM_37",58.42412692,-111.5531025,184.5204898,2,"119.197",254.9833374,2018-08-13 14:19:42
"37","EM_38",58.43470656,-111.5383583,193.0992088,2,"129.83",260.0862427,2018-08-13 14:31:15
"38","EM_39",58.44057135,-111.5392497,219.6616618,2,"127.574",331.3830872,2018-08-13 14:40:35
"39","EM_39",58.44064118,-111.5392808,223.2686957,2,"126.929",318.3917847,2018-08-13 14:43:28
"40","EM_40",58.44479086,-111.5429448,167.5554111,2,"115.841",262.0345459,2018-08-13 14:49:26
"41","EM_40",58.44480882,-111.5430751,182.2421804,2,"120.465",267.7257996,2018-08-13 14:52:14
"43","EM_41",58.44514976,-111.5504318,187.2281122,2.5,"104.713",278.6517334,2018-08-13 15:02:57
"44","EM_41",58.44508318,-111.5502792,181.7912325,2.5,"104.628",274.2069702,2018-08-13 15:05:11
"45","EM_42",58.44520881,-111.560315,158.7472507,2,"103.955",233.0662689,2018-08-13 15:11:35
"46","EM_42",58.44520338,-111.5601312,155.8296176,2,"106.589",238.1016998,2018-08-13 15:14:39
"47","EM_43",58.45110974,-111.5646657,184.3476532,2,"109.777",266.8156433,2018-08-13 15:29:03
"48","EM_43",58.45107767,-111.5645955,176.0761337,2,"109.767",255.7818146,2018-08-13 15:31:43
"49","EM_44",58.45590853,-111.5572035,186.9748187,3,"103.46",285.2935486,2018-08-13 15:38:28
"50","EM_44",58.45580802,-111.5570829,187.3707027,3,"99.273",284.2070923,2018-08-13 15:41:23
"51","EM_45",58.45750201,-111.5458378,183.8965437,3,"107.805",274.6897583,2018-08-13 15:47:32
"52","EM_45",58.4574281,-111.5459274,184.0280173,3,"107.087",273.6363831,2018-08-13 15:50:22
"53","EM_46",58.45639581,-111.5331672,188.9737272,2.5,"189.608",258.6654053,2018-08-13 15:57:44
"54","EM_46",58.45630134,-111.5326382,176.1635343,2.5,"190.588",269.4715881,2018-08-13 16:02:53
"55","EM_47",58.45403104,-111.5202805,190.220885,2,"143.16",273.5372314,2018-08-13 16:12:54
"56","EM_47",58.45397279,-111.5198371,189.0905653,2,"150.238",282.5514832,2018-08-13 16:15:58
"57","EM_48",58.45093088,-111.5131752,188.9671754,2,"136.836",265.0574951,2018-08-13 16:24:36
"58","EM_48",58.45083591,-111.5129237,178.2100571,2,"135.307",264.0230713,2018-08-13 16:27:47
"59","EM_49",58.44619399,-111.510776,185.9943019,2,"118.745",273.467926,2018-08-13 16:34:03
"60","EM_49",58.44626638,-111.5109355,183.8141293,2,"116.967",291.160675,2018-08-13 16:37:02
"61","EM_50",58.4463406,-111.5043104,185.097049,2,"83.711",252.8603668,2018-08-13 16:41:53
"62","EM_50",58.44639794,-111.5041419,187.3940647,2.5,"88.903",257.9078979,2018-08-13 16:44:00
"63","EM_51",58.45277289,-111.4994052,184.2543396,3,"144.893",304.4691772,2018-08-13 16:50:13
"64","EM_51",58.45309494,-111.4991193,184.6119257,3,"146.868",301.0896912,2018-08-13 16:53:58
"66","EM_52",58.45907382,-111.4940922,186.7341915,2,"155.623",289.0999451,2018-08-13 17:07:01
"67","EM_52",58.45931939,-111.4938631,180.5288991,3,"143.915",286.0774841,2018-08-13 17:10:24
"68","EM_53",58.46875553,-111.4901818,186.5772753,2,"171.792",296.2718201,2018-08-13 17:19:34
"69","EM_53",58.46900446,-111.4900011,176.0281362,2,"161.932",290.4318542,2018-08-13 17:23:28
"70","EM_54",58.47505175,-111.4869781,167.7114289,3,"135.831",323.4071045,2018-08-13 17:32:15
"71","EM_54",58.47513029,-111.4870591,172.1209724,3,"135.901",321.8627319,2018-08-13 17:35:28
"72","EM_55",58.47790049,-111.4815661,187.3181795,2,"132.39",357.7204895,2018-08-13 17:41:26
"73","EM_55",58.47800056,-111.4814301,182.0204168,3,"128.831",360.6919556,2018-08-13 17:45:05
"74","EM_56",58.47921652,-111.4741505,66.21262469,2,"77.913",133.9486237,2018-08-13 17:52:10
"75","EM_56",58.47927931,-111.4741911,60.60828036,2,"77.983",136.6232758,2018-08-13 17:54:44
"76","RC1",58.91457917,-111.17825,1655.44222,2,"354.316",2926.544922,2018-08-17 10:32:02
"77","RC1",58.9145595,-111.1782877,1678.338827,2,"359.199",2926.544189,2018-08-17 10:37:49
"78","RC2",58.9007173,-111.1904278,1650.445777,2,"281.365",2715.407959,2018-08-17 10:53:25
"79","RC2",58.90137282,-111.1900459,1669.533633,2,"283.4",2751.047363,2018-08-17 10:58:32
"80","RC3",58.88850532,-111.19518,1631.065715,2,"206.997",3502.999512,2018-08-17 11:11:23
"81","RC3",58.88852619,-111.1954134,1566.634451,2,"203.359",3634.07666,2018-08-17 11:15:29
"82","RC4",58.88324474,-111.2161726,1698.636789,2,"281.129",2776.662109,2018-08-17 11:30:34
"83","RC4",58.88336849,-111.2152765,1685.778983,2,"283.228",2772.09082,2018-08-17 11:36:24
"84","RC5",58.87805679,-111.2395276,1630.450466,2,"267.322",2830.619141,2018-08-17 11:50:37
"85","RC5",58.87822833,-111.2384775,1510.335072,2,"272.268",2858.491211,2018-08-17 11:56:04
"86","RC6",58.8714618,-111.2521264,1645.236566,2,"301.57",2635.82959,2018-08-17 12:13:39
"87","RC6",58.87196201,-111.2514029,1700.386227,2,"315.991",2707.612793,2018-08-17 12:20:07
"88","RC7",58.86074036,-111.2575957,1642.350956,2,"373.512",2609.437988,2018-08-17 12:34:34
"89","RC7",58.86143725,-111.2575061,1657.673213,2,"362.365",2612.254639,2018-08-17 12:41:14
"93","RC8",58.85119205,-111.2623596,1642.551545,2,"334.803",2672.523926,2018-08-17 13:07:35
"94","RC8",58.85103697,-111.2624483,1630.090306,2,"334.795",2660.951172,2018-08-17 13:13:58
"96","RC9",58.84474848,-111.2660646,1726.575144,2,"319.696",2754.100342,2018-08-17 13:54:37
"97","RC9",58.84524252,-111.265681,1728.583524,2,"346.235",2731.770508,2018-08-17 13:59:26
"98","RC10",58.82104533,-111.2795333,1711.704201,2,"263.041",2713.827148,2018-08-17 14:16:19
"99","RC10",58.82124013,-111.2795573,1686.470157,2,"260.606",2686.206787,2018-08-17 14:21:16
"100","RC11",58.81110275,-111.2831065,1256.200065,2,"191.276",2236.937988,2018-08-17 14:32:45
"101","RC11",58.81105192,-111.2831998,1224.002252,2,"194.143",2216.311279,2018-08-17 14:36:47
"102","RC12",58.80619159,-111.2885345,513.3215545,2,"190.708",954.4016113,2018-08-17 14:45:51
"103","RC12",58.80633114,-111.2885229,508.7915535,2,"191.087",960.352417,2018-08-17 14:50:04
"104","RC12",58.79908084,-111.297328,498.5248695,2,"170.997",1157.509277,2018-08-17 14:59:28
"105","RC12",58.79895304,-111.2975762,517.2694709,2,"163.278",1157.242554,2018-08-17 15:03:31
"106","RC14",58.79035636,-111.2872022,524.5411633,3,"98.494",869.4829712,2018-08-17 15:14:47
"107","RC14",58.79034459,-111.2873111,529.1961114,3,"101.527",819.0424194,2018-08-17 15:16:58
"108","RC15",58.78283858,-111.2708898,513.8357131,2,"121.099",899.8331299,2018-08-17 15:26:00
"109","RC15",58.78272289,-111.2706221,501.0268935,2,"126.338",894.5670166,2018-08-17 15:28:35
"110","RC16",58.78390552,-111.2659157,352.4090834,2,"148.762",666.1793823,2018-08-17 15:37:51
"111","RC16",58.78420652,-111.2658017,351.4323445,2,"135.788",680.0942993,2018-08-17 15:40:33
"112","RC17",58.79103794,-111.2718134,740.1050228,2,"138.332",1434.078125,2018-08-17 15:50:36
"113","RC17",58.79108483,-111.2716104,750.5212488,2,"142.192",1409.911133,2018-08-17 15:53:07
"114","RC18",58.8010714,-111.2808908,780.0581221,2,"175.666",1750.142578,2018-08-17 16:03:32
"115","RC18",58.80100808,-111.2807717,777.7876665,2,"168.831",1644.519287,2018-08-17 16:06:29
"118","RC20",58.80400302,-111.2817314,742.8051782,2,"132.441",1470.18103,2018-08-17 16:17:28
"119","RC20",58.8039753,-111.2816219,783.3228924,2,"134.738",1489.055786,2018-08-17 16:20:36
"120","RC21",58.8132512,-111.2771147,409.197396,2,"140.3",746.3311768,2018-08-19 09:28:10
"121","RC21",58.81322979,-111.2771756,431.5289481,2,"141.636",769.1398926,2018-08-19 09:30:50
"122","RC34",58.76427043,-111.2016142,864.649734,2,"275.682",1435.025269,2018-08-19 09:31:59
"123","RC34",58.76473359,-111.2018399,890.0147964,2.5,"286.86",1540.921875,2018-08-19 09:37:49
"124","RC22",58.80625747,-111.2631755,431.6779366,3,"144.731",784.1846313,2018-08-19 09:42:58
"125","RC22",58.80624637,-111.2633525,440.2954581,3,"139.19",777.586853,2018-08-19 09:46:39
"126","RC23",58.80121903,-111.2550742,412.4903667,2,"101.018",943.7557983,2018-08-19 09:55:13
"127","RC23",58.80108118,-111.2550092,391.6569742,2,"106.247",949.619751,2018-08-19 09:57:46
"128","RC35",58.7467806,-111.198554,891.1600091,3,"225.86",1540.739136,2018-08-19 09:58:19
"129","RC24",58.8009601,-111.2515415,38.147169,2.5,"62.252",111.8448486,2018-08-19 10:02:16
"130","RC35",58.74690349,-111.198548,842.3060183,2,"221.139",1515.153931,2018-08-19 10:02:24
"131","RC24",58.80095453,-111.2513693,35.06058889,2,"62.012",115.5689697,2018-08-19 10:04:02
"132","RC25",58.80001299,-111.2516655,390.9187554,2,"87.233",783.1345215,2018-08-19 10:07:36
"133","RC25",58.79987737,-111.2515977,389.3945089,3,"87.458",821.5577393,2018-08-19 10:09:42
"134","RC26",58.79791006,-111.2440608,406.3616608,3,"88.887",766.5773926,2018-08-19 10:14:49
"135","RC26",58.79794279,-111.2440175,394.2834814,2,"86.63",768.4788208,2018-08-19 10:16:52
"136","RC36",58.72903687,-111.1946684,871.1759408,2,"243.133",1379.682129,2018-08-19 10:18:39
"138","RC33",58.77745954,-111.2046153,871.2295013,2,"258.746",1395.926636,2018-08-19 10:21:08
"140","RC27",58.79719033,-111.2414057,40.51816305,2,"44.159",102.8887939,2018-08-19 10:22:47
"141","RC36",58.72953997,-111.1940921,857.5824447,3,"219.989",1357.400879,2018-08-19 10:24:04
"142","RC33",58.77769747,-111.2049895,883.3844266,2.5,"257.027",1402.35022,2018-08-19 10:26:42
"143","RC28",58.79430885,-111.2432227,428.6836984,3,"115.86",1053.21106,2018-08-19 10:27:11
"144","RC28",58.7943374,-111.2435335,429.5272356,2,"123.379",982.6972046,2018-08-19 10:29:26
"146","RC37",58.71959453,-111.2041892,836.8948456,3,"134.317",1493.30542,2018-08-19 10:35:58
"147","RC29",58.79043352,-111.243863,224.9563333,2,"57.073",423.8779297,2018-08-19 10:37:24
"149","RC30",58.79098968,-111.2376395,188.8918138,2.5,"63.372",378.6844788,2018-08-19 10:42:50
"150","RC30",58.79099794,-111.237598,185.8522546,2,"65.18",374.5386963,2018-08-19 10:44:48
"151","RC31",58.78710649,-111.2332074,458.2133389,2,"155.024",841.3799438,2018-08-19 10:50:12
"152","RC31",58.7869969,-111.2329274,468.405146,3,"152.167",833.4223633,2018-08-19 10:52:59
"153","RC32",58.7846361,-111.2229816,846.8599669,3,"287.466",1888.340332,2018-08-19 11:01:22
"155","RC32",58.7844737,-111.221489,879.8901261,3,"293.302",1860.051025,2018-08-19 11:12:44
"157","RC38",58.72955343,-111.2261046,418.0980404,3,"97.841",758.1468506,2018-08-19 13:24:29
"158","RC38",58.72947231,-111.226363,404.9475545,2.5,"98.143",747.7814941,2018-08-19 13:26:50
"159","RC43",58.78559113,-111.2640916,396.893767,2,"117.279",769.3533325,2018-08-19 13:36:43
"160","RC43",58.78555722,-111.2644215,373.6598962,2,"107.835",815.0060425,2018-08-19 13:39:23
"161","RC39",58.74643493,-111.2167454,418.8760691,3,"165.002",757.4614258,2018-08-19 13:40:11
"162","RC39",58.74619168,-111.2167332,406.9275082,2,"160.852",745.9846191,2018-08-19 13:43:41
"163","RC44",58.78349877,-111.236627,417.7472012,2,"123.599",778.744873,2018-08-19 13:51:57
"164","RC44",58.78342912,-111.2368493,417.5129027,2.5,"111.187",773.5842896,2018-08-19 13:54:45
"165","RC40",58.76499295,-111.2176456,407.8752313,3,"159.55",713.6110229,2018-08-19 13:58:20
"166","RC40",58.76519233,-111.2179573,409.8129534,2,"176.295",732.4111328,2018-08-19 14:01:34
"167","RC41",58.77121365,-111.2266183,413.5025432,2.5,"181.578",708.6962891,2018-08-19 14:11:04
"168","RC41",58.77117156,-111.226568,401.6784913,2.5,"180.334",707.9871826,2018-08-19 14:14:45
"170","RC42",58.77826017,-111.2560895,901.4187994,2.5,"222.878",1492.876465,2018-08-19 14:29:29
"172","RC42",58.77849282,-111.257005,896.2802977,2,"220.72",1478.610229,2018-08-19 14:36:28
"173","RC45",58.77079788,-111.2369041,469.272503,3,"188.624",780.4044189,2018-08-19 16:09:41
"174","RC49",58.70257904,-111.1965455,1682.578728,2.5,"282.825",2811.530273,2018-08-19 16:09:57
"177","RC46",58.76467667,-111.2299994,466.7833214,2.5,"199.084",783.5197144,2018-08-19 16:24:02
"178","RC46",58.76490681,-111.2302176,442.3937386,2,"208.948",768.0392456,2018-08-19 16:28:12
"179","RC47",58.74593097,-111.2388391,465.7351795,2.5,"233.794",914.1748657,2018-08-19 16:40:08
"180","RC47",58.7457154,-111.2388253,469.5231563,2,"235.204",925.8353882,2018-08-19 16:44:21
"182","RC48",58.72938592,-111.2394954,437.8908485,2.5,"164.86",879.1992798,2018-08-19 16:59:52
"183","MC_100",58.48015545,-111.4832366,106.3625868,2,"73.251",351.9277344,2018-08-21 11:17:11
"184","MC_100",58.4801771,-111.4832043,107.8596559,2,"73.697",336.4308777,2018-08-21 11:19:10
"185","EM_100",58.47807081,-111.4808596,159.4821442,2,"124.865",344.2258301,2018-08-21 11:27:33
"186","EM_100",58.47810108,-111.4807999,144.5292869,2,"119.579",343.511261,2018-08-21 11:30:30
"187","EM_100",58.47806556,-111.4808634,155.2092737,2,"126.481",343.0708923,2018-08-21 11:36:30
"188","EM_100",58.47822148,-111.4807325,154.1173375,2,"124.618",348.2678833,2018-08-21 11:39:22
"191","MC_101",58.54448977,-111.4941272,110.7550215,2,"67.047",204.9878387,2018-08-21 15:47:41
"192","MC_101",58.54440912,-111.4942554,104.3544868,2,"68.678",209.7483368,2018-08-21 15:49:56
"193","MC_102",58.59533019,-111.4673585,94.62975891,2,"65.049",236.3137054,2018-08-21 16:53:15
"194","MC_102",58.59527255,-111.4673498,105.8947677,2,"72.224",239.7378693,2018-08-21 16:55:13
"195","MC_103",58.58724299,-111.4748216,103.3273073,2,"45.562",224.7991333,2018-08-21 17:09:09
"196","MC_103",58.58725568,-111.4749345,109.0963784,2,"45.665",227.8438416,2018-08-21 17:10:47
"197","MC_104",58.57953999,-111.4911813,105.6623699,2,"70.808",238.4075928,2018-08-21 17:25:00
"198","MC_104",58.57958819,-111.4913477,105.9264405,2,"70.269",239.4430237,2018-08-21 17:27:01
"199","MC_105",58.56755124,-111.4993127,107.1846674,2,"56.576",243.2175751,2018-08-21 17:44:36
"200","MC_105",58.56761099,-111.4993758,103.7387257,2,"53.226",249.8579865,2018-08-21 17:46:13
"201","RC50",58.92603108,-111.1961981,1999.382564,3,"333.274",2639.358887,2018-08-23 11:03:37
"202","RC50",58.92673578,-111.1983991,1898.663243,3,"327.12",2654.895264,2018-08-23 11:09:47
"205","RC52",58.93596173,-111.2480987,1566.994521,2,"217.523",3127.499268,2018-08-23 11:48:22
"206","RC52",58.93587257,-111.2483872,1690.93755,2,"221.277",3181.769287,2018-08-23 11:52:43
"207","RC53",58.93247217,-111.2673674,1841.058791,3,"276.689",3138.344971,2018-08-23 12:06:44
"208","RC53",58.93262224,-111.2680349,1912.173564,3,"281.034",3237.956543,2018-08-23 12:11:40
"209","RC56",58.95439711,-111.2959851,1896.404386,3,"340.892",2742.2229,2018-08-23 12:17:53
"210","RC54",58.93869232,-111.2708695,1850.483136,2,"222.089",2805.111572,2018-08-23 12:23:10
"211","RC56",58.95441368,-111.295978,1887.937913,3,"243.007",2613.624023,2018-08-23 12:24:40
"212","RC54",58.93827281,-111.2710341,2150.637523,2,"276.455",3307.51001,2018-08-23 12:27:39
"213","RC55",58.94259419,-111.2773293,879.6099881,2.5,"121.895",1273.77002,2018-08-23 12:40:44
"214","RC55",58.94272188,-111.277181,925.8544267,3,"127.08",1328.546143,2018-08-23 12:43:37
"215","RC57",58.96604747,-111.3364925,1891.110592,3,"192.514",2662.185303,2018-08-23 12:44:01
"217","RC57",58.96637327,-111.33762,1871.532547,3,"202.807",2326.297852,2018-08-23 12:49:33
