Filename,Measurement_type,Location,Measurement_number,Comments,Party,Boat_motor,Date,Start_time,End_time,Time_zone,Transducer_depth,Mag_declination,Track_ref,Start_bank,GPS_quality,HDOP,Voltage,L_edge_dist,R_edge_dist,L_edge_Qual,R_edge_Qual,Edge_notes,Depth_ref_invalid,Depth_notes,Depth_reference,Track_ref_invalid,Veloc_vector,Veloc_SNR,Width,Area,Veloc_avg,Boat_veloc_avg,Boat_water_ratio,Per_Measured,Keep_or_remove,Final_notes,Quality,Latitude,Longitude,Q,Mat_export
20050102094504,Q,ATH_38,1,,TL CG,RG,8/13/2018,10:22:49,10:32:46,-6,0.109999999,14.10000038,BT,Left,0,1,15.5,1,1,1,1,,1,,BT,0,2,1,454.346,1254.136475,0.773,0.799,1.033635188,75,0,"GPS not working, bottom tracking looks bad and disagrees with other discharge",1,0,0,969.0019571,
20050102095504,Q,ATH_38,2,,TL CG,RG,8/13/2018,10:32:49,10:42:14,-6,0.109999999,14.10000038,BT,Right,0,1,15.1,1,1,1,1,,1,,BT,0,1,1,410.448,1107.39209,0.722,0.815,1.128808864,77.2,0,same as last,1,0,0,799.9414003,
20050102100817,aborted,ATH_39,1,,TL CG,RG,8/13/2018,10:46:01,10:46:55,-6,0.109999999,14.10000038,BT,Left,1,1,14.9,1,0,1,0,,,,BT,,,,35.436,134.6745911,0.222,0.762,3.432432432,78.3,,,,-3.58811E-05,7.69391E-05,29.86156261,
20050102100944,aborted,ATH_39,2,,TL CG,RG,8/13/2018,10:47:29,10:47:34,-6,0.109999999,14.10000038,BT,Left,,0,15.1,1,0,0,0,,,,BT,,,,1,0,0,0,,0,,,,58.35078746,-111.5436669,0,
20050102101007,Q,ATH_39,3,,TL CG,RG,8/13/2018,10:47:51,10:55:28,-6,0.109999999,14.10000038,BT,Left,1,1,14.8,1,1,0,1,,0,dropout in both BT and VB in same place near edge,BT,0,3,1,468.893,1250.994385,0.787,1.079,1.371029225,75.6,1,"Bottom tracking failed in some places, but very small % of total XS",2,58.351353,-111.5397997,984.7803474,
20050102101747,Q,ATH_39,4,,TL CG,RG,8/13/2018,10:55:31,11:03:59,-6,0.109999999,14.10000038,BT,Right,0,1,14.7,1,1,0,1,,1,,BT,0,2,1,471.399,1289.317993,0.777,0.975,1.254826255,75.7,1,"looks good except for few missing BT track refs, same comment as last.",2,58.35138008,-111.5398557,1001.72727,
20050102103845,Q,ATH_40,1,,TL CG,RG,8/13/2018,11:16:30,11:19:42,-6,0.109999999,14.10000038,GGA,Right,1,1,14.6,1,11.39999962,1,1,,1,,BT,1,2,1,100.865,279.6478271,1.364,0.668,0.48973607,71.7,1,"Suspect moving bed in this transect, BT track reference is very different from the GPS ref.",2,58.35955687,-111.5493525,381.5768589,
20050102104200,Q,ATH_40,2,,TL CG,RG,8/13/2018,11:19:46,11:22:02,-6,0.109999999,14.10000038,GGA,Left,1,1,14.6,10,1,1,0,,1,,BT,1,3,1,115.738,336.4491577,1.274,0.897,0.704081633,73.7,1,"Same location as last, but moving bed not as apparent. Might be wrong.",3,58.35967524,-111.5494792,428.7601703,
20050102105133,Q,ATH_41,1,,TL CG,RG,8/13/2018,11:29:18,11:33:11,-6,0.109999999,14.10000038,GGA,Right,1,1,14.5,1,1,1,1,,1,,BT,1,3,1,175.883,673.2396851,0.872,0.81,0.928899083,74.3,1,nice channel shape and velocity profile,3,58.37287413,-111.5479148,587.2186413,
20050102105530,Q,ATH_41,2,,TL CG,RG,8/13/2018,11:33:15,11:36:55,-6,0.109999999,14.10000038,GGA,Left,1,1,14.5,1,1,1,1,,1,,BT,1,3,1,178.555,652.5518799,0.87,0.872,1.002298851,75.8,1,same as last,3,58.37295865,-111.5479819,567.9544563,
