Filename,Measurement_type,Location,Measurement_number,Comments,Party,Boat_motor,Date,Start_time,End_time,Time_zone,Transducer_depth,Mag_declination,Track_ref,Start_bank,GPS_quality,HDOP,Voltage,L_edge_dist,R_edge_dist,L_edge_Qual,R_edge_Qual,Edge_notes,Depth_ref_invalid,Depth_notes,Depth_reference,Track_ref_invalid,Veloc_vector,Veloc_SNR,Width,Area,Veloc_avg,Boat_veloc_avg,Boat_water_ratio,Per_Measured,Keep_or_remove,Final_notes,Quality,Latitude,Longitude,Q,Mat_export
2.01808E+13,T,mamawi creek cutoff,1,environment canada gauge,LP,,8/5/2018,12:56:32,12:57:04,-6,0.050000001,14,GPS-GGA,Left,1,1,15.5,999,999,1,0,test,1,,VB,1,3,1,"2,030.23",3488.528076,-0.213,0.981,-4.605633803,0.8,remove,short test transect,1,58.48138958,-111.4862973,-645.1952225,
2.01808E+13,Q,mamawi creek cutoff,2,environment canada gauge,LP,,8/5/2018,12:58:14,13:00:12,-6,0.050000001,14,GPS-GGA,Right,1,1,15.3,2,4,1,1,,1,,VB,1,3,1,64.819,269.0907593,0.686,0.568,0.827988338,31.8,,,3,58.48200348,-111.4873401,167.3409284,
2.01808E+13,Q,mamawi creek cutoff,3,environment canada gauge,LP,,8/5/2018,13:00:17,13:01:47,-6,0.050000001,14,GPS-GGA,Left,1,1,15.3,4,1.5,1,1,,1,,VB,1,3,1,64.453,262.7462158,0.686,0.664,0.967930029,30.3,,,3,58.48195916,-111.4874819,160.9588219,
2.01808E+13,Q,mamawi creek cutoff,4,environment canada gauge,LP,,8/5/2018,13:01:57,13:04:00,-6,0.050000001,14,GPS-GGA,Right,1,1,15.3,1.5,1.5,0,1,,0,small gap at the beginning,VB,1,3,1,65.003,260.9414673,0.699,0.585,0.836909871,32.1,,,3,58.4819622,-111.4874234,164.7070749,
2.01808E+13,Q,mamawi creek cutoff,5,environment canada gauge,LP,,8/5/2018,13:04:31,13:06:29,-6,0.050000001,14,GPS-GGA,Left,1,1,15.2,1.5,1.5,1,1,,1,,VB,1,3,1,64.201,260.3561096,0.68,0.581,0.854411765,30.5,,,3,58.48188046,-111.4874651,158.9097581,
2.01808E+13,Q,mamawi creek cutoff,6,environment canada gauge,LP,,8/5/2018,13:07:13,13:09:24,-6,0.050000001,14,GPS-GGA,Right,1,1,15.2,1.5,1.5,1,1,,1,,VB,1,3,1,65.473,264.7098999,0.63,0.529,0.83968254,31.6,,,3,58.48193686,-111.4874332,164.3587346,
2.01808E+13,Q,mamawi creek cutoff,7,environment canada gauge,LP,,8/5/2018,13:09:49,13:11:52,-6,0.050000001,14,GPS-GGA,Left,1,1,15.1,1.5,1.5,1,1,,1,,VB,1,3,1,64.977,265.9650879,0.629,0.55,0.874403816,30.3,,,3,58.48187956,-111.4874402,157.81298,
2.01808E+13,Q,mamawi creek cutoff,8,environment canada gauge,LP,,8/5/2018,13:15:09,13:17:31,-6,0.050000001,14,GPS-GGA,Left,1,1,15,0.5,2,1,1,,1,,VB,1,3,1,73.236,263.5176697,0.634,0.547,0.862776025,30.7,,,3,58.48279947,-111.4887507,160.1380351,
2.01808E+13,Q,mamawi creek cutoff,9,environment canada gauge,LP,,8/5/2018,13:17:43,13:19:59,-6,0.050000001,14,GPS-GGA,Right,1,1,15,2,0.5,1,1,,1,,VB,1,3,1,71.786,262.0366211,0.65,0.554,0.852307692,31.1,,,3,58.48280173,-111.4886152,158.3715029,
2.01808E+13,Q,mamawi creek cutoff,10,environment canada gauge,LP,,8/5/2018,13:20:31,13:22:57,-6,0.050000001,14,GPS-GGA,Left,1,1,15,0.75,3,1,1,,1,,VB,1,3,1,72.543,266.7053833,0.685,0.549,0.801459854,30.5,,,3,58.48276663,-111.4886759,164.291057,
2.01808E+13,Q,back from base station 3,1,,TL EK LP CG,RG,8/5/2018,13:46:40,13:50:05,-6,0.050000001,14,GPS-GGA,Left,1,1,15,999,999,1,0,,0,missing data for both VB and BT,VB,1,1,0,"2,247.84",7791.139648,0.238,1.38,5.798319328,1.5,remove,"the SNR was 0, the velocity vector appeared parallel to boat movement (flat) and there were large spaces of missing data)",1,58.48222948,-111.4954116,1836.043161,
2.01808E+13,Q,back from base station 3,2,,TL EK LP CG,RG,8/5/2018,13:50:31,13:52:27,-6,0.050000001,14,GPS-GGA,Left,1,1,14.9,0.5,0.5,1,1,,1,,VB,1,2,1,64.798,352.1951294,0.43,0.569,1.323255814,75.9,,,2,58.48308131,-111.4970993,151.3519153,
2.01808E+13,Q,back from base station 3,3,,TL EK LP CG,RG,8/5/2018,13:52:52,13:54:47,-6,0.050000001,14,GPS-GGA,Right,1,1,14.9,0.5,0.5,0,1,,1,,VB,1,2,1,64.826,355.0657349,0.438,0.606,1.383561644,76.6,,,2,58.48315811,-111.4970939,154.6237646,
