Filename,Measurement_type,Location,Measurement_number,Comments,Party,Boat_motor,Date,Start_time,End_time,Time_zone,Transducer_depth,Mag_declination,Track_ref,Start_bank,GPS_quality,HDOP,Voltage,L_edge_dist,R_edge_dist,L_edge_Qual,R_edge_Qual,Edge_notes,Depth_ref_invalid,Depth_notes,Depth_reference,Track_ref_invalid,Veloc_vector,Veloc_SNR,Width,Area,Veloc_avg,Boat_veloc_avg,Boat_water_ratio,Per_Measured,Keep_or_remove,Final_notes,Quality,Latitude,Longitude,Q,Mat_export
20180809095913,q,EM_1,1,,TL WD,RG,8/9/2018,9:59:13,10:01:03,-6,0.029999999,14.10000038,GPS-VTG,Left,1,1,14.7,1,999,0,1,"R edge 30m drift, L edge no cells",1,changed to BT bc one spike,BT,1,2,1,"1,011.53",2334.330322,0.091,0.612,6.725274725,14.3,1,"edge drift, bad veloc",1,496929,6504732,208.7635498,x
20180809100112,q,EM_1,2,,TL WD,RG,8/9/2018,10:01:11,10:04:25,-6,0.029999999,14.10000038,GPS-VTG,Left,1,1,14.8,1,1,1,0,R edge two samples w 0 cells,1,,VB,1,3,0,146.646,460.9615173,0.431,0.755,1.751740139,77.8,1,"beam sep, depth invalid, bad edge",1,496929,6504732,198.5070474,x
20180809100432,q,EM_1,3,,TL WD,RG,8/9/2018,10:04:32,10:06:29,-6,0.029999999,14.10000038,GPS-VTG,Right,1,1,14.8,1,1,0,0,"R edge 1 cell, L edge , 5 samples",0,changed to BT bc one spike,BT,1,2,0,21.75,32.54419327,0.073,0.199,2.726027397,78.2,0,"beam sep, bad gps qual, bad edge qual.  Don't know why q is so low.",1,496929,6504732,2.622564371,x
20180809100634,q,EM_1,4,,TL WD,RG,8/9/2018,10:06:33,10:09:33,-6,0.029999999,14.10000038,GPS-VTG,Right,1,1,14.7,20,1,1,1,"L edge has spike, so changed to BT.",1,changed to BT bc one spike,BT,1,3,1,146.26,459.3522949,0.426,0.7,1.643192488,76.6,1,Best one- bc no ramming shore,3,496929,6504732,194.8359857,x
20180809101207,te,EM_2,1,,TL WD,RG,8/9/2018,10:12:06,10:14:35,-6,12.5,14.10000038,GPS-VTG,Left,1,1,14.6,999,999,0,0,,,,VB,,,,"2,302.90",22924.19141,-0.049,2.036,-41.55102041,3.4,0,,,,,-1123.472969,x
20180809101439,q,EM_2,2,,TL WD,RG,8/9/2018,10:14:39,10:17:15,-6,12.5,14.10000038,GPS-VTG,Left,1,1,14.6,15,25,1,1,L edge drifted 4m,1,,VB,1,3,1,140.921,1960.158203,0.57,0.673,1.180701754,14.7,0,one edge drift; only 14% measured; width is too wide,2,,,1117.696879,x
20180809101724,q,EM_2,3,,TL WD,RG,8/9/2018,10:17:24,10:20:02,-6,12.5,14.10000038,GPS-VTG,Right,1,1,14.3,25,12.5,1,1,edge drift R 10m,1,"VB missing some samples, but doesn't affect Q",VB,1,2,0,115.864,1924.000977,0.46,0.498,1.082608696,15.6,0,"bad veloc snr, edge drift; only 15 % measured, wdith too wide",1,,,884.5094274,x
20180809102205,q,EM_2,4,,TL WD,RG,8/9/2018,10:22:04,10:24:04,-6,0.079999998,14.10000038,GPS-VTG,Left,1,1,14.5,8,1,1,1,R edge drift 5m,1,changed to BT bc one spikes.,VB,1,2,1,91.773,446.0802612,0.568,0.726,1.278169014,62.7,1,"R edge drift, bad veloc snr",1,,,214.8124445,x
20180809102410,q,EM_2,5,,TL WD,RG,8/9/2018,10:24:09,10:26:01,-6,0.079999998,14.10000038,GPS-VTG,Right,1,1,14.5,1,8,0,1,L edge 5m drift,0,changed to BT bc lmany spikes.  Depth ref still invalid though and still one depth spike,VB,1,2,0,61.253,444.614502,0.287,0.656,2.285714286,55.7,0,"Depth spike, SNR, left edge, boat too fast",1,,,104.7728583,x
20180809102644,q,EM_2,6,,TL WD,RG,8/9/2018,10:26:43,10:28:58,-6,0.079999998,14.10000038,GPS-VTG,Right,1,1,14.4,1,9,1,0,R edge has 0 cells in 1st sample,1,changed to BT bc R edge spikes,VB,1,3,1,93.429,426.7570496,0.439,0.659,1.501138952,73.5,1,Bad R edge,2,,,186.287961,x
20180809103036,te,EM_3,1,,TL WD,RG,8/9/2018,10:30:36,10:33:04,-6,0.079999998,14.10000038,GPS-VTG,Left,1,1,14.5,999,999,1,0,,,,VB,,,,"2,333.60",4113.683594,-0.024,2.261,-94.20833333,10.4,0,,,497279,6504063,-100.3522065,x
20180809103319,q,EM_3,2,,TL WD,RG,8/9/2018,10:33:19,10:36:01,-6,0.079999998,14.10000038,GPS-VTG,Left,1,1,14.5,13,2,1,1,L edge drift 12m,1,,VB,1,2,1,97.448,402.7015686,0.458,0.515,1.124454148,74.9,1,L edge drift and some non uniform veloc,2,497279,6504063,184.5807744,x
20180809103606,q,EM_3,3,,TL WD,RG,8/9/2018,10:36:06,10:39:03,-6,0.079999998,14.10000038,GPS-VTG,Right,1,1,14.5,2,11.5,1,1,L edge 4m drift,1,,VB,1,2,1,110.334,399.8412781,0.478,0.598,1.251046025,74,1,L edge drift; veloc not perfect,2,497279,6504063,191.030217,x
20180809104338,q,EM_5,1,,TL WD,RG,8/9/2018,10:43:37,10:46:18,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.4,8.600000381,2,1,1,L edge 4m drift,1,,VB,1,3,1,117.553,453.923584,0.441,0.7,1.587301587,78,1,L edge drift,2,497633,6503199,200.3908517,x
20180809104623,q,EM_5,2,,TL WD,RG,8/9/2018,10:46:22,10:49:30,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.2,2,14,1,1,,1,,VB,1,2,1,118.658,453.6611328,0.42,0.589,1.402380952,76.5,1,a little curvy at R edge,2,497633,6503199,190.4954332,x
20180809105021,q,EM_5,3,,TL WD,RG,8/9/2018,10:50:20,10:54:12,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.4,14,999,1,0,60m L; 10m R,1,1,VB,1,2,0,"1,494.29",2450.983887,-0.054,2.069,-38.31481481,55.3,0,L half has 0 or neg velocity,1,497633,6503199,-137.7844964,x
20180809105433,q,EM_6,1,,TL WD,RG,8/9/2018,10:54:32,10:56:49,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.4,8.699999809,9.800000191,1,1,,1,,VB,1,2,1,119.711,466.4721069,0.467,0.738,1.580299786,72.6,1,veloc not perfect,3,497560,6502535,217.9297522,x
20180809105655,q,EM_6,2,,TL WD,RG,8/9/2018,10:56:54,10:59:37,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.3,9.800000191,15.80000019,1,1,,1,,VB,1,2,1,129.921,491.7255249,0.431,0.649,1.505800464,71.2,1,veloc not perfect,3,497560,6502535,211.884653,x
20180809110323,q,EM_7,1,,TL WD,RG,8/9/2018,11:03:22,11:05:17,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.3,8.800000191,12.60000038,1,1,,1,,VB,1,2,1,97.066,469.0818787,0.465,0.681,1.464516129,70.3,1,veloc not perfect,3,497448,6502109,218.3196658,x
20180809110521,q,EM_7,2,,TL WD,RG,8/9/2018,11:05:20,11:07:31,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.2,12.60000038,6.800000191,1,1,,1,,VB,1,2,1,103.826,470.6718445,0.443,0.662,1.494356659,72.3,1,veloc not perfect,3,497448,6502109,208.6278428,x
20180809111251,q,EM_8,1,,TL WD,RG,8/9/2018,11:12:50,11:15:13,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.3,7,12.80000019,1,1,,1,,VB,1,2,1,120.326,454.2614441,0.473,0.701,1.482029598,71.2,1,veloc not perfect,3,497222,6501542,214.8709463,x
20180809111517,q,EM_8,2,,TL WD,RG,8/9/2018,11:15:17,11:17:38,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14,12.80000019,7,1,1,,1,,VB,1,3,1,120.385,449.0608826,0.453,0.717,1.582781457,72.8,1,,3,497222,6501542,203.4367757,x
20180809112205,q,EM_9,1,,TL WD,RG,8/9/2018,11:22:04,11:24:21,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,16,5.800000191,1,1,1,L edge 10m,1,,BT,1,2,1,93.316,438.1087952,0.495,0.67,1.353535354,75.4,1,veloc not perfect,2,497447,6500853,216.9048508,x
20180809112426,q,EM_9,2,,TL WD,RG,8/9/2018,11:24:25,11:26:37,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,15.9,1,6.800000191,1,1,,1,,BT,1,1,1,86.607,430.5233765,0.477,0.621,1.301886792,74,1,veloc not perfect,2,497447,6500853,205.1534359,x
20180809113027,q,EM_10,1,,TL WD,RG,8/9/2018,11:30:26,11:32:21,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,15.7,6.800000191,4.900000095,1,1,,1,,BT,1,2,1,84.202,444.0276489,0.48,0.636,1.325,74,1,veloc not perfect,2,497547,6500321,213.1968751,x
20180809113225,q,EM_10,2,,TL WD,RG,8/9/2018,11:32:24,11:37:04,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,15.5,4.900000095,4.900000095,1,1,,1,,BT,1,2,1,86.661,437.4344177,0.471,0.295,0.626326964,75.7,1,veloc not perfect,2,497547,6500321,205.9927818,x
20180809114238,te,EM_11,1,,TL WD,RG,8/9/2018,11:42:37,11:43:09,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,15.5,4,999,1,0,,,,BT,,,,"1,005.03",974.4610596,0.073,0.062,0.849315068,0.2,0,,,497399,6499705,70.81381697,x
20180809114314,q,EM_11,2,,TL WD,RG,8/9/2018,11:43:13,11:46:08,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,15.4,4,9.800000191,1,1,5m drift L edge,1,,BT,1,3,1,114.077,445.5654602,0.483,0.59,1.221532091,73.2,1,L edge drift,2,497399,6499705,215.2499355,x
20180809114612,q,EM_11,3,,TL WD,RG,8/9/2018,11:46:11,11:48:52,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,15.4,9.800000191,8.800000191,1,1,,1,,BT,1,3,1,122.876,460.5536499,0.467,0.671,1.436830835,74.4,1,,3,497399,6499705,214.8668468,x
20180809123628,q,EM_12,1,,TL WD,RG,8/9/2018,12:36:28,12:38:26,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,15.1,12,9.800000191,1,1,,1,,BT,0,3,1,94.69,442.5539246,0.542,0.636,1.173431734,69.7,1,"changed track ref to BT, and discharges were within 5%",2,497551,6499325,216.0898405,x
20180809123831,q,EM_12,2,,TL WD,RG,8/9/2018,12:38:30,12:40:27,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,15.1,9.800000191,7.900000095,1,1,,1,CHANGED TO VB,VB,0,3,1,95.217,442.8554993,0.485,0.675,1.391752577,69.9,1,"changed track ref to BT, and discharges were within 5%",2,497551,6499325,204.201719,x
20180809124048,q,EM_12,3,,TL WD,RG,8/9/2018,12:40:47,12:43:02,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,15.1,6,13,1,1,,1,,BT,1,3,1,92.959,441.8025208,0.539,0.582,1.079777365,70,1,"changed track ref to BT, and discharges were within 5%",3,497551,6499325,211.654754,x
20180809124308,q,EM_12,4,,TL WD,RG,8/9/2018,12:43:07,12:45:21,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.8,13,6,1,1,,1,,BT,0,2,1,99.203,440.8021851,0.487,0.67,1.375770021,69.7,1,"changed track ref to BT, and discharges were within 5%; veloc not perfect; width larger than other replicates",1,497551,6499325,204.2803712,x
20180809124904,q,EM_12,5,,TL WD,RG,8/9/2018,12:49:06,12:51:06,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.8,8,8,1,1,,1,,BT,0,3,1,90.476,418.7147217,0.568,0.65,1.144366197,73.1,1,"changed track ref to BT, and discharges were within 5%",2,497551,6499325,209.0335231,x
20180809125110,q,EM_12,6,,TL WD,RG,8/9/2018,12:51:10,12:53:10,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,15,8,14,1,1,,1,,BT,0,3,1,94.523,427.3315735,0.51,0.64,1.254901961,71.5,1,"changed track ref to BT, and discharges were within 5%",2,497551,6499325,209.8070629,x
20180809125727,q,EM_14,1,,TL WD,RG,8/9/2018,12:57:26,12:59:49,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.9,8,1,1,1,1,,,BT,1,3,1,92.712,432.5267334,0.5,0.611,1.222,73.8,1,,3,497731,6498344,216.3406451,x
20180809125953,q,EM_14,2,,TL WD,RG,8/9/2018,12:59:52,13:02:14,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.9,1,11,1,1,1,1,,BT,1,3,1,94.899,445.5244446,0.526,0.617,1.173003802,70.8,1,,3,497731,6498344,234.4069142,x
20180809130644,q,EM_15,1,,TL WD,RG,8/9/2018,13:06:44,13:08:48,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.9,4,13,1,1,both edges >4m drift,1,,BT,0,3,1,103.655,436.9232788,0.474,0.733,1.546413502,72.6,1,"changed track ref to BT to avoid large spread in Q values; edges drift5, boat speed fast",2,497393,6497798,203.3914573,x
20180809130944,q,EM_15,2,,TL WD,RG,8/9/2018,13:09:43,13:11:49,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.8,13,7,1,1,R edge 20m drift`,1,`,BT,1,3,1,82.707,430.7612305,0.407,0.51,1.253071253,69.3,0,changed track ref to BT to avoid large spread in Q values; big edge drift,1,497393,6497798,156.9979098,x
20180809131206,q,EM_15,3,,TL WD,RG,8/9/2018,13:12:06,13:14:31,-6,0.150000006,14.10000038,GPS-VTG,Left,0,1,14.8,6,8,1,1,,1,,BT,1,3,1,104.472,441.8615723,0.476,0.671,1.409663866,73.1,1,changed track ref to BT to avoid large spread in Q values; bad GPS quality,2,497393,6497798,206.1655154,x
20180809131436,q,EM_15,4,,TL WD,RG,8/9/2018,13:14:36,13:16:45,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.8,8,5,1,1,,1,,BT,1,3,1,102.678,447.3255615,0.536,0.714,1.332089552,71.8,1,changed track ref to BT to avoid large spread in Q values; changed track ref to BT to avoid large spread in Q values,3,497393,6497798,209.7811661,x
20180809131813,q,EM_15,5,,TL WD,RG,8/9/2018,13:18:13,13:20:23,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.6,12,10,1,1,,1,,BT,0,3,1,101.203,424.5606995,0.483,0.67,1.387163561,69.9,1,changed track ref to BT to avoid large spread in Q values,3,497393,6497798,196.8225463,x
20180809132657,q,EM_16,1,,TL WD,RG,8/9/2018,13:26:56,13:28:52,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.8,7.800000191,8.800000191,1,1,L edge 5m drift,1,,BT,1,3,1,97.433,435.5189209,0.515,0.725,1.40776699,71,1,edge drifyt ,2,497000,6497381,224.3789206,x
20180809132857,q,EM_16,2,,TL WD,RG,8/9/2018,13:28:56,13:31:15,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.8,8.800000191,11.80000019,1,1,,1,,BT,1,3,1,103.321,425.0181274,0.522,0.623,1.19348659,70.6,1,,3,497000,6497381,221.9234408,x
20180809133543,q,EM_17,1,drones overhead,TL WD,RG,8/9/2018,13:35:41,13:37:58,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.8,7,1,1,1,L edge 5m drift,1,,BT,1,3,1,92.721,428.0528564,0.478,0.671,1.40376569,75,1,edge drifyt ,2,496592,6496871,204.5531045,x
20180809133802,q,EM_17,2,drones overhead,TL WD,RG,8/9/2018,13:38:01,13:40:33,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.8,1,8,1,1,1,1,,BT,1,3,1,95.252,425.5432434,0.512,0.589,1.150390625,73.9,1,,3,496592,6496871,218.085011,x
20180809134519,q,EM_18,1,drones overhead,TL WD,RG,8/9/2018,13:45:18,13:48:06,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.7,1,7,0,1,L edge not enough cells,1,,BT,1,3,1,90.934,427.1735229,0.455,0.517,1.136263736,73.1,0,L edge bad,1,496146,6496879,194.4733585,x
20180809134810,q,EM_18,2,drones overhead,TL WD,RG,8/9/2018,13:48:09,13:51:14,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.7,7,1,1,1,,1,,BT,1,2,1,93.009,436.387207,0.498,0.479,0.96184739,73.5,1,veloc not perfect,2,496146,6496879,217.2660442,x
20180809140125,q,EM_19,1,,TL WD,RG,8/9/2018,14:01:25,14:04:00,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.7,1,3,1,1,,1,,BT,1,3,1,92.867,426.3435974,0.454,0.591,1.301762115,72.6,1,,3,495096,6496730,193.7627547,x
20180809140403,q,EM_19,2,,TL WD,RG,8/9/2018,14:04:03,14:06:58,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.5,3,5,0,1,L edge 6m drift,1,,BT,1,3,1,96.021,432.7374268,0.523,0.542,1.036328872,73.5,0,L edge bad,2,495096,6496730,226.307089,x
20180809140738,q,EM_19,3,,TL WD,RG,8/9/2018,14:07:37,14:10:19,-6,0.150000006,14.10000038,GPS-VTG,Left,1,1,14.6,1,8,1,1,,1,,BT,1,3,1,97.832,429.1828308,0.459,0.57,1.241830065,73.1,1,,3,495096,6496730,196.9892327,x
20180809141022,q,EM_19,4,,TL WD,RG,8/9/2018,14:10:22,14:10:45,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.6,8,1,0,1,,,,BT,,,,9.256,4.943698883,-0.08,0.012,-0.15,3.2,0,,,495096,6496730,-0.395376534,x
20180809141208,te,EM_19,5,,TL WD,RG,8/9/2018,14:12:07,14:12:28,-6,0.150000006,14.10000038,GPS-VTG,Right,1,1,14.6,8,999,0,1,,,,BT,,,,"1,007.04",426.0546875,-0.122,0.003,-0.024590164,0,0,,,495096,6496730,-51.94390376,x
