Filename,Measurement_type,Location,Measurement_number,Comments,Party,Boat_motor,Date,Start_time,End_time,Time_zone,Transducer_depth,Mag_declination,Track_ref,Start_bank,GPS_quality,HDOP,Voltage,L_edge_dist,R_edge_dist,L_edge_Qual,R_edge_Qual,Edge_notes,Depth_ref_invalid,Depth_notes,Depth_reference,Track_ref_invalid,Veloc_vector,Veloc_SNR,Width,Area,Veloc_avg,Boat_veloc_avg,Boat_water_ratio,Per_Measured,Keep_or_remove,Final_notes,Quality,Latitude,Longitude,Q,Mat_export,,,
2.00501E+13,Q,RC1,1,depth sounder logging,WD,RG,8/17/2018,10:32:02,10:37:45,-6,0.079999998,13.94999981,BT,Left,2,1,15.5,15,12,1,1,,1,,BT,0,2,1,354.316,2926.544922,0.566,1.023,1.807420495,77.8,,,2,58.91457917,-111.17825,1655.44222,,,,
2.00501E+13,Q,RC1,2,depth sounder logging,WD,RG,8/17/2018,10:37:49,10:44:44,-6,0.079999998,13.94999981,BT,Right,2,1,15.3,12,10,1,1,,1,,BT,1,2,1,359.199,2926.544189,0.573,0.856,1.493891798,78.2,,,3,58.9145595,-111.1782877,1678.338827,,,,
2.00501E+13,Q,RC2,1,depth sounder logging,WD,RG,8/17/2018,10:53:25,10:58:29,-6,0.079999998,13.94999981,BT,Right,2,1,15.1,20,10.19999981,1,1,,1,,BT,0,2,1,281.365,2715.407959,0.608,0.879,1.445723684,77.9,,,2,58.9007173,-111.1904278,1650.445777,,,,
2.00501E+13,Q,RC2,2,depth sounder logging,WD,RG,8/17/2018,10:58:32,11:03:07,-6,0.079999998,13.94999981,BT,Left,2,1,15,11,17,1,1,,1,,BT,1,2,1,283.4,2751.047363,0.607,0.941,1.550247117,77.5,,,3,58.90137282,-111.1900459,1669.533633,,,,
2.00501E+13,Q,RC3,1,depth sounder logging,WD,RG,8/17/2018,11:11:23,11:15:26,-6,0.079999998,13.94999981,BT,Right,2,1,14.9,22,8,1,1,,1,,BT,0,2,1,206.997,3502.999512,0.466,0.789,1.693133047,74.1,,,2,58.88850532,-111.19518,1631.065715,,,,
2.00501E+13,Q,RC3,2,depth sounder logging,WD,RG,8/17/2018,11:15:29,11:18:56,-6,0.079999998,13.94999981,BT,Left,2,1,14.7,8,18,1,1,,1,,BT,0,2,1,203.359,3634.07666,0.431,0.926,2.148491879,74.2,,,2,58.88852619,-111.1954134,1566.634451,,,,
2.00501E+13,Q,RC4,1,depth sounder logging,WD,RG,8/17/2018,11:30:34,11:36:20,-6,0.079999998,13.94999981,BT,Right,2,1,14.6,15,10,1,1,,1,,BT,0,3,1,281.129,2776.662109,0.612,0.776,1.267973856,74.7,,bottom tracking w/ 0 in the track ref invalid,2.5,58.88324474,-111.2161726,1698.636789,,,,
2.00501E+13,Q,RC4,2,depth sounder logging,WD,RG,8/17/2018,11:36:24,11:42:22,-6,0.079999998,13.94999981,BT,Left,2,1,14.6,11,13,1,1,,1,,BT,0,3,1,283.228,2772.09082,0.608,0.772,1.269736842,74.1,,bottom tracking w/ 0 in the track ref invalid,2.5,58.88336849,-111.2152765,1685.778983,,,,
2.00501E+13,Q,RC5,1,depth sounder logging,WD,RG,8/17/2018,11:50:37,11:56:01,-6,0.079999998,13.94999981,BT,Right,2,1,14.5,16,13.89999962,1,1,,1,,BT,1,2,1,267.322,2830.619141,0.576,0.795,1.380208333,77.1,,,3,58.87805679,-111.2395276,1630.450466,,,,
2.00501E+13,Q,RC5,2,depth sounder logging,WD,RG,8/17/2018,11:56:04,12:01:21,-6,0.079999998,13.94999981,BT,Left,2,1,14.4,14,11.39999962,1,1,,0,small gap in both BT and VB,BT,0,1,1,272.268,2858.491211,0.528,0.827,1.566287879,77.1,remove,velocity vector =1 or velcity snr=0 recommends removal,1,58.87822833,-111.2384775,1510.335072,,,,
2.00501E+13,Q,RC6,1,depth sounder logging,WD,RG,8/17/2018,12:13:39,12:20:04,-6,0.079999998,13.94999981,BT,Right,2,1,14.6,13,7,1,1,,1,,BT,0,2,1,301.57,2635.82959,0.624,0.746,1.195512821,77.5,,,2,58.8714618,-111.2521264,1645.236566,,,,
2.00501E+13,Q,RC6,2,depth sounder logging,WD,RG,8/17/2018,12:20:07,12:25:07,-6,0.079999998,13.94999981,BT,Left,2,1,14.6,7,13,1,1,,1,,BT,0,3,1,315.991,2707.612793,0.628,1.035,1.648089172,77.7,,bottom tracking w/ 0 in the track ref invalid,2.5,58.87196201,-111.2514029,1700.386227,,,,
2.00501E+13,Q,RC7,1,depth sounder also logging,WD,RG,8/17/2018,12:34:34,12:41:09,-6,0.079999998,13.94999981,BT,Right,2,1,14.4,12.39999962,10.39999962,1,1,,1,,BT,1,3,1,373.512,2609.437988,0.629,0.921,1.464228935,79.9,,,3,58.86074036,-111.2575957,1642.350956,,,,
2.00501E+13,Q,RC7,2,depth sounder also logging,WD,RG,8/17/2018,12:41:14,12:47:07,-6,0.079999998,13.94999981,BT,Left,2,1,14.4,10.80000019,18,1,1,,1,,BT,0,2,1,362.365,2612.254639,0.635,0.995,1.566929134,79.6,,,2,58.86143725,-111.2575061,1657.673213,,,,
2.00501E+13,T,RC8,1,depth sounder logging,WD,RG,8/17/2018,12:54:30,12:54:43,-6,0.079999998,13.94999981,BT,Left,,0,14.6,17,0,1,0,,0,no data,BT,0,1,1,22.465,9.157211304,0,0.396,65535,0,remove,no data,1,58.85051684,-111.2600107,0,,,,
2.00501E+13,Q,RC8,2,depth sounder logging,WD,RG,8/17/2018,12:55:00,13:06:22,-6,0.079999998,13.94999981,BT,Right,2,1,14.3,16.5,16,1,1,,1,,BT,1,2,1,340.752,2681.650635,0.613,0.478,0.779771615,77.8,,,3,58.85089245,-111.2626725,1644.738229,,,,
2.00501E+13,T,RC8,3,depth sounder logging,WD,RG,8/17/2018,13:06:53,13:07:16,-6,0.079999998,13.94999981,BT,Right,,0,14.4,16.5,16,0,1,,0,no data,BT,0,1,1,37.139,8.52716732,0,0.459,65535,0,remove,no data,1,58.85146177,-111.2648768,0,,,,
2.00501E+13,Q,RC8,4,depth sounder logging,WD,RG,8/17/2018,13:07:35,13:13:55,-6,0.079999998,13.94999981,BT,Left,2,1,14.1,15,18,1,1,,1,,BT,1,2,1,334.803,2672.523926,0.615,0.81,1.317073171,77.6,,,3,58.85119205,-111.2623596,1642.551545,,,,
2.00501E+13,Q,RC8,5,depth sounder logging,WD,RG,8/17/2018,13:13:58,13:21:53,-6,0.079999998,13.94999981,BT,Right,2,1,14.2,15,19.39999962,1,1,,1,,BT,1,2,1,334.795,2660.951172,0.613,0.659,1.075040783,77.9,,,3,58.85103697,-111.2624483,1630.090306,,,,
2.00501E+13,T,RC9,1,depth sounder logging,WD,RG,8/17/2018,13:53:51,13:54:12,-6,0.079999998,13.94999981,BT,Left,,0,16,0,0,1,0,,0,no data,BT,0,1,1,4.06,0.153290033,0,0.612,65535,0,remove,no data,1,58.84492679,-111.2685759,0,,,,
2.00501E+13,Q,RC9,2,depth sounder logging,WD,RG,8/17/2018,13:54:37,13:59:23,-6,0.079999998,13.94999981,BT,Left,2,1,15.6,12,16.39999962,1,1,,1,,BT,1,3,1,319.696,2754.100342,0.627,1.064,1.696969697,77.7,,,3,58.84474848,-111.2660646,1726.575144,,,,
2.00501E+13,Q,RC9,3,depth sounder logging,WD,RG,8/17/2018,13:59:26,14:04:18,-6,0.079999998,13.94999981,BT,Right,2,1,15.5,15.39999962,16,1,1,,1,,BT,0,3,1,346.235,2731.770508,0.633,1.119,1.767772512,77.7,,bottom tracking w/ 0 in the track ref invalid,2.5,58.84524252,-111.265681,1728.583524,,,,
2.00501E+13,Q,RC10,1,depth sounder logging,WD,RG,8/17/2018,14:16:19,14:21:13,-6,0.079999998,13.94999981,BT,Right,2,1,15.3,16.5,10,1,1,,1,,BT,0,3,1,263.041,2713.827148,0.631,0.841,1.332805071,78.8,,bottom tracking w/ 0 in the track ref invalid,2.5,58.82104533,-111.2795333,1711.704201,,,,
2.00501E+13,Q,RC10,2,depth sounder logging,WD,RG,8/17/2018,14:21:16,14:25:45,-6,0.079999998,13.94999981,BT,Left,2,1,15.1,10,18,1,1,,1,,BT,0,3,1,260.606,2686.206787,0.628,0.945,1.50477707,78.8,,bottom tracking w/ 0 in the track ref invalid,2.5,58.82124013,-111.2795573,1686.470157,,,,
2.00501E+13,Q,RC11,1,depth sounder logging,WD,RG,8/17/2018,14:32:45,14:36:44,-6,0.079999998,13.94999981,BT,Right,2,1,15,14,11,1,1,,1,,BT,0,3,1,191.276,2236.937988,0.562,0.751,1.336298932,77.8,,bottom tracking w/ 0 in the track ref invalid,2.5,58.81110275,-111.2831065,1256.200065,,,,
2.00501E+13,Q,RC11,2,depth sounder logging,WD,RG,8/17/2018,14:36:47,14:40:26,-6,0.079999998,13.94999981,BT,Left,2,1,14.8,11,11,1,1,,1,,BT,0,3,1,194.143,2216.311279,0.552,0.82,1.485507246,78.1,,bottom tracking w/ 0 in the track ref invalid,2.5,58.81105192,-111.2831998,1224.002252,,,,
2.00501E+13,Q,RC12,1,depth sounder logging,WD,RG,8/17/2018,14:45:51,14:50:00,-6,0.079999998,13.94999981,BT,Right,2,1,14.7,9,10.5,1,1,,1,,BT,1,3,1,190.708,954.4016113,0.538,0.742,1.379182156,76.4,,,3,58.80619159,-111.2885345,513.3215545,,,,
2.00501E+13,Q,RC12,2,depth sounder logging,WD,RG,8/17/2018,14:50:04,14:53:13,-6,0.079999998,13.94999981,BT,Left,2,1,14.7,11,13,1,1,,1,,BT,0,3,1,191.087,960.352417,0.53,0.914,1.724528302,76.1,,bottom tracking w/ 0 in the track ref invalid,2.5,58.80633114,-111.2885229,508.7915535,,,,
2.00501E+13,Q,RC12,3,depth sounder logging,WD,RG,8/17/2018,14:59:28,15:03:21,-6,0.079999998,13.94999981,BT,Right,2,1,14.6,15,13,1,1,,1,,BT,0,2,1,170.997,1157.509277,0.431,0.654,1.517401392,73.6,,,2,58.79908084,-111.297328,498.5248695,,,,
2.00501E+13,Q,RC12,4,depth sounder logging,WD,RG,8/17/2018,15:03:31,15:06:18,-6,0.079999998,13.94999981,BT,Left,2,1,14.4,13,12,1,1,,1,,BT,0,3,1,163.278,1157.242554,0.447,0.893,1.997762864,74.4,,bottom tracking w/ 0 in the track ref invalid,2.5,58.79895304,-111.2975762,517.2694709,,,,
2.00501E+13,Q,RC14,1,depth sounder also logging,WD,RG,8/17/2018,15:14:47,15:16:50,-6,0.079999998,13.94999981,BT,Right,2,1,14.4,10,10,1,1,,1,,BT,1,3,1,98.494,869.4829712,0.603,0.685,1.135986733,68,,,3,58.79035636,-111.2872022,524.5411633,,,,
2.00501E+13,Q,RC14,2,depth sounder also logging,WD,RG,8/17/2018,15:16:58,15:19:11,-6,0.079999998,13.94999981,BT,Left,2,1,14.3,10,8,1,1,,1,,BT,0,3,1,101.527,819.0424194,0.646,0.679,1.051083591,70.3,,bottom tracking w/ 0 in the track ref invalid,2.5,58.79034459,-111.2873111,529.1961114,,,,
2.00501E+13,Q,RC15,1,depth sounder also logging,WD,RG,8/17/2018,15:26:00,15:28:31,-6,0.079999998,13.94999981,BT,Right,2,1,14.4,9,8,1,1,,1,,BT,1,2,1,121.099,899.8331299,0.571,0.776,1.359019264,75.4,,,3,58.78283858,-111.2708898,513.8357131,,,,
