River,ID,Longitude,Latitude,Projection,Year,Start,End,Offset,Time
Athabasca,2075541,495972,6479200,UTM 12N,2018,8/7/2018 13:00,8/25/2018 10:00,180.8,8/7/2018 10:38
Athabasca,2084764,489268,6478260,UTM 12N,2018,8/7/2018 13:00,10/1/2018 0:00,180.8,8/7/2018 11:01
Athabasca,2075530,469303,6472984,UTM 12N,2018,8/7/2018 13:00,10/1/2018 0:00,182.8,8/7/2018 12:25
Athabasca,2024030,485692,6475948,UTM 12N,2018,8/7/2018 13:00,10/3/2018 0:00,182.5,8/7/2018 11:18
Athabasca,2084756,476489,6478681,UTM 12N,2018,8/7/2018 13:00,10/3/2018 0:00,182.2,8/7/2018 11:44
Athabasca,2043113,471368,6476593,UTM 12N,2018,8/7/2018 13:00,10/3/2018 0:00,179.6,8/7/2018 12:10
Baro_2018,2012812,465089,6526634,UTM 12N,2018,8/6/2018 15:00,9/30/2018 0:00,,
Baro_2018,2031383,486090,6518157,UTM 12N,2018,8/4/2018 16:00,10/1/2018 0:00,,
Baro_2018,2092897,460507,6498669,UTM 12N,2018,8/5/2018 11:00,10/1/2018 0:00,,
Baro_2018,2011255,471648,6482432,UTM 12N,2018,8/5/2018 12:00,10/1/2018 0:00,,
Coupe,2025655,484108,6524617,UTM 12N,2018,8/8/2018 10:00,9/29/2018 0:00,180.7,8/8/2018 9:26
Coupe,2091437,478549,6527471,UTM 12N,2018,8/8/2018 11:00,9/29/2018 0:00,182.2,8/8/2018 10:01
Coupe,2024031,468994,6532585,UTM 12N,2018,8/6/2018 16:00,9/30/2018 0:00,180.6,8/6/2018 15:06
Coupe,2042570,471660,6532912,UTM 12N,2018,8/6/2018 16:00,9/30/2018 0:00,180.6,8/6/2018 15:18
Coupe,2012683,473594,6532048,UTM 12N,2018,8/6/2018 16:00,9/30/2018 0:00,180.6,8/6/2018 15:28
Coupe,2075553,475453,6530370,UTM 12N,2018,8/6/2018 16:00,9/30/2018 0:00,180.6,8/6/2018 15:38
Fletcher,2024041,494847,6491888,UTM 12N,2018,8/7/2018 10:00,10/3/2018 0:00,190.8,8/7/2018 9:21
Fletcher,2024039,496469,6489244,UTM 12N,2018,8/7/2018 11:00,10/1/2018 0:00,180.7,8/7/2018 9:37
Fletcher,2024043,496334,6487252,UTM 12N,2018,8/7/2018 11:00,10/3/2018 0:00,180,8/7/2018 9:47
Fletcher,2012992,496025,6485871,UTM 12N,2018,8/7/2018 11:00,10/1/2018 0:00,181.8,8/7/2018 9:58
Fletcher,2043851,495762,6481662,UTM 12N,2018,8/7/2018 11:00,10/3/2018 0:00,177.9,8/7/2018 10:18
Fletcher,2043861,496475,6479487,UTM 12N,2018,8/7/2018 11:00,8/25/2018 10:37,184.5,8/7/2018 10:29
