"","new_time","2075532","2093027","2075529","2084778","2012697"
"1",2018-08-06 13:00:00,NA,NA,11.238,11.808,9.957
"2",2018-08-06 13:05:00,NA,NA,11.238,11.807,9.96
"3",2018-08-06 13:10:00,NA,NA,11.232,11.805,9.96
"4",2018-08-06 13:15:00,NA,NA,11.235,11.804,9.957
"5",2018-08-06 13:20:00,NA,NA,11.235,11.804,9.957
"6",2018-08-06 13:25:00,NA,NA,11.232,11.804,9.957
"7",2018-08-06 13:30:00,NA,NA,11.232,11.804,9.96
"8",2018-08-06 13:35:00,NA,NA,11.232,11.802,10.614
"9",2018-08-06 13:40:00,NA,NA,11.232,11.802,10.62
"10",2018-08-06 13:45:00,NA,NA,11.232,11.804,10.62
"11",2018-08-06 13:50:00,NA,NA,11.232,11.801,10.62
"12",2018-08-06 13:55:00,NA,NA,11.229,11.801,10.62
"13",2018-08-06 14:00:00,NA,10.434,11.229,11.799,10.62
"14",2018-08-06 14:05:00,NA,10.434,11.226,11.798,10.62
"15",2018-08-06 14:10:00,NA,10.434,11.226,11.798,10.62
"16",2018-08-06 14:15:00,NA,10.431,11.226,11.796,10.617
"17",2018-08-06 14:20:00,NA,10.431,11.226,11.798,10.617
"18",2018-08-06 14:25:00,NA,10.431,11.229,11.798,10.617
"19",2018-08-06 14:30:00,NA,10.431,11.226,11.796,10.614
"20",2018-08-06 14:35:00,NA,10.431,11.223,11.792,10.614
"21",2018-08-06 14:40:00,NA,10.428,11.22,11.79,10.614
"22",2018-08-06 14:45:00,NA,10.428,11.22,11.79,10.614
"23",2018-08-06 14:50:00,NA,10.425,11.22,11.79,10.611
"24",2018-08-06 14:55:00,NA,10.425,11.217,11.789,10.611
"25",2018-08-06 15:00:00,NA,10.422,11.22,11.789,10.611
"26",2018-08-06 15:05:00,NA,10.422,11.214,11.789,10.611
"27",2018-08-06 15:10:00,NA,10.422,11.217,11.789,10.608
"28",2018-08-06 15:15:00,NA,10.422,11.217,11.787,10.608
"29",2018-08-06 15:20:00,NA,10.419,11.214,11.787,10.608
"30",2018-08-06 15:25:00,NA,10.419,11.214,11.786,10.605
"31",2018-08-06 15:30:00,NA,10.419,11.217,11.787,10.605
"32",2018-08-06 15:35:00,NA,10.419,11.214,11.786,10.605
"33",2018-08-06 15:40:00,NA,10.419,11.214,11.784,10.605
"34",2018-08-06 15:45:00,NA,10.419,11.214,11.787,10.599
"35",2018-08-06 15:50:00,NA,10.419,11.214,11.786,10.599
"36",2018-08-06 15:55:00,NA,10.419,11.214,11.784,10.596
"37",2018-08-06 16:00:00,10.506,10.416,11.214,11.783,10.596
"38",2018-08-06 16:05:00,10.503,10.416,11.211,11.783,10.596
"39",2018-08-06 16:10:00,10.503,10.419,11.214,11.784,10.596
"40",2018-08-06 16:15:00,10.5,10.416,11.214,11.783,10.593
"41",2018-08-06 16:20:00,10.503,10.419,11.208,11.781,10.593
"42",2018-08-06 16:25:00,10.5,10.416,11.211,11.78,10.593
"43",2018-08-06 16:30:00,10.5,10.413,11.214,11.781,10.593
"44",2018-08-06 16:35:00,10.5,10.413,11.208,11.777,10.59
"45",2018-08-06 16:40:00,10.497,10.416,11.208,11.777,10.59
"46",2018-08-06 16:45:00,10.5,10.413,11.208,11.777,10.59
"47",2018-08-06 16:50:00,10.497,10.413,11.205,11.777,10.587
"48",2018-08-06 16:55:00,10.494,10.413,11.208,11.775,10.59
"49",2018-08-06 17:00:00,10.497,10.413,11.205,11.777,10.587
"50",2018-08-06 17:05:00,10.497,10.413,11.205,11.775,10.587
"51",2018-08-06 17:10:00,10.494,10.41,11.205,11.774,10.584
"52",2018-08-06 17:15:00,10.494,10.41,11.205,11.774,10.584
"53",2018-08-06 17:20:00,10.494,10.41,11.205,11.774,10.584
"54",2018-08-06 17:25:00,10.497,10.41,11.202,11.771,10.584
"55",2018-08-06 17:30:00,10.494,10.407,11.202,11.774,10.578
"56",2018-08-06 17:35:00,10.494,10.407,11.202,11.772,10.581
"57",2018-08-06 17:40:00,10.491,10.404,11.202,11.772,10.581
"58",2018-08-06 17:45:00,10.491,10.407,11.199,11.771,10.581
"59",2018-08-06 17:50:00,10.488,10.407,11.202,11.771,10.581
"60",2018-08-06 17:55:00,10.488,10.407,11.199,11.769,10.578
"61",2018-08-06 18:00:00,10.488,10.404,11.199,11.768,10.578
"62",2018-08-06 18:05:00,10.488,10.404,11.196,11.766,10.578
"63",2018-08-06 18:10:00,10.488,10.401,11.196,11.766,10.578
"64",2018-08-06 18:15:00,10.488,10.401,11.196,11.766,10.578
"65",2018-08-06 18:20:00,10.485,10.401,11.196,11.768,10.578
"66",2018-08-06 18:25:00,10.485,10.401,11.196,11.766,10.578
"67",2018-08-06 18:30:00,10.485,10.401,11.193,11.765,10.578
"68",2018-08-06 18:35:00,10.482,10.398,11.196,11.765,10.578
"69",2018-08-06 18:40:00,10.485,10.401,11.193,11.765,10.578
"70",2018-08-06 18:45:00,10.485,10.398,11.193,11.765,10.575
"71",2018-08-06 18:50:00,10.482,10.398,11.193,11.765,10.572
"72",2018-08-06 18:55:00,10.482,10.398,11.193,11.765,10.572
