"","new_time","2075532","2093027","2075529","2084778","2012697"
"25",2018-08-06 15:00:00,NA,208.5566600392,208.9113870752,208.8966157972,209.2121851544
"26",2018-08-06 15:05:00,NA,208.5565274756,208.9052545116,208.8964832336,209.2120525908
"27",2018-08-06 15:10:00,NA,208.557006744,208.90873378,208.896962502,209.2095318592
"28",2018-08-06 15:15:00,NA,208.5570781244,208.9088051604,208.8950338824,209.2096032396
"29",2018-08-06 15:20:00,NA,208.5551692248,208.9068962608,208.8961249828,209.21069434
"30",2018-08-06 15:25:00,NA,208.5551080416,208.9068350776,208.8950637996,209.2076331568
"31",2018-08-06 15:30:00,NA,208.5548837032,208.9096107392,208.8958394612,209.2074088184
"32",2018-08-06 15:35:00,NA,208.5554547464,208.9071817824,208.8954105044,209.2079798616
"33",2018-08-06 15:40:00,NA,208.5558320428,208.9075590788,208.8937878008,209.208357158
"34",2018-08-06 15:45:00,NA,208.555230408,208.906957444,208.896186166,209.2017555232
"35",2018-08-06 15:50:00,NA,208.5561583532,208.9078853892,208.8961141112,209.2026834684
"36",2018-08-06 15:55:00,NA,208.5566172272,208.9083442632,208.8945729852,209.2001423424
"37",2018-08-06 16:00:00,208.1517537436,208.5547899052,208.9095169412,208.8947456632,209.2013150204
"38",2018-08-06 16:05:00,208.14862118,208.5546573416,208.9063843776,208.8946130996,209.2011824568
"39",2018-08-06 16:10:00,208.1484988136,208.5575349752,208.9092620112,208.8954907332,209.2010600904
"40",2018-08-06 16:15:00,208.1451521088,208.5541882704,208.9089153064,208.8941440284,209.1977133856
"41",2018-08-06 16:20:00,208.149793858,208.5588300196,208.9045570556,208.8937857776,209.1993551348
"42",2018-08-06 16:25:00,208.1484458044,208.557481966,208.909209002,208.894437724,209.2010070812
"43",2018-08-06 16:30:00,208.149802032,208.5558381936,208.9135652296,208.8967939516,209.2023633088
"44",2018-08-06 16:35:00,208.1515661476,208.5576023092,208.9093293452,208.8945580672,209.2011274244
"45",2018-08-06 16:40:00,208.1491065992,208.5611427608,208.9098697968,208.8950985188,209.201667876
"46",2018-08-06 16:45:00,208.1527490228,208.5587851844,208.9105122204,208.8957409424,209.2023102996
"47",2018-08-06 16:50:00,208.1498306004,208.558866762,208.907593798,208.89582252,209.1993918772
"48",2018-08-06 16:55:00,208.145892458,208.5579286196,208.9096556556,208.8928843776,209.2014537348
"49",2018-08-06 17:00:00,208.1501467136,208.5591828752,208.9079099112,208.8961386332,209.1997079904
"50",2018-08-06 17:05:00,208.150574996,208.5596111576,208.9083381936,208.8945669156,209.2001362728
"51",2018-08-06 17:10:00,208.1480746588,208.5571108204,208.9088378564,208.8940665784,209.1976359356
"52",2018-08-06 17:15:00,208.1482072224,208.557243384,208.90897042,208.894199142,209.1977684992
"53",2018-08-06 17:20:00,208.1474118408,208.5564480024,208.9081750384,208.8934037604,209.1969731176
"54",2018-08-06 17:25:00,208.1497490228,208.5557851844,208.9045122204,208.8897409424,209.1963102996
"55",2018-08-06 17:30:00,208.1459638384,208.552,208.903727036,208.891955758,209.1895251152
"56",2018-08-06 17:35:00,208.1465246844,208.552560846,208.904287882,208.890516604,209.1930859612
"57",2018-08-06 17:40:00,208.1442894744,208.550325636,208.905052672,208.891281394,209.1938507512
"58",2018-08-06 17:45:00,208.1453601804,208.554396342,208.903123378,208.8913521,209.1949214572
"59",2018-08-06 17:50:00,208.1427884628,208.5548246244,208.9065516604,208.8917803824,209.1953497396
"60",2018-08-06 17:55:00,208.1431657592,208.5552019208,208.9039289568,208.8901576788,209.192727036
"61",2018-08-06 18:00:00,208.1437877884,208.55282395,208.904550986,208.889779708,209.1933490652
"62",2018-08-06 18:05:00,208.144124296,208.5531604576,208.9018874936,208.8881162156,209.1936855728
"63",2018-08-06 18:10:00,208.1436858164,208.549721978,208.901449014,208.887677736,209.1932470932
"64",2018-08-06 18:15:00,208.1431963508,208.5492325124,208.9009595484,208.8871882704,209.1927576276
"65",2018-08-06 18:20:00,208.1395233356,208.5485594972,208.9002865332,208.8885152552,209.1920846124
"66",2018-08-06 18:25:00,208.1400128012,208.5490489628,208.9007759988,208.8870047208,209.192574078
"67",2018-08-06 18:30:00,208.1394315608,208.5484677224,208.8971947584,208.8854234804,209.1919928376
"68",2018-08-06 18:35:00,208.136441758,208.5454779196,208.9002049556,208.8854336776,209.1920030348
"69",2018-08-06 18:40:00,208.1412670568,208.5503032184,208.8990302544,208.8872589764,209.1938283336
"70",2018-08-06 18:45:00,208.1430821584,208.54911832,208.900845356,208.889074078,209.1926434352
"71",2018-08-06 18:50:00,208.140673596,208.5497097576,208.9014367936,208.8896655156,209.1902348728
"72",2018-08-06 18:55:00,208.1398374256,208.5488735872,208.9006006232,208.8888293452,209.1893987024
"73",2018-08-06 19:00:00,208.139806834,208.5488429956,208.9005700316,208.8867987536,209.1893681108
"74",2018-08-06 19:05:00,208.1373370884,208.54937325,208.901100286,208.887329008,209.1868983652
"75",2018-08-06 19:10:00,208.1401535388,208.5461897004,208.9009167364,208.8871454584,209.1867148156
"76",2018-08-06 19:15:00,208.1408979344,208.546934096,208.898661132,208.886889854,209.1874592112
"77",2018-08-06 19:20:00,208.1376939904,208.546730152,208.898457188,208.88468591,209.1872552672
"78",2018-08-06 19:25:00,208.141183456,208.5472196176,208.8989466536,208.8871753756,209.1877447328
"79",2018-08-06 19:30:00,208.138744302,208.5477804636,208.8995074996,208.8887362216,209.1853055788
"80",2018-08-06 19:35:00,208.1391215984,208.54815776,208.899884796,208.889113518,209.1856828752
"81",2018-08-06 19:40:00,208.1397538248,208.5457899864,208.9005170224,208.8887457444,209.1863151016
"82",2018-08-06 19:45:00,208.1359584432,208.5479946048,208.8997216408,208.8859503628,209.18851972
"83",2018-08-06 19:50:00,208.1372636848,208.5462998464,208.9010268824,208.8872556044,209.1868249616
"84",2018-08-06 19:55:00,208.1380080804,208.547044242,208.898771278,208.89,209.1875693572
"85",2018-08-06 20:00:00,208.135242616,208.5502787776,208.8990058136,208.8882345356,209.1878038928
"86",2018-08-06 20:05:00,208.1353751796,208.5474113412,208.9021383772,208.8873670992,209.1879364564
"87",2018-08-06 20:10:00,208.1368129848,208.5488491464,208.9005761824,208.8888049044,209.1863742616
"88",2018-08-06 20:15:00,208.1374044224,208.549440584,208.90116762,208.890396342,209.1869656992
"89",2018-08-06 20:20:00,208.1378632964,208.546899458,208.901626494,208.887855216,209.1874245732
"90",2018-08-06 20:25:00,208.1379754656,208.5470116272,208.9017386632,208.8879673852,209.1875367424
"91",2018-08-06 20:30:00,208.1378836908,208.5469198524,208.9016468884,208.8878756104,209.1874449676
"92",2018-08-06 20:35:00,208.1358320304,208.547868192,208.902595228,208.88882395,209.1853933072
"93",2018-08-06 20:40:00,208.1391991296,208.5482352912,208.8999623272,208.8881910492,209.1857604064
"94",2018-08-06 20:45:00,208.1403106244,208.549346786,208.904073822,208.890302544,209.1868719012
"95",2018-08-06 20:50:00,208.139729384,208.5457655456,208.9004925816,208.8897213036,209.1862906608
"96",2018-08-06 20:55:00,208.140902062,208.5499382236,208.9016652596,208.8908939816,209.1874633388
"97",2018-08-06 21:00:00,208.1403004272,208.5493365888,208.9010636248,208.8892923468,209.183861704
"98",2018-08-06 21:05:00,208.1328218332,208.5448579948,208.8965850308,208.8828137528,209.18538311
"99",2018-08-06 21:10:00,208.1316695496,208.5437057112,208.8954327472,208.8816614692,209.1812308264
"100",2018-08-06 21:15:00,208.132148818,208.5471849796,208.8959120156,208.8821407376,209.1817100948
"101",2018-08-06 21:20:00,208.1352915788,208.5473277404,208.8990547764,208.8842834984,209.1818528556
"102",2018-08-06 21:25:00,208.1338925392,208.5429287008,208.8976557368,208.8858844588,209.183453816
"103",2018-08-06 21:30:00,208.131851076,208.5438872376,208.8986142736,208.8848429956,209.1844123528
"104",2018-08-06 21:35:00,208.1320346256,208.5440707872,208.8987978232,208.8850265452,209.1845959024
"105",2018-08-06 21:40:00,208.1274438624,208.542480024,208.89720706,208.882435782,209.1830051392
"106",2018-08-06 21:45:00,208.128341216,208.5403773776,208.8981044136,208.8843331356,209.1839024928
"107",2018-08-06 21:50:00,208.1319122592,208.5439484208,208.8986754568,208.8849041788,209.181473536
"108",2018-08-06 21:55:00,208.1313820048,208.5434181664,208.8981452024,208.8843739244,209.1839432816
"109",2018-08-06 22:00:00,208.1316165404,208.543652702,208.898379738,208.88660846,209.1811778172
"110",2018-08-06 22:05:00,208.1320856116,208.5411217732,208.8988488092,208.8870775312,209.1846468884
"111",2018-08-06 22:10:00,208.1326464576,208.5416826192,208.8994096552,208.8876383772,209.1852077344
"112",2018-08-06 22:15:00,208.1304928252,208.5425289868,208.9002560228,208.8864847448,209.183054102
"113",2018-08-06 22:20:00,208.1306253888,208.5396615504,208.8973885864,208.8856173084,209.1831866656
"114",2018-08-06 22:25:00,208.1269523736,208.5389885352,208.8967155712,208.8849442932,209.1825136504
"115",2018-08-06 22:30:00,208.1269115848,208.5419477464,208.8996747824,208.8849035044,209.1824728616
