Serial_number:
2024020
Project ID:
ABoVE
Location:
daring_spur_LL02
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
03/08/2018,12:00:00 pm,0,9.912,24.90
03/08/2018,12:05:00 pm,0,9.912,25.20
03/08/2018,12:10:00 pm,0,9.915,25.60
03/08/2018,12:15:00 pm,0,9.915,26.00
03/08/2018,12:20:00 pm,0,9.915,26.40
03/08/2018,12:25:00 pm,0,9.915,26.80
03/08/2018,12:30:00 pm,0,9.912,27.20
03/08/2018,12:35:00 pm,0,9.912,27.60
03/08/2018,12:40:00 pm,0,9.912,28.00
03/08/2018,12:45:00 pm,0,9.912,28.40
03/08/2018,12:50:00 pm,0,9.912,28.80
03/08/2018,12:55:00 pm,0,9.912,29.20
03/08/2018,01:00:00 pm,0,9.912,29.60
03/08/2018,01:05:00 pm,0,9.912,29.90
03/08/2018,01:10:00 pm,0,9.912,30.20
03/08/2018,01:15:00 pm,0,9.912,30.50
03/08/2018,01:20:00 pm,0,9.912,30.80
03/08/2018,01:25:00 pm,0,9.912,31.10
03/08/2018,01:30:00 pm,0,9.912,31.20
03/08/2018,01:35:00 pm,0,9.912,31.40
03/08/2018,01:40:00 pm,0,9.912,31.60
03/08/2018,01:45:00 pm,0,9.912,31.90
03/08/2018,01:50:00 pm,0,9.909,32.10
03/08/2018,01:55:00 pm,0,9.912,32.40
03/08/2018,02:00:00 pm,0,9.912,32.70
03/08/2018,02:05:00 pm,0,9.912,32.90
03/08/2018,02:10:00 pm,0,9.900,33.20
03/08/2018,02:15:00 pm,0,9.921,33.20
03/08/2018,02:20:00 pm,0,9.921,33.10
03/08/2018,02:25:00 pm,0,9.921,32.80
03/08/2018,02:30:00 pm,0,9.921,32.60
03/08/2018,02:35:00 pm,0,9.921,32.30
03/08/2018,02:40:00 pm,0,9.921,32.00
03/08/2018,02:45:00 pm,0,9.918,31.70
03/08/2018,02:50:00 pm,0,9.918,31.50
03/08/2018,02:55:00 pm,0,9.918,31.20
03/08/2018,03:00:00 pm,0,9.918,31.00
03/08/2018,03:05:00 pm,0,9.921,30.80
03/08/2018,03:10:00 pm,0,9.921,30.40
03/08/2018,03:15:00 pm,0,9.921,30.10
03/08/2018,03:20:00 pm,0,9.921,29.80
03/08/2018,03:25:00 pm,0,9.921,29.60
03/08/2018,03:30:00 pm,0,9.921,29.50
03/08/2018,03:35:00 pm,0,9.921,29.40
03/08/2018,03:40:00 pm,0,9.921,29.30
03/08/2018,03:45:00 pm,0,9.921,29.30
03/08/2018,03:50:00 pm,0,9.921,29.20
03/08/2018,03:55:00 pm,0,9.921,29.10
03/08/2018,04:00:00 pm,0,9.921,29.10
03/08/2018,04:05:00 pm,0,9.921,29.00
03/08/2018,04:10:00 pm,0,9.921,29.00
03/08/2018,04:15:00 pm,0,9.921,28.90
03/08/2018,04:20:00 pm,0,9.921,28.80
03/08/2018,04:25:00 pm,0,9.921,28.60
