Serial_number:,,,,
2043854,,,,
Project ID:,,,,
,,,,
Location:,,,,
,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
6/8/2018,8:00:00 AM,0,10.004,23.4
6/8/2018,8:05:00 AM,0,10.013,23.4
6/8/2018,8:10:00 AM,0,10.016,23.3
6/8/2018,8:15:00 AM,0,10.014,23.2
6/8/2018,8:20:00 AM,0,10.017,23.2
6/8/2018,8:25:00 AM,0,10.016,23.1
6/8/2018,8:30:00 AM,0,10.016,23
6/8/2018,8:35:00 AM,0,10.014,22.9
6/8/2018,8:40:00 AM,0,10.016,22.9
6/8/2018,8:45:00 AM,0,10.013,22.8
6/8/2018,8:50:00 AM,0,10.011,22.7
6/8/2018,8:55:00 AM,0,10.011,22.7
6/8/2018,9:00:00 AM,0,10.01,22.6
6/8/2018,9:05:00 AM,0,10.01,22.5
6/8/2018,9:10:00 AM,0,10.008,22.4
6/8/2018,9:15:00 AM,0,10.008,22.3
6/8/2018,9:20:00 AM,0,10.008,22.2
6/8/2018,9:25:00 AM,0,10.008,22.1
6/8/2018,9:30:00 AM,0,10.008,22.1
6/8/2018,9:35:00 AM,0,10.008,22
6/8/2018,9:40:00 AM,0,10.007,21.9
6/8/2018,9:45:00 AM,0,10.007,21.8
6/8/2018,9:50:00 AM,0,10.008,21.8
6/8/2018,9:55:00 AM,0,10.008,21.7
6/8/2018,10:00:00 AM,0,10.007,21.7
6/8/2018,10:05:00 AM,0,10.008,21.6
6/8/2018,10:10:00 AM,0,10.01,21.6
6/8/2018,10:15:00 AM,0,10.01,21.5
6/8/2018,10:20:00 AM,0,10.011,21.5
6/8/2018,10:25:00 AM,0,10.01,21.4
6/8/2018,10:30:00 AM,0,10.01,21.4
6/8/2018,10:35:00 AM,0,10.01,21.4
6/8/2018,10:40:00 AM,0,10.008,21.3
6/8/2018,10:45:00 AM,0,10.008,21.3
6/8/2018,10:50:00 AM,0,10.008,21.3
6/8/2018,10:55:00 AM,0,10.01,21.3
6/8/2018,11:00:00 AM,0,10.008,21.3
6/8/2018,11:05:00 AM,0,10.008,21.3
6/8/2018,11:10:00 AM,0,10.005,21.2
6/8/2018,11:15:00 AM,0,10.007,21.3
6/8/2018,11:20:00 AM,0,10.004,21.3
6/8/2018,11:25:00 AM,0,10.007,21.2
6/8/2018,11:30:00 AM,0,10.004,21.2
6/8/2018,11:35:00 AM,0,10.004,21.2
6/8/2018,11:40:00 AM,0,10.002,21.2
6/8/2018,11:45:00 AM,0,10.001,21.2
6/8/2018,11:50:00 AM,0,9.998,21.2
6/8/2018,11:55:00 AM,0,9.999,21.2
6/8/2018,12:00:00 PM,0,9.998,21.3
6/8/2018,12:05:00 PM,0,9.998,21.3
6/8/2018,12:10:00 PM,0,9.998,21.3
6/8/2018,12:15:00 PM,0,9.998,21.3
6/8/2018,12:20:00 PM,0,9.998,21.3
