"","new_time","2093011","2012689","2043880","2024014","2043854","2024020","2091440"
"37",2018-08-06 15:00:00,NA,NA,NA,NA,NA,NA,NA
"38",2018-08-06 15:05:00,NA,NA,NA,NA,NA,NA,NA
"39",2018-08-06 15:10:00,NA,NA,NA,NA,NA,NA,NA
"40",2018-08-06 15:15:00,NA,NA,NA,NA,NA,NA,NA
"41",2018-08-06 15:20:00,NA,NA,NA,NA,NA,NA,NA
"42",2018-08-06 15:25:00,NA,NA,NA,NA,NA,NA,NA
"43",2018-08-06 15:30:00,NA,NA,NA,NA,NA,NA,NA
"44",2018-08-06 15:35:00,NA,NA,NA,NA,NA,NA,NA
"45",2018-08-06 15:40:00,NA,NA,NA,NA,NA,NA,NA
"46",2018-08-06 15:45:00,NA,NA,NA,NA,NA,NA,NA
"47",2018-08-06 15:50:00,NA,NA,NA,NA,NA,NA,NA
"48",2018-08-06 15:55:00,NA,NA,NA,NA,NA,NA,NA
"49",2018-08-06 16:00:00,NA,NA,NA,NA,NA,NA,NA
"50",2018-08-06 16:05:00,NA,NA,NA,NA,NA,NA,NA
"51",2018-08-06 16:10:00,NA,NA,NA,NA,NA,NA,NA
"52",2018-08-06 16:15:00,NA,NA,NA,NA,NA,NA,NA
"53",2018-08-06 16:20:00,NA,NA,NA,NA,NA,NA,NA
"54",2018-08-06 16:25:00,NA,NA,NA,NA,NA,NA,NA
"55",2018-08-06 16:30:00,NA,NA,NA,NA,NA,NA,NA
"56",2018-08-06 16:35:00,NA,NA,NA,NA,NA,NA,NA
"57",2018-08-06 16:40:00,NA,NA,NA,NA,NA,NA,NA
"58",2018-08-06 16:45:00,NA,NA,NA,NA,NA,NA,NA
"59",2018-08-06 16:50:00,NA,NA,NA,NA,NA,NA,NA
"60",2018-08-06 16:55:00,NA,NA,NA,NA,NA,NA,NA
"61",2018-08-06 17:00:00,NA,NA,NA,NA,NA,NA,NA
"62",2018-08-06 17:05:00,NA,NA,NA,NA,NA,NA,NA
"63",2018-08-06 17:10:00,NA,NA,NA,NA,NA,NA,NA
"64",2018-08-06 17:15:00,NA,NA,NA,NA,NA,NA,NA
"65",2018-08-06 17:20:00,NA,NA,NA,NA,NA,NA,NA
"66",2018-08-06 17:25:00,NA,NA,NA,NA,NA,NA,NA
"67",2018-08-06 17:30:00,NA,NA,NA,NA,NA,NA,NA
"68",2018-08-06 17:35:00,NA,NA,NA,NA,NA,NA,NA
"69",2018-08-06 17:40:00,NA,NA,NA,NA,NA,NA,NA
"70",2018-08-06 17:45:00,NA,NA,NA,NA,NA,NA,NA
"71",2018-08-06 17:50:00,NA,NA,NA,NA,NA,NA,NA
"72",2018-08-06 17:55:00,NA,NA,NA,NA,NA,NA,NA
"73",2018-08-06 18:00:00,NA,NA,NA,NA,NA,NA,NA
"74",2018-08-06 18:05:00,NA,NA,NA,NA,NA,NA,NA
"75",2018-08-06 18:10:00,NA,NA,NA,NA,NA,NA,NA
"76",2018-08-06 18:15:00,NA,NA,NA,NA,NA,NA,NA
"77",2018-08-06 18:20:00,NA,NA,NA,NA,NA,NA,NA
"78",2018-08-06 18:25:00,NA,NA,NA,NA,NA,NA,NA
"79",2018-08-06 18:30:00,NA,NA,NA,NA,NA,NA,NA
"80",2018-08-06 18:35:00,NA,NA,NA,NA,NA,NA,NA
"81",2018-08-06 18:40:00,NA,NA,NA,NA,NA,NA,NA
"82",2018-08-06 18:45:00,NA,NA,NA,NA,NA,NA,NA
"83",2018-08-06 18:50:00,NA,NA,NA,NA,NA,NA,NA
"84",2018-08-06 18:55:00,NA,NA,NA,NA,NA,NA,NA
"85",2018-08-06 19:00:00,NA,NA,NA,NA,NA,NA,NA
"86",2018-08-06 19:05:00,NA,NA,NA,NA,NA,NA,NA
"87",2018-08-06 19:10:00,NA,NA,NA,NA,NA,NA,NA
"88",2018-08-06 19:15:00,NA,NA,NA,NA,NA,NA,NA
"89",2018-08-06 19:20:00,NA,NA,NA,NA,NA,NA,NA
"90",2018-08-06 19:25:00,NA,NA,NA,NA,NA,NA,NA
"91",2018-08-06 19:30:00,NA,NA,NA,NA,NA,NA,NA
"92",2018-08-06 19:35:00,NA,NA,NA,NA,NA,NA,NA
"93",2018-08-06 19:40:00,NA,NA,NA,NA,NA,NA,NA
"94",2018-08-06 19:45:00,NA,NA,NA,NA,NA,NA,NA
"95",2018-08-06 19:50:00,NA,NA,NA,NA,NA,NA,NA
"96",2018-08-06 19:55:00,NA,NA,NA,NA,NA,NA,NA
"97",2018-08-06 20:00:00,NA,NA,0.315163677600001,1.0361636776,0.652163677600001,NA,NA
"98",2018-08-06 20:05:00,NA,NA,0.3102962412,1.0332962412,0.648296241200001,NA,NA
"99",2018-08-06 20:10:00,NA,NA,0.3117340464,1.0317340464,0.6477340464,NA,NA
"100",2018-08-06 20:15:00,NA,NA,0.309325484,1.029325484,0.645325484000001,NA,NA
"101",2018-08-06 20:20:00,NA,NA,0.308784358,1.026784358,0.644784358000001,NA,NA
"102",2018-08-06 20:25:00,NA,NA,0.305896527200002,1.0238965272,0.645896527200001,NA,NA
"103",2018-08-06 20:30:00,NA,NA,0.3058047524,1.0238047524,0.644804752400001,NA,NA
"104",2018-08-06 20:35:00,NA,NA,0.303753092000001,1.024753092,0.640753092000001,NA,NA
"105",2018-08-06 20:40:00,NA,NA,0.304120191200001,1.0221201912,0.640120191200001,NA,NA
