Serial_number:
2024021
Project ID:

Location:
PASD2019
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/11/2019,12:00:00 pm,0,10.056,22.90
7/11/2019,12:15:00 pm,0,10.053,22.90
7/11/2019,12:30:00 pm,0,10.053,23.10
7/11/2019,12:45:00 pm,0,10.050,23.60
7/11/2019,01:00:00 pm,0,10.047,24.30
7/11/2019,01:15:00 pm,0,10.047,25.50
7/11/2019,01:30:00 pm,0,10.044,26.80
7/11/2019,01:45:00 pm,0,10.044,27.90
7/11/2019,02:00:00 pm,0,10.041,28.90
7/11/2019,02:15:00 pm,0,10.047,29.50
7/11/2019,02:30:00 pm,0,10.047,29.80
7/11/2019,02:45:00 pm,0,10.044,30.10
7/11/2019,03:00:00 pm,0,10.041,30.30
7/11/2019,03:15:00 pm,0,10.044,30.30
7/11/2019,03:30:00 pm,0,10.044,30.00
7/11/2019,03:45:00 pm,0,10.044,29.60
7/11/2019,04:00:00 pm,0,10.041,29.20
7/11/2019,04:15:00 pm,0,10.041,29.80
7/11/2019,04:30:00 pm,0,10.047,30.30
7/11/2019,04:45:00 pm,0,10.044,30.50
7/11/2019,05:00:00 pm,0,10.041,30.20
7/11/2019,05:15:00 pm,0,10.038,29.70
7/11/2019,05:30:00 pm,0,10.029,29.30
7/11/2019,05:45:00 pm,0,10.029,28.80
7/11/2019,06:00:00 pm,0,10.029,28.80
7/11/2019,06:15:00 pm,0,10.026,29.10
7/11/2019,06:30:00 pm,0,10.026,28.70
7/11/2019,06:45:00 pm,0,10.026,28.10
7/11/2019,07:00:00 pm,0,10.026,27.50
7/11/2019,07:15:00 pm,0,10.023,27.10
7/11/2019,07:30:00 pm,0,10.029,26.60
7/11/2019,07:45:00 pm,0,10.011,26.40
7/11/2019,08:00:00 pm,0,10.008,25.90
7/11/2019,08:15:00 pm,0,10.002,25.40
7/11/2019,08:30:00 pm,0,10.002,25.00
7/11/2019,08:45:00 pm,0,9.999,24.80
7/11/2019,09:00:00 pm,0,9.996,24.50
7/11/2019,09:15:00 pm,0,9.996,24.30
7/11/2019,09:30:00 pm,0,9.996,24.20
7/11/2019,09:45:00 pm,0,9.993,24.00
7/11/2019,10:00:00 pm,0,9.993,23.80
7/11/2019,10:15:00 pm,0,9.990,23.60
7/11/2019,10:30:00 pm,0,9.990,23.50
7/11/2019,10:45:00 pm,0,9.987,23.30
7/11/2019,11:00:00 pm,0,9.990,23.20
7/11/2019,11:15:00 pm,0,9.987,23.10
7/11/2019,11:30:00 pm,0,9.984,23.00
7/11/2019,11:45:00 pm,0,9.981,22.90
7/12/2019,12:00:00 am,0,9.981,22.80
7/12/2019,12:15:00 am,0,9.981,22.70
7/12/2019,12:30:00 am,0,9.978,22.60
7/12/2019,12:45:00 am,0,9.978,22.50
7/12/2019,01:00:00 am,0,9.978,22.40
7/12/2019,01:15:00 am,0,9.975,22.30
7/12/2019,01:30:00 am,0,9.975,22.20
7/12/2019,01:45:00 am,0,9.975,22.10
7/12/2019,02:00:00 am,0,9.975,22.00
7/12/2019,02:15:00 am,0,9.978,21.90
7/12/2019,02:30:00 am,0,9.975,21.80
7/12/2019,02:45:00 am,0,9.975,21.70
7/12/2019,03:00:00 am,0,9.975,21.50
7/12/2019,03:15:00 am,0,9.975,21.40
7/12/2019,03:30:00 am,0,9.978,21.20
7/12/2019,03:45:00 am,0,9.975,21.10
7/12/2019,04:00:00 am,0,9.975,21.00
7/12/2019,04:15:00 am,0,9.975,20.90
7/12/2019,04:30:00 am,0,9.975,20.80
7/12/2019,04:45:00 am,0,9.975,20.70
7/12/2019,05:00:00 am,0,9.978,20.60
7/12/2019,05:15:00 am,0,9.975,20.50
7/12/2019,05:30:00 am,0,9.978,20.40
7/12/2019,05:45:00 am,0,9.978,20.30
7/12/2019,06:00:00 am,0,9.978,20.20
7/12/2019,06:15:00 am,0,9.978,20.10
7/12/2019,06:30:00 am,0,9.978,20.10
7/12/2019,06:45:00 am,0,9.978,20.00
7/12/2019,07:00:00 am,0,9.978,20.00
7/12/2019,07:15:00 am,0,9.981,19.90
7/12/2019,07:30:00 am,0,9.981,19.90
7/12/2019,07:45:00 am,0,9.984,19.90
7/12/2019,08:00:00 am,0,9.984,19.70
7/12/2019,08:15:00 am,0,9.990,19.50
7/12/2019,08:30:00 am,0,9.999,19.20
7/12/2019,08:45:00 am,0,9.999,18.90
7/12/2019,09:00:00 am,0,9.999,18.50
7/12/2019,09:15:00 am,0,9.996,18.30
7/12/2019,09:30:00 am,0,9.996,18.30
7/12/2019,09:45:00 am,0,9.996,18.30
7/12/2019,10:00:00 am,0,10.002,18.20
7/12/2019,10:15:00 am,0,10.005,18.00
7/12/2019,10:30:00 am,0,10.011,17.90
7/12/2019,10:45:00 am,0,10.002,17.70
7/12/2019,11:00:00 am,0,9.999,17.40
7/12/2019,11:15:00 am,0,10.008,17.10
7/12/2019,11:30:00 am,0,10.008,16.80
7/12/2019,11:45:00 am,0,10.014,16.60
7/12/2019,12:00:00 pm,0,10.020,16.90
7/12/2019,12:15:00 pm,0,10.020,17.50
7/12/2019,12:30:00 pm,0,10.020,18.30
7/12/2019,12:45:00 pm,0,10.023,19.00
7/12/2019,01:00:00 pm,0,10.026,19.40
