Serial_number:
2024030
Project ID:

Location:
PAD2019
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/11/2019,12:00:00 pm,0,10.032,22.70
7/11/2019,12:15:00 pm,0,10.032,22.70
7/11/2019,12:30:00 pm,0,10.032,22.80
7/11/2019,12:45:00 pm,0,10.026,22.90
7/11/2019,01:00:00 pm,0,10.026,23.30
7/11/2019,01:15:00 pm,0,10.026,23.70
7/11/2019,01:30:00 pm,0,10.023,24.40
7/11/2019,01:45:00 pm,0,10.023,25.00
7/11/2019,02:00:00 pm,0,10.020,25.60
7/11/2019,02:15:00 pm,0,10.023,26.10
7/11/2019,02:30:00 pm,0,10.020,26.40
7/11/2019,02:45:00 pm,0,10.020,26.70
7/11/2019,03:00:00 pm,0,10.020,27.00
7/11/2019,03:15:00 pm,0,10.017,27.10
7/11/2019,03:30:00 pm,0,10.020,27.00
7/11/2019,03:45:00 pm,0,10.017,26.80
7/11/2019,04:00:00 pm,0,10.017,26.80
7/11/2019,04:15:00 pm,0,10.014,27.00
7/11/2019,04:30:00 pm,0,10.014,27.20
7/11/2019,04:45:00 pm,0,10.014,27.30
7/11/2019,05:00:00 pm,0,10.014,27.30
7/11/2019,05:15:00 pm,0,10.014,27.30
7/11/2019,05:30:00 pm,0,10.005,27.50
7/11/2019,05:45:00 pm,0,10.011,27.20
7/11/2019,06:00:00 pm,0,10.011,27.00
7/11/2019,06:15:00 pm,0,10.008,27.00
7/11/2019,06:30:00 pm,0,10.005,26.50
7/11/2019,06:45:00 pm,0,10.005,25.90
7/11/2019,07:00:00 pm,0,10.005,25.60
7/11/2019,07:15:00 pm,0,10.005,25.30
7/11/2019,07:30:00 pm,0,10.008,24.90
7/11/2019,07:45:00 pm,0,9.993,24.60
7/11/2019,08:00:00 pm,0,9.990,24.30
7/11/2019,08:15:00 pm,0,9.990,24.10
7/11/2019,08:30:00 pm,0,9.990,23.90
7/11/2019,08:45:00 pm,0,9.987,23.80
7/11/2019,09:00:00 pm,0,9.987,23.70
7/11/2019,09:15:00 pm,0,9.987,23.60
7/11/2019,09:30:00 pm,0,9.987,23.50
7/11/2019,09:45:00 pm,0,9.987,23.40
7/11/2019,10:00:00 pm,0,9.984,23.30
7/11/2019,10:15:00 pm,0,9.984,23.20
7/11/2019,10:30:00 pm,0,9.984,23.00
7/11/2019,10:45:00 pm,0,9.984,22.90
7/11/2019,11:00:00 pm,0,9.984,22.80
7/11/2019,11:15:00 pm,0,9.984,22.80
7/11/2019,11:30:00 pm,0,9.981,22.70
7/11/2019,11:45:00 pm,0,9.978,22.60
7/12/2019,12:00:00 am,0,9.978,22.60
7/12/2019,12:15:00 am,0,9.978,22.50
7/12/2019,12:30:00 am,0,9.978,22.40
7/12/2019,12:45:00 am,0,9.975,22.30
7/12/2019,01:00:00 am,0,9.975,22.30
7/12/2019,01:15:00 am,0,9.975,22.20
7/12/2019,01:30:00 am,0,9.975,22.10
7/12/2019,01:45:00 am,0,9.975,22.00
7/12/2019,02:00:00 am,0,9.972,21.90
7/12/2019,02:15:00 am,0,9.975,21.90
7/12/2019,02:30:00 am,0,9.972,21.80
7/12/2019,02:45:00 am,0,9.972,21.70
7/12/2019,03:00:00 am,0,9.969,21.60
7/12/2019,03:15:00 am,0,9.969,21.40
7/12/2019,03:30:00 am,0,9.972,21.30
7/12/2019,03:45:00 am,0,9.969,21.20
7/12/2019,04:00:00 am,0,9.969,21.10
7/12/2019,04:15:00 am,0,9.969,21.00
7/12/2019,04:30:00 am,0,9.969,20.90
7/12/2019,04:45:00 am,0,9.969,20.80
7/12/2019,05:00:00 am,0,9.969,20.70
7/12/2019,05:15:00 am,0,9.966,20.60
7/12/2019,05:30:00 am,0,9.969,20.50
7/12/2019,05:45:00 am,0,9.969,20.40
7/12/2019,06:00:00 am,0,9.969,20.30
7/12/2019,06:15:00 am,0,9.969,20.20
7/12/2019,06:30:00 am,0,9.969,20.20
7/12/2019,06:45:00 am,0,9.969,20.10
7/12/2019,07:00:00 am,0,9.966,20.00
7/12/2019,07:15:00 am,0,9.969,20.00
7/12/2019,07:30:00 am,0,9.966,19.90
7/12/2019,07:45:00 am,0,9.969,19.90
7/12/2019,08:00:00 am,0,9.972,19.60
7/12/2019,08:15:00 am,0,9.975,19.20
7/12/2019,08:30:00 am,0,9.987,18.90
7/12/2019,08:45:00 am,0,9.984,18.50
7/12/2019,09:00:00 am,0,9.984,18.20
7/12/2019,09:15:00 am,0,9.981,18.00
7/12/2019,09:30:00 am,0,9.981,18.00
7/12/2019,09:45:00 am,0,9.984,18.00
7/12/2019,10:00:00 am,0,9.990,18.00
7/12/2019,10:15:00 am,0,9.993,17.80
7/12/2019,10:30:00 am,0,9.999,17.70
7/12/2019,10:45:00 am,0,9.987,17.60
7/12/2019,11:00:00 am,0,9.987,17.20
7/12/2019,11:15:00 am,0,9.996,16.70
7/12/2019,11:30:00 am,0,9.996,16.50
7/12/2019,11:45:00 am,0,9.999,16.40
7/12/2019,12:00:00 pm,0,10.002,17.00
7/12/2019,12:15:00 pm,0,10.002,18.00
7/12/2019,12:30:00 pm,0,10.005,18.60
7/12/2019,12:45:00 pm,0,10.005,18.90
7/12/2019,01:00:00 pm,0,10.008,19.20
7/12/2019,01:15:00 pm,0,10.008,19.50
7/12/2019,01:30:00 pm,0,10.008,19.90
7/12/2019,01:45:00 pm,0,10.011,20.00
7/12/2019,02:00:00 pm,0,10.011,19.80
7/12/2019,02:15:00 pm,0,10.011,19.90
7/12/2019,02:30:00 pm,0,10.011,20.10
7/12/2019,02:45:00 pm,0,10.014,20.30
7/12/2019,03:00:00 pm,0,10.017,20.40
7/12/2019,03:15:00 pm,0,10.020,20.40
7/12/2019,03:30:00 pm,0,10.026,20.40
7/12/2019,03:45:00 pm,0,10.026,20.30
7/12/2019,04:00:00 pm,0,10.032,20.20
7/12/2019,04:15:00 pm,0,10.032,20.10
7/12/2019,04:30:00 pm,0,10.032,19.90
7/12/2019,04:45:00 pm,0,10.032,19.70
7/12/2019,05:00:00 pm,0,10.032,19.50
7/12/2019,05:15:00 pm,0,10.032,19.30
7/12/2019,05:30:00 pm,0,10.032,19.20
7/12/2019,05:45:00 pm,0,10.032,19.00
7/12/2019,06:00:00 pm,0,10.029,18.90
7/12/2019,06:15:00 pm,0,10.032,18.70
7/12/2019,06:30:00 pm,0,10.035,18.50
7/12/2019,06:45:00 pm,0,10.026,18.30
7/12/2019,07:00:00 pm,0,10.026,18.10
7/12/2019,07:15:00 pm,0,10.026,18.00
7/12/2019,07:30:00 pm,0,10.026,18.00
7/12/2019,07:45:00 pm,0,10.029,18.30
7/12/2019,08:00:00 pm,0,10.029,18.50
7/12/2019,08:15:00 pm,0,10.032,18.70
7/12/2019,08:30:00 pm,0,10.032,18.90
7/12/2019,08:45:00 pm,0,10.032,19.00
7/12/2019,09:00:00 pm,0,10.035,19.20
7/12/2019,09:15:00 pm,0,10.035,19.30
7/12/2019,09:30:00 pm,0,10.038,19.50
7/12/2019,09:45:00 pm,0,10.038,19.60
7/12/2019,10:00:00 pm,0,10.041,19.70
7/12/2019,10:15:00 pm,0,10.041,19.80
7/12/2019,10:30:00 pm,0,10.041,19.90
7/12/2019,10:45:00 pm,0,10.044,20.00
7/12/2019,11:00:00 pm,0,10.044,20.00
7/12/2019,11:15:00 pm,0,10.044,20.00
7/12/2019,11:30:00 pm,0,10.044,20.00
7/12/2019,11:45:00 pm,0,10.044,20.00
7/13/2019,12:00:00 am,0,10.047,20.00
7/13/2019,12:15:00 am,0,10.047,20.00
7/13/2019,12:30:00 am,0,10.047,19.90
7/13/2019,12:45:00 am,0,10.047,19.80
7/13/2019,01:00:00 am,0,10.050,19.80
7/13/2019,01:15:00 am,0,10.047,19.70
7/13/2019,01:30:00 am,0,10.047,19.60
7/13/2019,01:45:00 am,0,10.047,19.50
7/13/2019,02:00:00 am,0,10.047,19.40
7/13/2019,02:15:00 am,0,10.050,19.40
7/13/2019,02:30:00 am,0,10.050,19.30
7/13/2019,02:45:00 am,0,10.050,19.20
7/13/2019,03:00:00 am,0,10.050,19.10
7/13/2019,03:15:00 am,0,10.050,19.00
7/13/2019,03:30:00 am,0,10.050,18.90
7/13/2019,03:45:00 am,0,10.050,18.80
7/13/2019,04:00:00 am,0,10.050,18.70
7/13/2019,04:15:00 am,0,10.053,18.70
7/13/2019,04:30:00 am,0,10.053,18.60
7/13/2019,04:45:00 am,0,10.053,18.50
7/13/2019,05:00:00 am,0,10.053,18.40
7/13/2019,05:15:00 am,0,10.053,18.30
7/13/2019,05:30:00 am,0,10.056,18.20
7/13/2019,05:45:00 am,0,10.059,18.20
7/13/2019,06:00:00 am,0,10.059,18.10
7/13/2019,06:15:00 am,0,10.059,18.00
7/13/2019,06:30:00 am,0,10.059,18.00
7/13/2019,06:45:00 am,0,10.059,17.90
7/13/2019,07:00:00 am,0,10.062,17.90
7/13/2019,07:15:00 am,0,10.062,17.80
7/13/2019,07:30:00 am,0,10.062,17.80
7/13/2019,07:45:00 am,0,10.062,17.80
7/13/2019,08:00:00 am,0,10.074,17.50
7/13/2019,08:15:00 am,0,10.077,17.20
7/13/2019,08:30:00 am,0,10.074,17.00
7/13/2019,08:45:00 am,0,10.074,16.80
7/13/2019,09:00:00 am,0,10.071,16.60
7/13/2019,09:15:00 am,0,10.068,16.40
7/13/2019,09:30:00 am,0,10.071,16.30
7/13/2019,09:45:00 am,0,10.071,16.10
7/13/2019,10:00:00 am,0,10.071,16.10
7/13/2019,10:15:00 am,0,10.071,16.20
7/13/2019,10:30:00 am,0,10.071,16.60
7/13/2019,10:45:00 am,0,10.068,17.10
7/13/2019,11:00:00 am,0,10.074,17.40
7/13/2019,11:15:00 am,0,10.071,17.50
7/13/2019,11:30:00 am,0,10.068,17.80
7/13/2019,11:45:00 am,0,10.068,18.40
7/13/2019,12:00:00 pm,0,10.068,19.30
7/13/2019,12:15:00 pm,0,10.068,20.30
7/13/2019,12:30:00 pm,0,10.068,21.30
7/13/2019,12:45:00 pm,0,10.068,22.30
7/13/2019,01:00:00 pm,0,10.068,23.10
7/13/2019,01:15:00 pm,0,10.068,23.70
7/13/2019,01:30:00 pm,0,10.068,24.10
7/13/2019,01:45:00 pm,0,10.065,24.70
7/13/2019,02:00:00 pm,0,10.065,25.00
7/13/2019,02:15:00 pm,0,10.065,25.10
7/13/2019,02:30:00 pm,0,10.065,25.20
7/13/2019,02:45:00 pm,0,10.062,25.10
7/13/2019,03:00:00 pm,0,11.865,18.20
7/13/2019,03:15:00 pm,0,11.862,16.90
7/13/2019,03:30:00 pm,0,11.865,16.90
7/13/2019,03:45:00 pm,0,11.868,16.90
7/13/2019,04:00:00 pm,0,11.868,16.90
7/13/2019,04:15:00 pm,0,11.874,16.80
7/13/2019,04:30:00 pm,0,11.874,16.80
7/13/2019,04:45:00 pm,0,11.874,16.80
7/13/2019,05:00:00 pm,0,11.880,16.80
7/13/2019,05:15:00 pm,0,11.883,16.70
7/13/2019,05:30:00 pm,0,11.883,16.60
7/13/2019,05:45:00 pm,0,11.886,16.70
7/13/2019,06:00:00 pm,0,11.886,16.70
7/13/2019,06:15:00 pm,0,11.892,16.70
7/13/2019,06:30:00 pm,0,11.895,16.70
7/13/2019,06:45:00 pm,0,11.895,16.60
7/13/2019,07:00:00 pm,0,11.895,16.50
7/13/2019,07:15:00 pm,0,11.895,16.50
7/13/2019,07:30:00 pm,0,11.901,16.50
7/13/2019,07:45:00 pm,0,11.904,16.50
7/13/2019,08:00:00 pm,0,11.907,16.50
7/13/2019,08:15:00 pm,0,11.907,16.50
7/13/2019,08:30:00 pm,0,11.910,16.50
7/13/2019,08:45:00 pm,0,11.913,16.50
7/13/2019,09:00:00 pm,0,11.913,16.50
7/13/2019,09:15:00 pm,0,11.919,16.50
7/13/2019,09:30:00 pm,0,11.919,16.50
7/13/2019,09:45:00 pm,0,11.922,16.50
7/13/2019,10:00:00 pm,0,11.925,16.50
7/13/2019,10:15:00 pm,0,11.925,16.60
7/13/2019,10:30:00 pm,0,11.928,16.60
7/13/2019,10:45:00 pm,0,11.928,16.70
7/13/2019,11:00:00 pm,0,11.931,16.80
7/13/2019,11:15:00 pm,0,11.934,16.80
7/13/2019,11:30:00 pm,0,11.937,16.90
7/13/2019,11:45:00 pm,0,11.940,16.90
7/14/2019,12:00:00 am,0,11.940,16.90
7/14/2019,12:15:00 am,0,11.943,16.90
7/14/2019,12:30:00 am,0,11.943,16.90
7/14/2019,12:45:00 am,0,11.946,16.90
7/14/2019,01:00:00 am,0,11.949,16.90
7/14/2019,01:15:00 am,0,11.949,16.90
7/14/2019,01:30:00 am,0,11.955,16.90
7/14/2019,01:45:00 am,0,11.955,16.90
7/14/2019,02:00:00 am,0,11.955,16.80
7/14/2019,02:15:00 am,0,11.955,16.80
7/14/2019,02:30:00 am,0,11.961,16.80
7/14/2019,02:45:00 am,0,11.961,16.80
7/14/2019,03:00:00 am,0,11.964,16.80
7/14/2019,03:15:00 am,0,11.964,16.80
7/14/2019,03:30:00 am,0,11.967,16.80
7/14/2019,03:45:00 am,0,11.967,16.70
7/14/2019,04:00:00 am,0,11.970,16.70
7/14/2019,04:15:00 am,0,11.970,16.70
7/14/2019,04:30:00 am,0,11.970,16.70
7/14/2019,04:45:00 am,0,11.967,16.70
7/14/2019,05:00:00 am,0,11.967,16.70
7/14/2019,05:15:00 am,0,11.973,16.70
7/14/2019,05:30:00 am,0,11.970,16.70
7/14/2019,05:45:00 am,0,11.970,16.70
7/14/2019,06:00:00 am,0,11.976,16.70
7/14/2019,06:15:00 am,0,11.976,16.70
7/14/2019,06:30:00 am,0,11.979,16.70
7/14/2019,06:45:00 am,0,11.979,16.70
7/14/2019,07:00:00 am,0,11.976,16.60
7/14/2019,07:15:00 am,0,11.979,16.60
7/14/2019,07:30:00 am,0,11.979,16.60
7/14/2019,07:45:00 am,0,11.979,16.60
7/14/2019,08:00:00 am,0,11.976,16.60
7/14/2019,08:15:00 am,0,11.973,16.60
7/14/2019,08:30:00 am,0,11.976,16.60
