"","new_time","2024021","2024030","2093022","2024031","2075532"
"1",2019-07-13 16:00:00,13.191,11.895,11.517,11.124,NA
"2",2019-07-13 16:15:00,13.191,11.895,11.517,11.124,NA
"3",2019-07-13 16:30:00,13.194,11.901,11.523,11.127,NA
"4",2019-07-13 16:45:00,13.194,11.904,11.523,11.13,NA
"5",2019-07-13 17:00:00,13.203,11.907,11.526,11.133,11.502
"6",2019-07-13 17:15:00,13.2,11.907,11.529,11.136,11.499
"7",2019-07-13 17:30:00,13.203,11.91,11.529,11.136,11.502
"8",2019-07-13 17:45:00,13.206,11.913,11.532,11.139,11.505
"9",2019-07-13 18:00:00,13.206,11.913,11.532,11.142,11.505
"10",2019-07-13 18:15:00,13.212,11.919,11.535,11.142,11.508
"11",2019-07-13 18:30:00,13.218,11.919,11.538,11.145,11.511
"12",2019-07-13 18:45:00,13.215,11.922,11.541,11.148,11.511
"13",2019-07-13 19:00:00,13.218,11.925,11.544,11.151,11.514
"14",2019-07-13 19:15:00,13.218,11.925,11.547,11.154,11.517
"15",2019-07-13 19:30:00,13.221,11.928,11.55,11.154,11.52
"16",2019-07-13 19:45:00,13.227,11.928,11.55,11.157,11.52
"17",2019-07-13 20:00:00,13.227,11.931,11.55,11.157,11.52
"18",2019-07-13 20:15:00,13.23,11.934,11.553,11.16,11.523
"19",2019-07-13 20:30:00,13.233,11.937,11.556,11.16,11.526
"20",2019-07-13 20:45:00,13.233,11.94,11.556,11.163,11.526
"21",2019-07-13 21:00:00,13.239,11.94,11.559,11.166,11.526
"22",2019-07-13 21:15:00,13.242,11.943,11.559,11.163,11.529
"23",2019-07-13 21:30:00,13.242,11.943,11.562,11.166,11.529
"24",2019-07-13 21:45:00,13.245,11.946,11.562,11.169,11.529
"25",2019-07-13 22:00:00,13.245,11.949,11.565,11.169,11.532
"26",2019-07-13 22:15:00,13.248,11.949,11.565,11.169,11.532
"27",2019-07-13 22:30:00,13.251,11.955,11.565,11.172,11.532
"28",2019-07-13 22:45:00,13.254,11.955,11.568,11.175,11.535
"29",2019-07-13 23:00:00,13.257,11.955,11.568,11.175,11.538
"30",2019-07-13 23:15:00,13.26,11.955,11.568,11.175,11.535
"31",2019-07-13 23:30:00,13.263,11.961,11.574,11.178,11.538
"32",2019-07-13 23:45:00,13.266,11.961,11.574,11.181,11.541
"33",2019-07-14 00:00:00,13.266,11.964,11.577,11.181,11.541
"34",2019-07-14 00:15:00,13.269,11.964,11.577,11.181,11.544
"35",2019-07-14 00:30:00,13.269,11.967,11.577,11.184,11.544
"36",2019-07-14 00:45:00,13.272,11.967,11.58,11.184,11.544
"37",2019-07-14 01:00:00,13.275,11.97,11.58,11.187,11.544
"38",2019-07-14 01:15:00,13.278,11.97,11.58,11.184,11.547
"39",2019-07-14 01:30:00,13.281,11.97,11.58,11.184,11.544
