"","new_time","2024021","2024030","2093022","2024031","2075532"
"1",2019-07-13 16:00:00,213.4620195576,213.47396327,213.46646327,213.48746327,NA
"2",2019-07-13 16:15:00,213.4630800664,213.4750237788,213.4675237788,213.4885237788,NA
"3",2019-07-13 16:30:00,213.4707299896,213.485673702,213.478173702,213.496173702,NA
"4",2019-07-13 16:45:00,213.4699957912,213.4879395036,213.4774395036,213.4984395036,NA
"5",2019-07-13 17:00:00,213.4774662112,213.4894099236,213.4789099236,213.4999099236,213.5709099236
"6",2019-07-13 17:15:00,213.474456014,213.4893997264,213.4818997264,213.5028997264,213.5678997264
"7",2019-07-13 17:30:00,213.4756409124,213.4905846248,213.4800846248,213.5010846248,213.5690846248
"8",2019-07-13 17:45:00,213.4792017584,213.4941454708,213.4836454708,213.5046454708,213.5726454708
"9",2019-07-13 18:00:00,213.480608972,213.4955526844,213.4850526844,213.5090526844,213.5740526844
"10",2019-07-13 18:15:00,213.48829151,213.5032352224,213.4897352224,213.5107352224,213.5787352224
"11",2019-07-13 18:30:00,213.4954539908,213.5043977032,213.4938977032,213.5148977032,213.5828977032
"12",2019-07-13 18:45:00,213.4921480748,213.5070917872,213.4965917872,213.5175917872,213.5825917872
"13",2019-07-13 19:00:00,213.4945056512,213.5094493636,213.4989493636,213.5199493636,213.5849493636
"14",2019-07-13 19:15:00,213.4958618788,213.5108055912,213.5033055912,213.5243055912,213.5893055912
"15",2019-07-13 19:30:00,213.4987497096,213.513693422,213.506193422,213.524193422,213.592193422
"16",2019-07-13 19:45:00,213.5050658228,213.5140095352,213.5065095352,213.5275095352,213.5925095352
"17",2019-07-13 20:00:00,213.5046579348,213.5166016472,213.5061016472,213.5271016472,213.5921016472
"18",2019-07-13 20:15:00,213.5078618788,213.5198055912,213.5093055912,213.5303055912,213.5953055912
"19",2019-07-13 20:30:00,213.5114737108,213.5234174232,213.5129174232,213.5309174232,213.5989174232
"20",2019-07-13 20:45:00,213.5112595696,213.526203282,213.512703282,213.533703282,213.598703282
"21",2019-07-13 21:00:00,213.5169944424,213.5259381548,213.5154381548,213.5364381548,213.5984381548
"22",2019-07-13 21:15:00,213.5211059372,213.5300496496,213.5165496496,213.5345496496,213.6025496496
"23",2019-07-13 21:30:00,213.5218401356,213.530783848,213.520283848,213.538283848,213.603283848
"24",2019-07-13 21:45:00,213.5258394612,213.5347831736,213.5212831736,213.5422831736,213.6042831736
"25",2019-07-13 22:00:00,213.526696026,213.5386397384,213.5251397384,213.5431397384,213.6081397384
"26",2019-07-13 22:15:00,213.530205886,213.5391495984,213.5256495984,213.5436495984,213.6086495984
"27",2019-07-13 22:30:00,213.5335525908,213.5454963032,213.5259963032,213.5469963032,213.6089963032
"28",2019-07-13 22:45:00,213.5358897728,213.5448334852,213.5283334852,213.5493334852,213.6113334852
"29",2019-07-13 23:00:00,213.540225606,213.5461693184,213.5296693184,213.5506693184,213.6156693184
"30",2019-07-13 23:15:00,213.5436538884,213.5465976008,213.5300976008,213.5510976008,213.6130976008
"31",2019-07-13 23:30:00,213.5465927052,213.5525364176,213.5360364176,213.5540364176,213.6160364176
"32",2019-07-13 23:45:00,213.5494193528,213.5523630652,213.5358630652,213.5568630652,213.6188630652
"33",2019-07-14 00:00:00,213.5497762548,213.5557199672,213.5392199672,213.5572199672,213.6192199672
"34",2019-07-14 00:15:00,213.5532861148,213.5562298272,213.5397298272,213.5577298272,213.6227298272
"35",2019-07-14 00:30:00,213.5537857776,213.55972949,213.54022949,213.56122949,213.62322949
"36",2019-07-14 00:45:00,213.5574893844,213.5604330968,213.5439330968,213.5619330968,213.6239330968
"37",2019-07-14 01:00:00,213.5615294988,213.5644732112,213.5449732112,213.5659732112,213.6249732112
"38",2019-07-14 01:15:00,213.565712374,213.5656560864,213.5461560864,213.5641560864,213.6291560864
"39",2019-07-14 01:30:00,213.5708435888,213.5677873012,213.5482873012,213.5662873012,213.6282873012
"40",2019-07-14 01:45:00,213.5755159296,213.566459642,213.549959642,213.567959642,213.629959642
"41",2019-07-14 02:00:00,213.5774330032,213.5683767156,213.5518767156,213.5698767156,213.6318767156
"42",2019-07-14 02:15:00,213.5788606112,213.5758043236,213.5533043236,213.5713043236,213.6363043236
"43",2019-07-14 02:30:00,213.5862576276,213.57420134,213.55770134,213.57570134,213.63770134
"44",2019-07-14 02:45:00,213.5868694596,213.574813172,213.558313172,213.576313172,213.638313172
"45",2019-07-14 03:00:00,213.58968591,213.5806296224,213.5581296224,213.5761296224,213.6381296224
"46",2019-07-14 03:15:00,213.5895737408,213.5805174532,213.5580174532,213.5760174532,213.6380174532
"47",2019-07-14 03:30:00,213.59243098,213.5833746924,213.5608746924,213.5788746924,213.6408746924
"48",2019-07-14 03:45:00,213.5979904772,213.5859341896,213.5634341896,213.5814341896,213.6434341896
"49",2019-07-14 04:00:00,213.6000299172,213.5849736296,213.5654736296,213.5834736296,213.6454736296
"50",2019-07-14 04:15:00,213.6018858076,213.58982952,213.56732952,213.58532952,213.64732952
"51",2019-07-14 04:30:00,213.6035071624,213.5914508748,213.5689508748,213.5869508748,213.6489508748
"52",2019-07-14 04:45:00,213.605475222,213.5934189344,213.5709189344,213.5889189344,213.6479189344
"53",2019-07-14 05:00:00,213.6096275056,213.591571218,213.572071218,213.587071218,213.649071218
"54",2019-07-14 05:15:00,213.6123399608,213.5912836732,213.5717836732,213.5897836732,213.6517836732
"55",2019-07-14 05:30:00,213.6177872888,213.5967310012,213.5742310012,213.5922310012,213.6512310012
"56",2019-07-14 05:45:00,213.6211319704,213.6000756828,213.5775756828,213.5925756828,213.6545756828
"57",2019-07-14 06:00:00,213.6215500556,213.600493768,213.577993768,213.595993768,213.654993768
"58",2019-07-14 06:15:00,213.6303440884,213.6032878008,213.5807878008,213.5957878008,213.6547878008
"59",2019-07-14 06:30:00,213.6310191268,213.6009628392,213.5784628392,213.5934628392,213.6554628392
"60",2019-07-14 06:45:00,213.6299973836,213.605941096,213.580441096,213.595441096,213.657441096
"61",2019-07-14 07:00:00,213.63190426,213.6078479724,213.5853479724,213.6003479724,213.6593479724
"62",2019-07-14 07:15:00,213.6344127712,213.6073564836,213.5878564836,213.6028564836,213.6618564836
