"","new_time","2043737","2075559","2075568","2024021","2093013","2093018","2093009"
"1",2018-08-06 17:00:00,NA,NA,NA,10.44,NA,NA,NA
"2",2018-08-06 17:05:00,NA,NA,NA,10.431,NA,NA,NA
"3",2018-08-06 17:10:00,NA,NA,NA,10.44,NA,NA,NA
"4",2018-08-06 17:15:00,NA,NA,NA,10.425,NA,NA,NA
"5",2018-08-06 17:20:00,NA,NA,NA,10.434,NA,NA,NA
"6",2018-08-06 17:25:00,NA,NA,NA,10.422,NA,NA,NA
"7",2018-08-06 17:30:00,NA,NA,NA,10.407,NA,NA,NA
"8",2018-08-06 17:35:00,NA,NA,NA,10.44,NA,NA,NA
"9",2018-08-06 17:40:00,NA,NA,NA,10.437,NA,NA,NA
"10",2018-08-06 17:45:00,NA,NA,NA,10.428,NA,NA,NA
"11",2018-08-06 17:50:00,NA,NA,NA,10.419,NA,NA,NA
"12",2018-08-06 17:55:00,NA,NA,NA,10.425,NA,NA,NA
"13",2018-08-06 18:00:00,10.239,10.776,10.761,10.422,NA,NA,NA
"14",2018-08-06 18:05:00,10.244,10.773,10.758,10.419,NA,NA,NA
"15",2018-08-06 18:10:00,10.236,10.779,10.764,10.398,NA,NA,NA
"16",2018-08-06 18:15:00,10.244,10.785,10.761,10.419,NA,NA,NA
"17",2018-08-06 18:20:00,10.236,10.773,10.764,10.404,NA,NA,NA
"18",2018-08-06 18:25:00,10.238,10.776,10.758,10.413,NA,NA,NA
"19",2018-08-06 18:30:00,10.232,10.776,10.758,10.437,NA,NA,NA
"20",2018-08-06 18:35:00,10.236,10.773,10.758,10.431,NA,NA,NA
"21",2018-08-06 18:40:00,10.236,10.77,10.758,10.41,NA,NA,NA
"22",2018-08-06 18:45:00,10.238,10.773,10.758,10.422,NA,NA,NA
"23",2018-08-06 18:50:00,10.233,10.779,10.758,10.413,NA,NA,NA
"24",2018-08-06 18:55:00,10.233,10.776,10.761,10.401,NA,NA,NA
"25",2018-08-06 19:00:00,10.235,10.776,10.764,10.41,NA,NA,NA
"26",2018-08-06 19:05:00,10.23,10.773,10.758,10.41,NA,NA,NA
"27",2018-08-06 19:10:00,10.233,10.77,10.755,10.416,NA,NA,NA
"28",2018-08-06 19:15:00,10.226,10.764,10.758,10.413,NA,NA,NA
"29",2018-08-06 19:20:00,10.229,10.77,10.755,10.404,NA,NA,NA
"30",2018-08-06 19:25:00,10.23,10.773,10.752,10.413,NA,NA,NA
"31",2018-08-06 19:30:00,10.229,10.767,10.749,10.401,NA,NA,NA
"32",2018-08-06 19:35:00,10.227,10.764,10.749,10.422,NA,NA,NA
"33",2018-08-06 19:40:00,10.229,10.764,10.746,10.404,NA,NA,NA
"34",2018-08-06 19:45:00,10.224,10.764,10.746,10.386,NA,NA,NA
"35",2018-08-06 19:50:00,10.224,10.764,10.746,10.389,NA,NA,NA
"36",2018-08-06 19:55:00,10.226,10.758,10.74,10.38,NA,NA,NA
"37",2018-08-06 20:00:00,10.226,10.755,10.74,10.389,NA,NA,NA
"38",2018-08-06 20:05:00,10.221,10.761,10.743,10.401,NA,NA,NA
"39",2018-08-06 20:10:00,10.224,10.761,10.743,10.386,NA,NA,NA
"40",2018-08-06 20:15:00,10.22,10.755,10.74,10.374,NA,NA,NA
"41",2018-08-06 20:20:00,10.22,10.755,10.737,10.383,NA,NA,NA
"42",2018-08-06 20:25:00,10.218,10.755,10.737,10.398,NA,NA,NA
"43",2018-08-06 20:30:00,10.217,10.752,10.74,10.389,NA,NA,NA
"44",2018-08-06 20:35:00,10.217,10.752,10.734,10.383,NA,NA,NA
"45",2018-08-06 20:40:00,10.223,10.752,10.737,10.371,NA,NA,NA
"46",2018-08-06 20:45:00,10.218,10.758,10.737,10.386,NA,NA,NA
"47",2018-08-06 20:50:00,10.217,10.752,10.743,10.392,NA,NA,NA
"48",2018-08-06 20:55:00,10.212,10.755,10.737,10.404,NA,NA,NA
