Serial_number:
2092897
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
03/08/2018,12:00:00 pm,0,97.2928,24.916
03/08/2018,12:05:00 pm,0,97.3028,25.203
03/08/2018,12:10:00 pm,0,97.3057,25.499
03/08/2018,12:15:00 pm,0,97.3050,25.803
03/08/2018,12:20:00 pm,0,97.3113,26.115
03/08/2018,12:25:00 pm,0,97.3069,26.430
03/08/2018,12:30:00 pm,0,97.3061,26.743
03/08/2018,12:35:00 pm,0,97.3072,27.057
03/08/2018,12:40:00 pm,0,97.3003,27.363
03/08/2018,12:45:00 pm,0,97.2972,27.659
03/08/2018,12:50:00 pm,0,97.2943,27.945
03/08/2018,12:55:00 pm,0,97.2946,28.221
03/08/2018,01:00:00 pm,0,97.2977,28.486
03/08/2018,01:05:00 pm,0,97.2965,28.742
03/08/2018,01:10:00 pm,0,97.2939,28.992
03/08/2018,01:15:00 pm,0,97.2933,29.241
03/08/2018,01:20:00 pm,0,97.2988,29.473
03/08/2018,01:25:00 pm,0,97.3035,29.664
03/08/2018,01:30:00 pm,0,97.3060,29.856
03/08/2018,01:35:00 pm,0,97.3086,30.110
03/08/2018,01:40:00 pm,0,97.3065,30.412
03/08/2018,01:45:00 pm,0,97.2984,30.743
03/08/2018,01:50:00 pm,0,97.2960,31.094
03/08/2018,01:55:00 pm,0,97.2954,31.459
03/08/2018,02:00:00 pm,0,97.3017,31.819
03/08/2018,02:05:00 pm,0,97.3155,32.168
03/08/2018,02:10:00 pm,0,97.1765,32.485
03/08/2018,02:15:00 pm,0,97.4059,32.692
03/08/2018,02:20:00 pm,0,97.4001,32.816
03/08/2018,02:25:00 pm,0,97.3960,32.853
03/08/2018,02:30:00 pm,0,97.3987,32.826
03/08/2018,02:35:00 pm,0,97.3827,32.757
03/08/2018,02:40:00 pm,0,97.3806,32.665
03/08/2018,02:45:00 pm,0,97.3751,32.560
03/08/2018,02:50:00 pm,0,97.3678,32.446
03/08/2018,02:55:00 pm,0,97.3703,32.325
03/08/2018,03:00:00 pm,0,97.3701,32.194
03/08/2018,03:05:00 pm,0,97.3798,32.049
03/08/2018,03:10:00 pm,0,97.3884,31.876
03/08/2018,03:15:00 pm,0,97.3882,31.686
03/08/2018,03:20:00 pm,0,97.3923,31.496
03/08/2018,03:25:00 pm,0,97.3916,31.335
03/08/2018,03:30:00 pm,0,97.3923,31.195
03/08/2018,03:35:00 pm,0,97.3926,31.069
03/08/2018,03:40:00 pm,0,97.3952,30.956
03/08/2018,03:45:00 pm,0,97.3866,30.853
03/08/2018,03:50:00 pm,0,97.3929,30.758
03/08/2018,03:55:00 pm,0,97.3951,30.670
03/08/2018,04:00:00 pm,0,97.3965,30.590
03/08/2018,04:05:00 pm,0,97.4047,30.516
03/08/2018,04:10:00 pm,0,97.3995,30.449
03/08/2018,04:15:00 pm,0,97.3957,30.386
03/08/2018,04:20:00 pm,0,97.4022,30.308
03/08/2018,04:25:00 pm,0,97.3989,30.202
03/08/2018,04:30:00 pm,0,97.4096,30.091
03/08/2018,04:35:00 pm,0,97.4340,29.984
03/08/2018,04:40:00 pm,0,97.4537,29.882
03/08/2018,04:45:00 pm,0,97.4778,29.767
03/08/2018,04:50:00 pm,0,97.4688,29.620
03/08/2018,04:55:00 pm,0,97.4811,29.437
03/08/2018,05:00:00 pm,0,97.4811,29.231
03/08/2018,05:05:00 pm,0,97.4798,29.016
03/08/2018,05:10:00 pm,0,97.4659,28.808
03/08/2018,05:15:00 pm,0,97.4800,28.594
03/08/2018,05:20:00 pm,0,97.4944,28.370
03/08/2018,05:25:00 pm,0,97.5007,28.153
03/08/2018,05:30:00 pm,0,97.5220,27.951
03/08/2018,05:35:00 pm,0,97.5292,27.756
03/08/2018,05:40:00 pm,0,97.5285,27.572
03/08/2018,05:45:00 pm,0,97.5366,27.398
03/08/2018,05:50:00 pm,0,97.5361,27.233
03/08/2018,05:55:00 pm,0,97.5266,27.070
03/08/2018,06:00:00 pm,0,97.5194,26.903
03/08/2018,06:05:00 pm,0,97.5158,26.737
03/08/2018,06:10:00 pm,0,97.5152,26.575
03/08/2018,06:15:00 pm,0,97.5083,26.413
03/08/2018,06:20:00 pm,0,97.5234,26.251
03/08/2018,06:25:00 pm,0,97.5203,26.094
03/08/2018,06:30:00 pm,0,97.5335,25.943
03/08/2018,06:35:00 pm,0,97.5431,25.798
03/08/2018,06:40:00 pm,0,97.5569,25.659
03/08/2018,06:45:00 pm,0,97.5720,25.526
03/08/2018,06:50:00 pm,0,97.5729,25.394
03/08/2018,06:55:00 pm,0,97.5816,25.269
03/08/2018,07:00:00 pm,0,97.5788,25.154
03/08/2018,07:05:00 pm,0,97.5722,25.046
03/08/2018,07:10:00 pm,0,97.5841,24.947
03/08/2018,07:15:00 pm,0,97.5873,24.853
03/08/2018,07:20:00 pm,0,97.5899,24.763
03/08/2018,07:25:00 pm,0,97.5907,24.675
03/08/2018,07:30:00 pm,0,97.6001,24.589
03/08/2018,07:35:00 pm,0,97.6092,24.510
03/08/2018,07:40:00 pm,0,97.5754,24.440
03/08/2018,07:45:00 pm,0,97.5626,24.363
03/08/2018,07:50:00 pm,0,97.5604,24.267
03/08/2018,07:55:00 pm,0,97.5873,24.190
03/08/2018,08:00:00 pm,0,97.5998,24.125
03/08/2018,08:05:00 pm,0,97.5815,24.061
03/08/2018,08:10:00 pm,0,97.5475,23.964
03/08/2018,08:15:00 pm,0,97.5066,23.850
03/08/2018,08:20:00 pm,0,97.5166,23.727
03/08/2018,08:25:00 pm,0,97.5214,23.674
03/08/2018,08:30:00 pm,0,97.5361,23.635
03/08/2018,08:35:00 pm,0,97.5357,23.602
03/08/2018,08:40:00 pm,0,97.5409,23.573
03/08/2018,08:45:00 pm,0,97.5489,23.545
03/08/2018,08:50:00 pm,0,97.5516,23.519
03/08/2018,08:55:00 pm,0,97.5519,23.494
03/08/2018,09:00:00 pm,0,97.5633,23.469
03/08/2018,09:05:00 pm,0,97.5691,23.445
03/08/2018,09:10:00 pm,0,97.5754,23.422
03/08/2018,09:15:00 pm,0,97.5788,23.400
03/08/2018,09:20:00 pm,0,97.5844,23.378
03/08/2018,09:25:00 pm,0,97.5885,23.357
03/08/2018,09:30:00 pm,0,97.6032,23.336
03/08/2018,09:35:00 pm,0,97.6060,23.315
03/08/2018,09:40:00 pm,0,97.6145,23.296
03/08/2018,09:45:00 pm,0,97.6236,23.277
03/08/2018,09:50:00 pm,0,97.6310,23.258
03/08/2018,09:55:00 pm,0,97.6498,23.241
03/08/2018,10:00:00 pm,0,97.6567,23.224
03/08/2018,10:05:00 pm,0,97.6691,23.207
03/08/2018,10:10:00 pm,0,97.6760,23.191
03/08/2018,10:15:00 pm,0,97.6883,23.176
03/08/2018,10:20:00 pm,0,97.6980,23.161
03/08/2018,10:25:00 pm,0,97.7063,23.147
03/08/2018,10:30:00 pm,0,97.7047,23.133
03/08/2018,10:35:00 pm,0,97.7046,23.119
03/08/2018,10:40:00 pm,0,97.7134,23.106
03/08/2018,10:45:00 pm,0,97.7227,23.092
03/08/2018,10:50:00 pm,0,97.7352,23.079
03/08/2018,10:55:00 pm,0,97.7439,23.066
03/08/2018,11:00:00 pm,0,97.7557,23.053
03/08/2018,11:05:00 pm,0,97.7654,23.040
03/08/2018,11:10:00 pm,0,97.7721,23.027
03/08/2018,11:15:00 pm,0,97.7772,23.013
03/08/2018,11:20:00 pm,0,97.7804,22.999
03/08/2018,11:25:00 pm,0,97.7826,22.984
03/08/2018,11:30:00 pm,0,97.7910,22.970
03/08/2018,11:35:00 pm,0,97.7968,22.955
03/08/2018,11:40:00 pm,0,97.7993,22.940
03/08/2018,11:45:00 pm,0,97.8034,22.925
03/08/2018,11:50:00 pm,0,97.8107,22.911
03/08/2018,11:55:00 pm,0,97.8128,22.897
04/08/2018,12:00:00 am,0,97.8128,22.883
04/08/2018,12:05:00 am,0,97.8186,22.869
04/08/2018,12:10:00 am,0,97.8227,22.855
04/08/2018,12:15:00 am,0,97.8296,22.842
04/08/2018,12:20:00 am,0,97.8304,22.828
04/08/2018,12:25:00 am,0,97.8383,22.814
04/08/2018,12:30:00 am,0,97.8407,22.800
04/08/2018,12:35:00 am,0,97.8450,22.786
04/08/2018,12:40:00 am,0,97.8557,22.772
04/08/2018,12:45:00 am,0,97.8627,22.758
04/08/2018,12:50:00 am,0,97.8643,22.744
04/08/2018,12:55:00 am,0,97.8739,22.730
04/08/2018,01:00:00 am,0,97.8838,22.715
04/08/2018,01:05:00 am,0,97.8908,22.701
04/08/2018,01:10:00 am,0,97.9020,22.686
04/08/2018,01:15:00 am,0,97.8973,22.672
04/08/2018,01:20:00 am,0,97.8987,22.657
04/08/2018,01:25:00 am,0,97.9032,22.643
04/08/2018,01:30:00 am,0,97.9085,22.629
04/08/2018,01:35:00 am,0,97.9087,22.614
04/08/2018,01:40:00 am,0,97.9135,22.599
04/08/2018,01:45:00 am,0,97.9158,22.584
04/08/2018,01:50:00 am,0,97.9205,22.569
04/08/2018,01:55:00 am,0,97.9254,22.554
04/08/2018,02:00:00 am,0,97.9297,22.538
04/08/2018,02:05:00 am,0,97.9373,22.523
04/08/2018,02:10:00 am,0,97.9454,22.507
04/08/2018,02:15:00 am,0,97.9501,22.491
04/08/2018,02:20:00 am,0,97.9492,22.475
04/08/2018,02:25:00 am,0,97.9452,22.458
04/08/2018,02:30:00 am,0,97.9486,22.442
04/08/2018,02:35:00 am,0,97.9539,22.425
04/08/2018,02:40:00 am,0,97.9595,22.408
04/08/2018,02:45:00 am,0,97.9631,22.391
04/08/2018,02:50:00 am,0,97.9638,22.374
04/08/2018,02:55:00 am,0,97.9651,22.357
04/08/2018,03:00:00 am,0,97.9783,22.340
04/08/2018,03:05:00 am,0,97.9913,22.322
04/08/2018,03:10:00 am,0,98.0014,22.304
04/08/2018,03:15:00 am,0,97.9991,22.286
04/08/2018,03:20:00 am,0,98.0021,22.268
04/08/2018,03:25:00 am,0,98.0099,22.250
04/08/2018,03:30:00 am,0,98.0142,22.232
04/08/2018,03:35:00 am,0,98.0231,22.214
04/08/2018,03:40:00 am,0,98.0327,22.195
04/08/2018,03:45:00 am,0,98.0402,22.177
04/08/2018,03:50:00 am,0,98.0495,22.158
04/08/2018,03:55:00 am,0,98.0482,22.139
04/08/2018,04:00:00 am,0,98.0497,22.121
04/08/2018,04:05:00 am,0,98.0486,22.102
04/08/2018,04:10:00 am,0,98.0617,22.083
04/08/2018,04:15:00 am,0,98.0580,22.063
04/08/2018,04:20:00 am,0,98.0635,22.045
04/08/2018,04:25:00 am,0,98.0737,22.025
