Serial_number:
2075662
Project ID:

Location:
PAD2019
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/11/2019,12:00:00 pm,0,98.1636,22.151
7/11/2019,12:15:00 pm,0,98.1587,22.582
7/11/2019,12:30:00 pm,0,98.1460,22.965
7/11/2019,12:45:00 pm,0,98.1420,23.407
7/11/2019,01:00:00 pm,0,98.1385,23.733
7/11/2019,01:15:00 pm,0,98.1221,24.025
7/11/2019,01:30:00 pm,0,98.1136,24.352
7/11/2019,01:45:00 pm,0,98.1048,24.619
7/11/2019,02:00:00 pm,0,98.0909,24.935
7/11/2019,02:15:00 pm,0,98.0841,25.278
7/11/2019,02:30:00 pm,0,98.0670,25.628
7/11/2019,02:45:00 pm,0,98.0631,26.000
7/11/2019,03:00:00 pm,0,98.0573,26.225
7/11/2019,03:15:00 pm,0,98.0441,26.292
7/11/2019,03:30:00 pm,0,98.0469,26.338
7/11/2019,03:45:00 pm,0,98.0420,26.366
7/11/2019,04:00:00 pm,0,98.0362,26.285
7/11/2019,04:15:00 pm,0,98.0263,26.191
7/11/2019,04:30:00 pm,0,98.0203,26.072
7/11/2019,04:45:00 pm,0,98.0171,25.941
7/11/2019,05:00:00 pm,0,97.9970,25.833
7/11/2019,05:15:00 pm,0,97.9752,25.703
7/11/2019,05:30:00 pm,0,97.9587,26.508
7/11/2019,05:45:00 pm,0,97.9478,27.098
7/11/2019,06:00:00 pm,0,97.9440,27.633
7/11/2019,06:15:00 pm,0,97.9295,27.672
7/11/2019,06:30:00 pm,0,97.9080,27.308
7/11/2019,06:45:00 pm,0,97.9164,26.904
7/11/2019,07:00:00 pm,0,97.9103,26.747
7/11/2019,07:15:00 pm,0,97.8889,26.299
7/11/2019,07:30:00 pm,0,97.9097,25.864
7/11/2019,07:45:00 pm,0,97.7902,25.508
7/11/2019,08:00:00 pm,0,97.7644,24.355
7/11/2019,08:15:00 pm,0,97.7527,23.852
7/11/2019,08:30:00 pm,0,97.7512,23.541
7/11/2019,08:45:00 pm,0,97.7397,23.309
7/11/2019,09:00:00 pm,0,97.7319,23.119
7/11/2019,09:15:00 pm,0,97.7246,22.971
7/11/2019,09:30:00 pm,0,97.7252,22.860
7/11/2019,09:45:00 pm,0,97.7147,22.768
7/11/2019,10:00:00 pm,0,97.7134,22.681
7/11/2019,10:15:00 pm,0,97.7049,22.598
7/11/2019,10:30:00 pm,0,97.7107,22.503
7/11/2019,10:45:00 pm,0,97.7054,22.738
7/11/2019,11:00:00 pm,0,97.6956,22.719
7/11/2019,11:15:00 pm,0,97.6847,22.681
7/11/2019,11:30:00 pm,0,97.6717,22.643
7/11/2019,11:45:00 pm,0,97.6433,22.584
7/12/2019,12:00:00 am,0,97.6473,22.521
7/12/2019,12:15:00 am,0,97.6362,22.460
7/12/2019,12:30:00 am,0,97.6335,22.399
7/12/2019,12:45:00 am,0,97.6296,22.330
7/12/2019,01:00:00 am,0,97.6206,22.254
7/12/2019,01:15:00 am,0,97.6111,22.175
7/12/2019,01:30:00 am,0,97.6089,22.093
7/12/2019,01:45:00 am,0,97.6068,22.005
7/12/2019,02:00:00 am,0,97.5982,21.913
7/12/2019,02:15:00 am,0,97.5998,21.809
7/12/2019,02:30:00 am,0,97.5810,21.693
7/12/2019,02:45:00 am,0,97.5700,21.559
7/12/2019,03:00:00 am,0,97.5613,21.414
7/12/2019,03:15:00 am,0,97.5522,21.265
7/12/2019,03:30:00 am,0,97.5839,21.134
7/12/2019,03:45:00 am,0,97.5665,21.014
7/12/2019,04:00:00 am,0,97.5532,20.901
7/12/2019,04:15:00 am,0,97.5623,20.795
7/12/2019,04:30:00 am,0,97.5494,20.704
7/12/2019,04:45:00 am,0,97.5435,20.625
7/12/2019,05:00:00 am,0,97.5505,20.541
7/12/2019,05:15:00 am,0,97.5376,20.452
7/12/2019,05:30:00 am,0,97.5544,20.366
7/12/2019,05:45:00 am,0,97.5514,20.289
7/12/2019,06:00:00 am,0,97.5553,20.220
7/12/2019,06:15:00 am,0,97.5595,20.165
7/12/2019,06:30:00 am,0,97.5469,20.128
7/12/2019,06:45:00 am,0,97.5559,20.099
7/12/2019,07:00:00 am,0,97.5439,20.069
7/12/2019,07:15:00 am,0,97.5578,20.046
7/12/2019,07:30:00 am,0,97.5402,20.052
7/12/2019,07:45:00 am,0,97.5722,20.072
7/12/2019,08:00:00 am,0,97.5779,19.725
7/12/2019,08:15:00 am,0,97.6271,19.355
7/12/2019,08:30:00 am,0,97.7301,19.026
7/12/2019,08:45:00 am,0,97.7204,18.542
7/12/2019,09:00:00 am,0,97.7102,18.170
7/12/2019,09:15:00 am,0,97.6852,18.090
7/12/2019,09:30:00 am,0,97.6986,18.595
7/12/2019,09:45:00 am,0,97.7283,18.879
7/12/2019,10:00:00 am,0,97.7813,19.001
7/12/2019,10:15:00 am,0,97.7970,19.061
7/12/2019,10:30:00 am,0,97.8450,19.088
7/12/2019,10:45:00 am,0,97.7681,19.023
7/12/2019,11:00:00 am,0,97.7668,18.773
7/12/2019,11:15:00 am,0,97.8315,18.492
7/12/2019,11:30:00 am,0,97.8277,18.162
7/12/2019,11:45:00 am,0,97.8757,17.973
7/12/2019,12:00:00 pm,0,97.8681,18.481
7/12/2019,12:15:00 pm,0,97.8941,19.033
7/12/2019,12:30:00 pm,0,97.9144,19.225
7/12/2019,12:45:00 pm,0,97.9191,19.372
7/12/2019,01:00:00 pm,0,97.9507,19.426
7/12/2019,01:15:00 pm,0,97.9563,19.367
7/12/2019,01:30:00 pm,0,97.9494,19.540
7/12/2019,01:45:00 pm,0,97.9708,20.219
7/12/2019,02:00:00 pm,0,97.9831,20.168
7/12/2019,02:15:00 pm,0,97.9807,20.099
7/12/2019,02:30:00 pm,0,98.0104,19.987
7/12/2019,02:45:00 pm,0,98.0334,19.865
7/12/2019,03:00:00 pm,0,98.0457,19.726
7/12/2019,03:15:00 pm,0,98.0787,19.568
7/12/2019,03:30:00 pm,0,98.1277,19.428
7/12/2019,03:45:00 pm,0,98.1523,19.323
7/12/2019,04:00:00 pm,0,98.1846,19.207
7/12/2019,04:15:00 pm,0,98.1940,19.089
7/12/2019,04:30:00 pm,0,98.2000,18.939
7/12/2019,04:45:00 pm,0,98.1805,18.770
7/12/2019,05:00:00 pm,0,98.1943,18.634
7/12/2019,05:15:00 pm,0,98.1873,18.513
7/12/2019,05:30:00 pm,0,98.1862,18.405
7/12/2019,05:45:00 pm,0,98.1837,18.830
7/12/2019,06:00:00 pm,0,98.1750,18.515
7/12/2019,06:15:00 pm,0,98.2142,18.197
7/12/2019,06:30:00 pm,0,98.2431,17.833
7/12/2019,06:45:00 pm,0,98.1204,17.484
7/12/2019,07:00:00 pm,0,98.1187,17.577
7/12/2019,07:15:00 pm,0,98.1103,17.870
7/12/2019,07:30:00 pm,0,98.1056,18.183
7/12/2019,07:45:00 pm,0,98.1433,18.445
7/12/2019,08:00:00 pm,0,98.1543,18.612
7/12/2019,08:15:00 pm,0,98.1657,18.732
7/12/2019,08:30:00 pm,0,98.1614,18.895
7/12/2019,08:45:00 pm,0,98.1781,19.044
7/12/2019,09:00:00 pm,0,98.1922,19.167
7/12/2019,09:15:00 pm,0,98.1946,19.280
7/12/2019,09:30:00 pm,0,98.2202,19.369
7/12/2019,09:45:00 pm,0,98.2482,19.462
7/12/2019,10:00:00 pm,0,98.2551,19.538
7/12/2019,10:15:00 pm,0,98.2591,19.602
7/12/2019,10:30:00 pm,0,98.2746,19.663
7/12/2019,10:45:00 pm,0,98.2863,19.699
7/12/2019,11:00:00 pm,0,98.2920,19.719
7/12/2019,11:15:00 pm,0,98.2976,19.726
7/12/2019,11:30:00 pm,0,98.2885,19.724
7/12/2019,11:45:00 pm,0,98.2964,19.717
7/13/2019,12:00:00 am,0,98.3157,19.738
7/13/2019,12:15:00 am,0,98.3287,19.734
7/13/2019,12:30:00 am,0,98.3330,19.707
7/13/2019,12:45:00 am,0,98.3391,19.665
7/13/2019,01:00:00 am,0,98.3374,19.608
7/13/2019,01:15:00 am,0,98.3204,19.531
7/13/2019,01:30:00 am,0,98.3247,19.456
7/13/2019,01:45:00 am,0,98.3306,19.386
7/13/2019,02:00:00 am,0,98.3346,19.306
7/13/2019,02:15:00 am,0,98.3438,19.221
7/13/2019,02:30:00 am,0,98.3428,19.123
7/13/2019,02:45:00 am,0,98.3430,19.026
7/13/2019,03:00:00 am,0,98.3340,18.943
7/13/2019,03:15:00 am,0,98.3376,18.855
7/13/2019,03:30:00 am,0,98.3456,18.767
7/13/2019,03:45:00 am,0,98.3463,18.667
7/13/2019,04:00:00 am,0,98.3557,18.576
7/13/2019,04:15:00 am,0,98.3626,18.467
7/13/2019,04:30:00 am,0,98.3665,18.355
7/13/2019,04:45:00 am,0,98.3728,18.253
7/13/2019,05:00:00 am,0,98.3831,18.138
7/13/2019,05:15:00 am,0,98.3885,18.075
7/13/2019,05:30:00 am,0,98.4067,18.041
7/13/2019,05:45:00 am,0,98.4166,18.022
7/13/2019,06:00:00 am,0,98.4218,18.003
7/13/2019,06:15:00 am,0,98.4274,17.974
7/13/2019,06:30:00 am,0,98.4274,17.953
7/13/2019,06:45:00 am,0,98.4400,17.914
7/13/2019,07:00:00 am,0,98.4476,17.895
7/13/2019,07:15:00 am,0,98.4533,17.932
7/13/2019,07:30:00 am,0,98.4582,18.019
7/13/2019,07:45:00 am,0,98.4874,18.240
7/13/2019,08:00:00 am,0,98.5948,17.215
7/13/2019,08:15:00 am,0,98.6136,16.741
7/13/2019,08:30:00 am,0,98.5984,16.520
7/13/2019,08:45:00 am,0,98.5729,16.224
7/13/2019,09:00:00 am,0,98.5565,16.099
7/13/2019,09:15:00 am,0,98.5465,15.952
7/13/2019,09:30:00 am,0,98.5490,15.689
7/13/2019,09:45:00 am,0,98.5460,15.536
7/13/2019,10:00:00 am,0,98.5699,15.576
7/13/2019,10:15:00 am,0,98.5472,18.675
7/13/2019,10:30:00 am,0,98.5360,15.809
7/13/2019,10:45:00 am,0,98.5283,15.380
7/13/2019,11:00:00 am,0,98.5274,15.071
7/13/2019,11:15:00 am,0,98.5189,15.143
7/13/2019,11:30:00 am,0,98.5141,15.462
7/13/2019,11:45:00 am,0,98.5062,15.552
7/13/2019,12:00:00 pm,0,98.5038,15.676
7/13/2019,12:15:00 pm,0,98.5016,16.046
7/13/2019,12:30:00 pm,0,98.5035,16.137
7/13/2019,12:45:00 pm,0,98.4960,16.546
7/13/2019,01:00:00 pm,0,98.4985,16.736
7/13/2019,01:15:00 pm,0,98.5015,16.688
7/13/2019,01:30:00 pm,0,98.4948,16.783
7/13/2019,01:45:00 pm,0,98.4841,16.887
7/13/2019,02:00:00 pm,0,98.4734,17.033
7/13/2019,02:15:00 pm,0,98.4669,17.136
7/13/2019,02:30:00 pm,0,98.4616,17.113
7/13/2019,02:45:00 pm,0,98.4576,18.180
7/13/2019,03:00:00 pm,0,98.4259,18.097
7/13/2019,03:15:00 pm,0,98.4070,17.948
7/13/2019,03:30:00 pm,0,98.4056,18.111
7/13/2019,03:45:00 pm,0,98.3969,18.405
7/13/2019,04:00:00 pm,0,98.4014,18.714
7/13/2019,04:15:00 pm,0,98.3877,19.247
7/13/2019,04:30:00 pm,0,98.3746,19.206
7/13/2019,04:45:00 pm,0,98.3720,19.422
7/13/2019,05:00:00 pm,0,98.3723,19.226
7/13/2019,05:15:00 pm,0,98.3593,19.300
7/13/2019,05:30:00 pm,0,98.3511,19.553
7/13/2019,05:45:00 pm,0,98.3442,19.534
7/13/2019,06:00:00 pm,0,98.3350,19.505
7/13/2019,06:15:00 pm,0,98.3312,19.603
7/13/2019,06:30:00 pm,0,98.3303,19.554
7/13/2019,06:45:00 pm,0,98.3111,19.349
7/13/2019,07:00:00 pm,0,98.3084,19.245
7/13/2019,07:15:00 pm,0,98.2932,19.235
7/13/2019,07:30:00 pm,0,98.2988,19.186
7/13/2019,07:45:00 pm,0,98.2943,18.964
7/13/2019,08:00:00 pm,0,98.2972,18.839
7/13/2019,08:15:00 pm,0,98.2902,18.626
7/13/2019,08:30:00 pm,0,98.2815,18.285
7/13/2019,08:45:00 pm,0,98.2710,17.950
7/13/2019,09:00:00 pm,0,98.2693,17.566
7/13/2019,09:15:00 pm,0,98.2734,17.410
7/13/2019,09:30:00 pm,0,98.2791,16.964
7/13/2019,09:45:00 pm,0,98.2875,16.443
7/13/2019,10:00:00 pm,0,98.2845,15.951
7/13/2019,10:15:00 pm,0,98.2864,15.496
7/13/2019,10:30:00 pm,0,98.2958,15.014
7/13/2019,10:45:00 pm,0,98.2886,14.630
7/13/2019,11:00:00 pm,0,98.2864,14.245
7/13/2019,11:15:00 pm,0,98.2845,13.984
7/13/2019,11:30:00 pm,0,98.2845,13.766
7/13/2019,11:45:00 pm,0,98.2865,13.533
7/14/2019,12:00:00 am,0,98.2827,13.362
7/14/2019,12:15:00 am,0,98.2716,13.082
7/14/2019,12:30:00 am,0,98.2660,12.819
