Time,05GEX01,05GEX02,05GEX03,05GEX04,05GEX05,05GEX06,05GEX07,05GEX08,05GEX09
6/28/2017 17:15,436.854,436.109,435.039,434.718,433.882,432.898,432.203,431.272,430.342
6/28/2017 17:20,436.848,436.111,435.039,434.718,433.88,432.899,432.201,431.269,430.341
6/28/2017 17:25,436.845,436.108,435.036,434.716,433.878,432.9,432.201,431.27,430.34
6/28/2017 17:30,436.853,436.111,435.036,434.718,433.88,432.896,432.2,431.267,430.34
6/28/2017 17:35,436.854,436.113,435.036,434.718,433.879,432.901,432.201,431.269,430.341
6/28/2017 17:40,436.857,436.111,435.036,434.718,433.876,432.899,432.201,431.268,430.344
6/28/2017 17:45,436.851,436.107,435.035,434.713,433.875,432.899,432.199,431.27,430.343
6/28/2017 17:50,436.848,436.11,435.038,434.712,433.875,432.897,432.2,431.271,430.338
6/28/2017 17:55,436.855,436.113,435.03,434.712,433.874,432.896,432.199,431.27,430.34
6/28/2017 18:00,436.857,436.111,435.036,434.709,433.874,432.896,432.198,431.273,430.342
6/28/2017 18:05,436.851,436.109,435.033,434.713,433.876,432.906,432.199,431.271,430.347
6/28/2017 18:10,436.851,436.111,435.029,434.713,433.872,432.901,432.2,431.264,430.338
6/28/2017 18:15,436.85,436.11,435.032,434.713,433.874,432.897,432.197,431.271,430.344
6/28/2017 18:20,436.848,436.109,435.033,434.712,433.875,432.897,432.198,431.27,430.339
6/28/2017 18:25,436.848,436.11,435.035,434.711,433.873,432.9,432.195,431.267,430.338
6/28/2017 18:30,436.85,436.11,435.031,434.713,433.872,432.895,432.196,431.266,430.34
6/28/2017 18:35,436.845,436.107,435.032,434.712,433.873,432.9,432.197,431.263,430.326
6/28/2017 18:40,436.848,436.109,435.035,434.712,433.871,432.891,432.194,431.264,430.326
6/28/2017 18:45,436.849,436.109,435.034,434.717,433.872,432.895,432.195,431.264,430.33
6/28/2017 18:50,436.848,436.111,435.034,434.718,433.872,432.894,432.194,431.262,430.33
6/28/2017 18:55,436.85,436.109,435.032,434.714,433.871,432.896,432.198,431.263,430.335
6/28/2017 19:00,436.846,436.106,435.031,434.71,433.873,432.892,432.194,431.262,430.332
6/28/2017 19:05,436.845,436.105,435.025,434.71,433.87,432.89,432.195,431.261,430.331
6/28/2017 19:10,436.849,436.108,435.027,434.708,433.868,432.892,432.196,431.261,430.332
6/28/2017 19:15,436.846,436.106,435.027,434.71,433.871,432.891,432.195,431.259,430.331
6/28/2017 19:20,436.841,436.102,435.026,434.707,433.869,432.894,432.198,431.261,430.331
6/28/2017 19:25,436.84,436.103,435.022,434.706,433.866,432.892,432.195,431.26,430.332
6/28/2017 19:30,436.842,436.104,435.027,434.706,433.869,432.892,432.193,431.259,430.333
6/28/2017 19:35,436.841,436.103,435.025,434.707,433.866,432.89,432.196,431.261,430.331
6/28/2017 19:40,436.844,436.102,435.026,434.707,433.864,432.888,432.195,431.261,430.329
6/28/2017 19:45,436.845,436.103,435.024,434.708,433.864,432.887,432.194,431.259,430.333
6/28/2017 19:50,436.839,436.1,435.019,434.707,433.866,432.887,432.191,431.261,430.332
6/28/2017 19:55,436.843,436.101,435.02,434.705,433.863,432.883,432.19,431.26,430.328
6/28/2017 20:00,436.841,436.1,435.023,434.705,433.865,432.887,432.192,431.258,430.329
6/28/2017 20:05,436.841,436.1,435.027,434.705,433.863,432.884,432.189,431.259,430.33
6/28/2017 20:10,436.84,436.101,435.023,434.705,433.861,432.886,432.19,431.261,430.333
6/28/2017 20:15,436.837,436.099,435.024,434.704,433.861,432.889,432.191,431.262,430.332
6/28/2017 20:20,436.836,436.1,435.022,434.707,433.864,432.89,432.193,431.261,430.332
6/28/2017 20:25,436.839,436.1,435.022,434.7,433.863,432.884,432.191,431.261,430.333
6/28/2017 20:30,436.834,436.099,435.022,434.702,433.86,432.888,432.187,431.259,430.331
6/28/2017 20:35,436.837,436.098,435.02,434.699,433.863,432.887,432.188,431.258,430.329
6/28/2017 20:40,436.834,436.095,435.014,434.696,433.859,432.885,432.187,431.257,430.327
6/28/2017 20:45,436.837,436.097,435.019,434.699,433.859,432.885,432.185,431.257,430.326
6/28/2017 20:50,436.832,436.095,435.017,434.7,433.861,432.881,432.186,431.258,430.325
6/28/2017 20:55,436.839,436.099,435.017,434.698,433.859,432.882,432.187,431.256,430.328
6/28/2017 21:00,436.833,436.094,435.017,434.698,433.86,432.881,432.188,431.26,430.327
6/28/2017 21:05,436.829,436.094,435.018,434.698,433.859,432.883,432.186,431.258,430.326
6/28/2017 21:10,436.833,436.095,435.017,434.696,433.857,432.883,432.185,431.259,430.326
6/28/2017 21:15,436.833,436.092,435.015,434.698,433.856,432.886,432.184,431.255,430.325
6/28/2017 21:20,436.832,436.092,435.016,434.699,433.857,432.881,432.185,431.255,430.324
6/28/2017 21:25,436.833,436.09,435.014,434.698,433.857,432.883,432.184,431.255,430.325
6/28/2017 21:30,436.833,436.093,435.017,434.698,433.858,432.884,432.186,431.256,430.329
6/28/2017 21:35,436.832,436.094,435.014,434.697,433.855,432.876,432.184,431.256,430.324
6/28/2017 21:40,436.834,436.094,435.015,434.696,433.853,432.878,432.185,431.253,430.325
6/28/2017 21:45,436.831,436.093,435.012,434.695,433.853,432.879,432.183,431.254,430.325
6/28/2017 21:50,436.827,436.092,435.013,434.696,433.851,432.878,432.182,431.247,430.325
6/28/2017 21:55,436.83,436.09,435.012,434.694,433.853,432.875,432.182,431.255,430.323
6/28/2017 22:00,436.826,436.092,435.01,434.692,433.851,432.877,432.181,431.253,430.325
6/28/2017 22:05,436.827,436.089,435.01,434.693,433.854,432.881,432.18,431.251,430.324
6/28/2017 22:10,436.829,436.09,435.01,434.692,433.85,432.875,432.18,431.255,430.322
6/28/2017 22:15,436.829,436.089,435.01,434.69,433.853,432.875,432.178,431.252,430.323
6/28/2017 22:20,436.827,436.088,435.01,434.692,433.853,432.872,432.179,431.254,430.326
6/28/2017 22:25,436.825,436.091,435.012,434.693,433.85,432.873,432.177,431.25,430.32
6/28/2017 22:30,436.823,436.087,435.011,434.692,433.852,432.877,432.177,431.247,430.319
6/28/2017 22:35,436.824,436.085,435.008,434.692,433.851,432.877,432.177,431.251,430.323
6/28/2017 22:40,436.823,436.087,435.008,434.692,433.851,432.875,432.175,431.248,430.321
6/28/2017 22:45,436.825,436.093,435.008,434.692,433.851,432.877,432.179,431.25,430.323
6/28/2017 22:50,436.827,436.086,435.007,434.688,433.846,432.874,432.176,431.247,430.321
6/28/2017 22:55,436.823,436.087,435.006,434.688,433.85,432.873,432.177,431.248,430.32
6/28/2017 23:00,436.82,436.084,435.008,434.69,433.848,432.874,432.176,431.248,430.32
6/28/2017 23:05,436.823,436.084,435.006,434.688,433.847,432.87,432.172,431.242,430.315
6/28/2017 23:10,436.824,436.085,435.006,434.69,433.847,432.87,432.174,431.244,430.315
6/28/2017 23:15,436.824,436.083,435.005,434.686,433.845,432.868,432.174,431.246,430.321
6/28/2017 23:20,436.82,436.084,435.006,434.686,433.846,432.87,432.172,431.246,430.315
6/28/2017 23:25,436.817,436.081,435.004,434.686,433.846,432.869,432.175,431.246,430.316
6/28/2017 23:30,436.82,436.085,435.003,434.682,433.844,432.864,432.172,431.244,430.316
6/28/2017 23:35,436.819,436.083,435.002,434.684,433.844,432.87,432.172,431.245,430.316
6/28/2017 23:40,436.819,436.08,435.002,434.683,433.842,432.873,432.172,431.244,430.314
6/28/2017 23:45,436.817,436.081,435.001,434.68,433.842,432.868,432.172,431.246,430.315
