River,ID,Longitude,Latitude,Projection
Olentangy ,1,326463.02,4438019.29,UTM 17N
Olentangy ,2,326509.59,4437692.75,UTM 17N
Olentangy ,3,326638.17,4437417.71,UTM 17N
Olentangy ,4,326745.48,4437103.67,UTM 17N
Olentangy ,5,326964.16,4436693.92,UTM 17N
Olentangy ,6,327089.2,4436324.57,UTM 17N
Olentangy ,7,327036.02,4435998.77,UTM 17N
Olentangy ,8,326874.62,4435792.67,UTM 17N
Olentangy ,9,326771.8,4435469.78,UTM 17N
Olentangy ,10,326643.69,4435126.94,UTM 17N
Olentangy ,11,326567.45,4434944.82,UTM 17N
Olentangy ,12,326726.6,4434323.87,UTM 17N
Olentangy ,13,326947.28,4433925.19,UTM 17N
Olentangy ,14,327077.82,4433597.06,UTM 17N
Olentangy ,15,327164.5,4433394.25,UTM 17N
Olentangy ,16,327317.44,4433048.95,UTM 17N
Olentangy ,17,327315.96,4432952.73,UTM 17N
Olentangy ,18,327310.16,4432697.43,UTM 17N
Olentangy ,19,327373.89,4432381,UTM 17N
Olentangy ,20,327570.31,4432226.3,UTM 17N
