"","ï..River","ID","Latitude","Longitude","Projection"
"25","Sacramento","t030",4355328.383,583446.045,"UTM 10N"
"26","Sacramento","t031",4357435.303,584956.156,"UTM 10N"
"27","Sacramento","t032",4363649.119,585176.976,"UTM 10N"
"35","Sacramento","t041",4372481.893,585821.906,"UTM 10N"
"34","Sacramento","t040",4373601.487,586566.453,"UTM 10N"
"33","Sacramento","t039",4375182.458,585845.995,"UTM 10N"
"32","Sacramento","t038",4377787.716,586102.114,"UTM 10N"
"31","Sacramento","t036",4379192.277,586794.027,"UTM 10N"
"30","Sacramento","t035",4380931.446,585887.633,"UTM 10N"
"29","Sacramento","t034",4383483.651,585751.76,"UTM 10N"
"28","Sacramento","t033",4384770.689,586833.756,"UTM 10N"
"24","Sacramento","t029",4386512.949,586816.87,"UTM 10N"
"17","Sacramento","t021",4387706.434,586873.465,"UTM 10N"
"18","Sacramento","t022",4388189.038,587074.717,"UTM 10N"
"19","Sacramento","t023",4389250.669,586798.428,"UTM 10N"
"20","Sacramento","t024",4390294.73,588575.213,"UTM 10N"
"21","Sacramento","t026",4390416.875,586689.08,"UTM 10N"
"22","Sacramento","t027",4391567.528,586568.1,"UTM 10N"
"23","Sacramento","t028",4392300.728,588253.453,"UTM 10N"
