River,ID,Longitude,Latitude,Projection
Tanana,p01,453031.1973,7184693.773,UTM 6N
Tanana,p02,452121.1184,7180645.024,UTM 6N
Tanana,p03,447645.7561,7179123.609,UTM 6N
Tanana,p04,444828.0229,7175485.519,UTM 6N
Tanana,p05,444179.1761,7176342.726,UTM 6N
Tanana,p07,441126.4911,7175198.674,UTM 6N
Tanana,po8,438929.328,7173004.807,UTM 6N
Tanana,p10,434012.3508,7169541.187,UTM 6N
Tanana,p11,432329.6934,7170678.837,UTM 6N
Tanana,p13,422095.3655,7169087.836,UTM 6N
Tanana,p18,407955.6981,7162575.199,UTM 6N
Tanana,p20,400936.4934,7161915.37,UTM 6N
