River,ID,Longitude,Latitude,Projection
Willamette,1,480849,4932311,UTM 10N
Willamette,2,480609,4930434,UTM 10N
Willamette,3,482812,4928518,UTM 10N
Willamette,4,482797,4926126,UTM 10N
Willamette,6,482784,4923460,UTM 10N
Willamette,7,483490,4920671,UTM 10N
Willamette,8,482119,4918497,UTM 10N
Willamette,9,482010,4915442,UTM 10N
Willamette,10,480827,4913536,UTM 10N
Willamette,11,482043,4911843,UTM 10N
Willamette,12,480736,4909413,UTM 10N
Willamette,13,482641,4908026,UTM 10N
Willamette,15,483870,4906123,UTM 10N
Willamette,17,485985,4901520,UTM 10N
Willamette,18,486371,4899172,UTM 10N
Willamette,19,487964,4897247,UTM 10N
Willamette,20,486713,4894350,UTM 10N
Willamette,21,488331,4892590,UTM 10N
Willamette,23,489312,4890250,UTM 10N
Willamette,25,490295,4888463,UTM 10N
Willamette,27,491085,4886482,UTM 10N
